ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3103900,Araújos,Araújos,Central Mineira,0,0,6,0,0,4000,12,0,0,8,70,0,0,0,0,0,22451,112,0
3104007,Araxá,Araxá,Triângulo Mineiro/Alto Paranaíba,0,0,0,2500,4480,208000,2940,0,0,0,39480,35425,5548,0,0,2112,41840,70,600
3104106,Arceburgo,Arceburgo,Sul/Sudoeste de Minas,0,0,18,0,1120,50400,213,2040,0,0,3300,0,0,0,0,0,3755,370,0
3104205,Arcos,Arcos,Oeste de Minas,0,0,125,0,0,116922,189,0,0,0,22250,1088,1000,0,420,0,28900,189,12180
3104304,Areado,Areado,Sul/Sudoeste de Minas,0,0,600,0,4486,231896,170,0,0,0,12623,4394,0,0,0,0,7500,53,0
3104403,Argirita,Argirita,Zona da Mata,0,0,185,0,0,0,11,0,0,0,105,0,0,0,0,0,4994,10,0
3104452,Aricanduva,Aricanduva,Jequitinhonha,0,0,44,0,376,1680,105,0,0,0,780,0,0,0,0,0,2822,62,1370
3104502,Arinos,Arinos,Noroeste de Minas,0,0,20,0,0,13300,6600,0,0,0,12000,12039,893,0,0,0,9380,109,6000
3104601,Astolfo Dutra,Astolfo Dutra,Zona da Mata,0,0,0,0,24,837,11,3,0,1505,19,0,0,1162,90,0,3598,21,0
3104700,Ataléia,Ataléia,Vale do Mucuri,0,0,140,0,54,900,58,36,0,0,142,0,0,0,0,0,16002,59,5000
3104809,Augusto de Lima,Augusto de Lima,Central Mineira,0,0,70,0,0,17500,123,20,0,330,1000,0,164,21,0,0,4180,49,1820
3104908,Baependi,Baependi,Sul/Sudoeste de Minas,0,0,28,0,1427,0,15,10,0,0,1760,1088,0,0,0,0,23976,42,5270
3105004,Baldim,Baldim,Metropolitana de Belo Horizonte,0,0,312,0,0,2844,74,12,20,905,2385,1248,6,4,1800,0,3543,47,0
3105103,Bambuí,Bambuí,Oeste de Minas,0,0,63,0,4200,784000,2452,207,0,0,49800,21315,945,11,54,137,44134,213,46460
3105202,Bandeira,Bandeira,Jequitinhonha,0,0,90,0,72,576,216,0,0,0,60,0,0,0,0,0,3356,18,500
3105301,Bandeira do Sul,Bandeira do Sul,Sul/Sudoeste de Minas,0,0,38,0,543,0,16,0,0,0,94,109,0,0,0,0,635,11,280
3105400,Barão de Cocais,Barão de Cocais,Metropolitana de Belo Horizonte,0,0,340,0,2,2700,3,0,0,0,50,0,0,0,0,0,1524,28,33700
3105509,Barão de Monte Alto,Barão de Monte Alto,Zona da Mata,0,0,0,0,0,282,5,0,0,0,32,0,0,0,0,0,8297,14,1775
3105608,Barbacena,Barbacena,Campo das Vertentes,0,0,360,1160,0,180,1021,510,15,86,7776,0,0,270,9620,0,22212,388,17345
3105707,Barra Longa,Barra Longa,Zona da Mata,0,0,27,0,0,17580,67,0,0,0,470,0,0,0,0,0,8516,52,11000
3105905,Barroso,Barroso,Campo das Vertentes,0,0,116,0,0,1240,24,0,0,0,241,0,0,0,0,0,4171,15,0
3106002,Bela Vista de Minas,Bela Vista de Minas,Metropolitana de Belo Horizonte,0,0,0,0,0,282,2,0,0,0,0,0,0,0,0,0,881,7,42400
3106101,Belmiro Braga,Belmiro Braga,Zona da Mata,0,0,110,0,0,779,8,10,0,7,83,0,0,0,0,0,4914,37,1000
3106200,Belo Horizonte,Belo Horizonte,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,3,0
3106309,Belo Oriente,Belo Oriente,Vale do Rio Doce,0,0,91,0,0,2700,36,2,100,0,210,0,0,16,0,0,2773,26,87200
3106408,Belo Vale,Belo Vale,Metropolitana de Belo Horizonte,0,0,30,0,0,1000,27,96,0,0,229,0,0,28059,0,0,6264,65,7600
3106507,Berilo,Berilo,Jequitinhonha,0,0,132,0,2,3535,43,37,0,0,273,0,0,3,0,0,1340,58,7100
