ibge7,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup
3133600,Itapeva,0.0,0.0,0.0,27.52,12.8,38.4,17.4,43.7,100.0,11.5,11.5,0.0,Não,8673,4498,4166,41.94,52.07,1.84,78.0,620.04,969.36
3133709,Itatiaiuçu,0.0,41.14,0.0,0.0,12.1,30.3,19.48,38.4,100.0,161.1,60.4,10.0,Não,9938,5043,4885,46.72,62.66,2.01,75.0,490.54,819.26
3133758,Itaú de Minas,107.32,25.17,13.26,24.69,6.2,49.8,36.38,58.1,100.0,66.9,20.0,13.3,Não,14950,7403,7542,41.97,97.44,1.94,77.0,913.39,1546.64
3133808,Itaúna,36.01,35.65,18.45,14.16,5.1,49.5,34.37,61.9,96.6,126.3,18.7,8.1,Não,85396,42070,43341,39.49,94.14,1.74,76.0,847.74,1316.5
3133907,Itaverava,0.0,0.0,0.0,0.0,19.9,20.8,10.48,34.7,100.0,17.2,0.0,0.0,Não,5798,2977,2822,50.6,44.23,2.03,74.0,363.06,470.03
3134004,Itinga,0.0,24.72,0.0,27.32,28.7,22.0,14.29,32.1,100.0,13.8,41.6,27.7,Não,14407,7352,7055,62.05,45.49,2.25,73.0,260.0,441.58
3134103,Itueta,0.0,0.0,0.0,15.15,18.6,19.6,10.93,65.0,100.0,17.1,51.4,17.1,Não,5836,2962,2868,49.15,56.59,2.03,75.0,429.77,707.46
3134202,Ituiutaba,37.68,26.31,6.08,12.43,10.3,46.6,30.04,47.1,98.3,164.6,31.9,16.4,Não,97159,47853,49301,43.95,95.84,2.27,75.0,824.46,1295.84
3134301,Itumirim,64.98,116.69,0.0,0.0,7.2,41.7,27.28,52.5,66.2,0.0,16.2,16.2,Não,6139,3059,3080,44.66,76.62,1.53,75.0,533.39,913.69
3134400,Iturama,10.64,22.93,5.83,13.36,10.9,47.0,31.02,60.1,100.0,78.3,58.0,5.8,Não,34440,17297,17159,41.31,94.61,2.34,76.0,753.23,1227.46
3134509,Itutinga,108.46,0.0,0.0,0.0,7.8,39.8,25.66,39.8,100.0,0.0,0.0,0.0,Não,3913,1995,1918,44.85,70.43,2.26,78.0,634.33,862.29
3134608,Jaboticatubas,73.31,23.15,23.73,6.06,13.2,32.1,19.88,44.1,63.4,40.8,40.8,11.6,Não,17119,8688,8415,49.51,62.68,2.0,75.0,602.48,802.75
3134707,Jacinto,34.2,0.0,0.0,12.82,34.1,22.1,13.98,35.7,100.0,24.7,16.4,0.0,Não,12134,6285,5849,55.11,75.8,2.57,73.0,325.42,522.83
3134806,Jacuí,0.0,0.0,0.0,24.69,13.0,26.6,18.73,52.0,100.0,13.3,39.9,26.6,Não,7502,3873,3629,47.04,60.92,1.75,74.0,558.14,780.53
3134905,Jacutinga,16.74,0.0,17.49,7.6,8.7,41.7,26.12,41.2,91.7,17.5,8.7,4.3,Não,22797,11334,11438,43.1,83.77,2.03,77.0,717.25,953.86
3135001,Jaguaraçu,126.9,0.0,0.0,0.0,12.8,33.6,21.73,0.0,,66.8,33.4,0.0,Não,2982,1508,1482,44.78,71.51,1.87,76.0,508.65,770.26
3135050,Jaíba,37.37,10.19,6.16,7.38,25.1,29.0,16.96,38.2,100.0,44.6,38.7,17.8,Não,33587,17327,16234,53.32,52.51,2.45,72.0,376.73,705.84
