ibge7,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup
3140902,Matipó,64.78,21.16,22.44,15.27,19.3,23.4,14.51,36.8,100.0,28.3,45.3,5.6,Não,17639,8727,8912,55.11,78.42,2.62,72.0,403.48,739.96
3141009,Mato Verde,58.07,0.0,0.0,6.94,27.4,29.1,19.49,51.0,100.0,39.4,39.4,7.8,Não,12685,6260,6424,45.51,74.57,1.71,72.0,343.76,464.81
3141108,Matozinhos,21.32,71.77,5.81,8.15,7.2,48.9,30.75,56.5,100.0,176.7,70.6,29.4,Não,32973,16758,17197,42.14,90.94,1.86,77.0,584.15,984.88
3141207,Matutina,0.0,0.0,0.0,0.0,14.0,28.2,14.07,49.4,100.0,0.0,26.5,0.0,Não,3763,1839,1900,47.77,71.6,2.06,77.0,820.03,1349.67
3141306,Medeiros,0.0,0.0,0.0,0.0,7.4,27.8,18.59,41.6,100.0,29.0,0.0,0.0,Não,3444,1811,1633,43.99,56.56,2.09,76.0,715.52,1212.05
3141405,Medina,38.27,35.76,9.48,22.52,28.7,27.7,18.63,30.3,100.0,85.6,109.3,38.0,Não,21037,10476,10550,57.37,71.78,2.25,74.0,388.82,690.21
3141504,Mendes Pimentel,138.41,0.0,0.0,46.15,29.6,24.2,14.12,49.6,100.0,0.0,63.1,31.5,Não,6329,3139,3167,49.38,54.57,2.08,71.0,372.96,695.85
3141603,Mercês,0.0,0.0,38.37,38.46,17.3,27.7,17.28,40.1,100.0,28.9,28.9,9.6,Não,10372,5156,5212,49.44,69.98,1.96,75.0,561.75,917.27
3141702,Mesquita,0.0,56.95,0.0,0.0,23.6,23.6,14.26,54.5,0.0,16.4,32.9,0.0,Não,6072,3029,3040,51.56,62.93,1.47,73.0,424.12,600.59
3141801,Minas Novas,10.09,0.0,0.0,26.7,33.3,24.5,15.96,38.4,75.8,12.9,68.2,16.2,Não,30803,15350,15444,54.41,40.87,2.35,73.0,334.06,537.49
3141900,Minduri,219.54,0.0,51.26,0.0,9.9,35.7,21.12,49.5,100.0,0.0,0.0,0.0,Não,3840,1889,1951,45.93,88.44,1.77,73.0,404.95,629.1
3142007,Mirabela,28.0,54.38,0.0,10.26,22.3,34.1,20.48,58.3,100.0,38.3,23.0,15.3,Não,13043,6629,6413,53.01,76.89,2.22,73.0,326.06,522.47
3142106,Miradouro,156.31,0.0,0.0,14.71,17.0,26.4,18.34,40.2,100.0,87.8,0.0,0.0,Não,10251,5234,5017,47.88,55.32,1.91,75.0,443.39,649.17
3142205,Miraí,0.0,0.0,14.57,6.41,13.9,33.0,22.05,23.5,95.6,36.2,0.0,0.0,Não,13800,6944,6864,45.84,75.34,1.93,75.0,493.91,874.84
3142254,Miravânia,0.0,74.74,0.0,46.15,33.6,22.4,15.26,37.9,100.0,0.0,65.9,65.9,Não,4561,2283,2266,62.51,23.72,2.4,72.0,235.64,392.56
3142304,Moeda,0.0,0.0,0.0,0.0,9.6,27.5,16.65,33.1,100.0,0.0,21.3,21.3,Não,4700,2343,2346,54.11,38.15,1.88,73.0,477.77,746.17
3142403,Moema,56.75,0.0,0.0,44.44,8.0,38.7,29.38,54.4,100.0,99.6,42.6,0.0,Não,7028,3553,3475,43.94,85.94,2.18,76.0,634.04,922.89
3142502,Monjolos,0.0,0.0,0.0,0.0,19.6,32.8,23.53,52.1,100.0,0.0,42.3,0.0,Não,2360,1207,1153,52.48,59.45,2.13,74.0,360.58,670.74
3142601,Monsenhor Paulo,0.0,0.0,0.0,18.52,13.8,38.1,25.87,58.6,100.0,24.5,12.2,0.0,Não,8168,4180,3981,45.19,75.15,2.04,75.0,555.78,854.92
3142700,Montalvânia,0.0,0.0,0.0,26.32,28.3,27.2,17.07,39.6,91.8,0.0,12.6,12.6,Não,15859,7996,7866,57.42,64.55,1.88,73.0,305.88,578.36
3142809,Monte Alegre de Minas,21.25,40.93,0.0,9.71,13.8,31.4,18.46,38.9,92.0,208.9,45.8,20.3,Não,19616,10029,9549,45.38,73.94,2.44,76.0,619.1,1031.73
3142908,Monte Azul,35.77,0.0,0.0,14.65,28.5,27.5,18.46,55.3,98.6,22.7,9.0,4.5,Não,22000,10839,11155,46.51,56.46,1.62,74.0,358.13,520.51
3143005,Monte Belo,31.05,0.0,0.0,9.17,13.1,27.1,16.48,48.8,100.0,30.6,0.0,0.0,Não,13061,6810,6251,44.81,69.35,2.08,76.0,539.84,737.64
3143104,Monte Carmelo,25.8,23.95,4.4,13.89,9.3,38.8,23.43,53.2,100.0,192.2,45.8,13.1,Não,45799,23066,22706,41.23,87.61,2.22,77.0,689.45,1151.25
3143153,Monte Formoso,88.03,0.0,0.0,16.95,37.7,14.0,6.98,35.3,100.0,0.0,0.0,0.0,Não,4664,2431,2225,74.61,36.51,3.01,71.0,206.62,346.88
3143203,Monte Santo de Minas,19.76,0.0,9.48,23.92,15.5,33.9,23.28,49.7,100.0,18.8,14.1,14.1,Não,21246,10686,10548,47.32,77.34,1.78,77.0,584.09,871.67
3143302,Montes Claros,33.67,53.15,12.26,11.27,8.0,59.1,45.23,57.8,91.1,374.6,46.9,16.0,Sim,361971,174058,187633,41.84,95.17,1.62,77.0,650.62,1101.09
3143401,Monte Sião,0.0,0.0,0.0,0.0,8.8,34.2,19.82,64.0,100.0,42.4,4.7,0.0,Não,21203,10654,10549,39.76,76.72,1.69,78.0,760.69,1008.64
3143450,Montezuma,0.0,48.1,0.0,21.05,30.4,20.1,12.46,30.4,100.0,0.0,13.4,13.4,Não,7472,3775,3689,57.35,41.25,2.35,74.0,308.78,422.52
3143500,Morada Nova de Minas,0.0,45.17,0.0,0.0,11.3,33.1,22.38,46.0,100.0,36.3,60.5,0.0,Não,8256,4205,4050,45.94,78.22,2.2,75.0,577.61,799.43
3143609,Morro da Garça,0.0,0.0,0.0,0.0,13.2,30.0,13.87,55.3,100.0,187.9,37.5,0.0,Não,2661,1376,1284,49.89,57.22,2.21,74.0,376.88,706.37
3143708,Morro do Pilar,0.0,0.0,0.0,34.48,29.3,20.9,14.54,32.0,100.0,58.8,117.6,0.0,Não,3399,1597,1606,53.56,75.93,2.12,74.0,382.62,627.84
3143807,Munhoz,0.0,0.0,0.0,23.81,12.8,26.7,16.18,38.6,100.0,31.9,15.9,15.9,Não,6257,3247,3010,45.06,53.04,1.89,74.0,412.79,647.0
3143906,Muriaé,11.51,30.78,19.23,18.67,9.3,42.2,28.48,49.4,100.0,170.6,23.8,8.9,Não,100861,48757,52008,42.49,92.52,1.6,76.0,758.46,1087.99
3144003,Mutum,0.0,41.72,15.17,8.8,22.5,26.7,16.44,45.7,96.9,11.2,56.2,26.2,Não,26672,13403,13123,50.8,51.72,2.01,74.0,415.41,608.97
3144102,Muzambinho,60.33,0.0,9.84,4.18,7.5,45.8,30.08,88.1,100.0,19.5,4.8,4.8,Não,20432,10266,10164,43.85,76.99,1.84,77.0,719.94,1071.23
3144201,Nacip Raydan,132.1,0.0,0.0,0.0,27.7,17.3,10.42,28.2,0.0,158.5,31.7,31.7,Não,3154,1586,1568,62.36,62.75,2.43,75.0,429.34,820.96
3144300,Nanuque,57.74,63.91,19.19,10.62,19.4,42.9,28.56,43.0,100.0,210.6,83.2,26.9,Não,40816,19994,20840,50.43,90.09,2.29,76.0,505.55,932.55
3144359,Naque,0.0,0.0,31.78,29.13,20.4,36.3,23.09,49.2,100.0,94.6,47.3,15.7,Não,6341,3194,3147,51.06,94.01,2.03,74.0,408.75,771.4
3144375,Natalândia,115.07,0.0,0.0,0.0,18.9,28.0,16.1,49.8,100.0,0.0,121.9,30.4,Não,3288,1736,1544,50.82,75.34,2.58,76.0,431.11,700.92
3144409,Natércia,0.0,0.0,0.0,0.0,11.2,35.1,22.59,79.3,100.0,0.0,0.0,0.0,Não,4650,2409,2249,43.3,59.25,2.09,73.0,541.69,716.49
3144508,Nazareno,107.3,0.0,0.0,0.0,10.8,36.8,24.4,52.3,100.0,12.5,12.5,0.0,Não,7953,4118,3836,46.59,76.01,2.06,75.0,491.13,798.58
3144607,Nepomuceno,30.87,0.0,15.5,9.9,13.8,29.7,18.69,54.7,91.3,50.5,7.7,0.0,Não,25721,12695,12801,46.32,77.47,1.88,74.0,480.79,724.4
3144656,Ninheira,0.0,0.0,42.0,19.23,45.4,14.9,8.05,27.1,91.6,0.0,0.0,0.0,Não,9795,5053,4762,54.52,26.72,2.02,72.0,210.17,361.19
3144672,Nova Belém,0.0,97.47,0.0,0.0,30.2,22.4,10.64,43.3,100.0,0.0,53.5,26.8,Não,3732,1884,1824,51.1,36.12,2.47,71.0,265.9,423.44
3144706,Nova Era,21.77,38.26,21.79,9.8,8.6,44.3,31.22,50.9,100.0,51.3,74.1,11.4,Não,17540,8349,9179,46.4,87.97,1.99,74.0,532.58,875.71
3144805,Nova Lima,18.73,24.42,11.95,11.71,3.4,63.0,44.71,44.4,81.8,191.3,28.4,7.4,Não,81162,39142,41839,37.98,97.82,1.84,78.0,1731.84,2437.34
3144904,Nova Módica,106.72,0.0,0.0,18.18,30.3,23.9,15.21,52.9,100.0,26.3,79.1,0.0,Não,3793,1903,1887,57.04,61.42,2.86,72.0,355.66,647.25
3145000,Nova Ponte,84.36,30.14,16.43,6.02,11.2,36.2,22.35,43.4,100.0,93.6,15.6,7.8,Não,12823,6725,6087,43.23,85.79,2.56,75.0,771.68,1448.39
3145059,Nova Porteirinha,0.0,87.83,0.0,9.17,24.6,26.2,17.25,35.9,100.0,202.7,81.1,40.5,Não,7398,3788,3610,48.51,55.0,2.17,74.0,302.09,479.17
3145109,Nova Resende,75.76,0.0,0.0,15.71,10.1,24.7,15.53,36.9,100.0,45.5,32.5,6.5,Não,15373,8106,7268,44.7,57.62,2.17,75.0,576.41,852.0
3145208,Nova Serrana,41.0,47.98,5.61,15.65,6.6,40.8,22.63,33.2,48.0,238.8,47.4,25.7,Não,73719,38067,35632,38.06,94.57,1.93,77.0,659.74,975.87
3145307,Novo Cruzeiro,47.16,11.34,0.0,17.31,37.2,19.2,11.23,26.8,100.0,16.2,22.7,19.5,Não,30726,15256,15469,63.43,34.25,2.47,73.0,264.66,424.41
3145356,Novo Oriente de Minas,74.07,142.6,19.83,0.0,41.0,18.3,10.9,28.8,80.9,0.0,77.3,58.0,Não,10342,5296,5043,61.28,42.76,2.28,70.0,274.37,439.29
3145372,Novorizonte,77.64,0.0,0.0,14.93,28.4,18.7,12.02,37.7,100.0,0.0,0.0,0.0,Não,4953,2489,2474,62.16,34.6,2.63,73.0,299.95,443.3
3145406,Olaria,0.0,0.0,0.0,111.11,20.6,21.9,14.77,42.5,100.0,0.0,0.0,0.0,Não,1981,1060,916,45.16,46.41,1.67,74.0,423.44,661.09
3145455,Olhos D' Água,0.0,0.0,0.0,16.39,24.2,23.9,13.08,38.2,100.0,0.0,18.9,0.0,Não,5264,2722,2452,54.44,54.41,2.33,74.0,348.9,523.64
3145505,Olímpio Noronha,0.0,0.0,0.0,0.0,17.4,33.7,19.69,42.7,100.0,39.4,39.4,0.0,Não,2533,1304,1229,46.0,88.79,1.78,74.0,475.23,726.16
3145604,Oliveira,31.22,0.0,24.8,11.36,7.3,39.2,25.79,53.6,100.0,76.0,12.6,2.5,Não,39469,19305,20161,43.95,89.15,1.78,76.0,588.2,874.45
3145703,Oliveira Fortes,0.0,0.0,0.0,0.0,19.8,22.3,12.69,44.1,0.0,47.1,0.0,0.0,Não,2123,1080,1043,42.57,55.44,1.88,73.0,369.25,569.98
3145802,Onça do Pitangui,141.24,0.0,0.0,0.0,13.8,26.1,14.52,51.5,100.0,32.7,0.0,0.0,Não,3197,1558,1497,54.63,49.72,2.64,73.0,446.23,735.75
3145851,Oratórios,0.0,0.0,0.0,0.0,20.0,27.3,16.99,27.6,100.0,22.2,22.2,0.0,Não,4486,2234,2259,48.33,72.13,2.23,74.0,395.74,674.88
3145877,Orizânia,104.06,0.0,0.0,20.0,20.3,16.2,9.53,36.9,0.0,0.0,27.4,0.0,Não,7284,3697,3587,51.44,30.49,2.19,72.0,247.35,407.22
3145901,Ouro Branco,76.03,18.78,5.65,14.31,6.0,57.4,43.35,43.1,100.0,110.5,45.3,14.1,Não,35260,17577,17691,36.74,89.63,1.62,77.0,866.02,1440.44
3146008,Ouro Fino,13.46,0.0,0.0,6.25,10.3,40.6,28.64,41.3,100.0,44.3,9.5,6.3,Não,31580,15805,15738,43.88,75.28,1.7,77.0,635.38,880.63
3146107,Ouro Preto,5.29,16.11,22.22,9.77,6.1,53.3,38.78,56.6,97.9,31.3,15.6,5.6,Sim,70227,34085,35795,42.12,86.97,1.54,75.0,710.55,1105.88
3146206,Ouro Verde de Minas,64.89,51.63,0.0,19.05,35.7,21.9,14.89,40.3,100.0,83.1,99.7,0.0,Não,6021,3018,2998,63.6,60.32,2.05,72.0,298.76,590.04
3146255,Padre Carvalho,115.01,111.67,34.95,0.0,37.0,21.6,9.55,40.4,100.0,17.1,34.2,34.2,Não,5834,2973,2861,62.95,59.34,2.56,73.0,286.32,463.22
3146305,Padre Paraíso,61.74,40.43,0.0,7.17,29.4,23.6,14.56,35.5,100.0,90.1,58.3,15.9,Não,18852,9334,9515,61.89,61.12,2.13,73.0,253.77,479.35
3146404,Paineiras,0.0,0.0,0.0,44.44,13.0,25.7,17.71,58.1,100.0,43.1,0.0,0.0,Não,4631,2332,2299,46.11,77.69,1.66,74.0,589.16,835.04
3146503,Pains,53.13,0.0,0.0,25.64,9.2,35.3,22.21,41.2,100.0,12.4,0.0,0.0,Não,8015,4026,3988,44.52,82.46,1.86,77.0,690.97,1044.92
3146552,Pai Pedro,59.17,0.0,0.0,13.51,42.0,21.9,12.86,53.3,100.0,16.8,16.8,16.8,Não,5934,3024,2910,53.7,29.47,2.15,71.0,203.93,353.54
3146602,Paiva,607.9,0.0,0.0,0.0,15.2,28.9,22.33,90.1,100.0,0.0,0.0,0.0,Não,1560,782,776,44.27,78.24,1.33,76.0,476.35,601.27
3146701,Palma,0.0,0.0,0.0,0.0,13.2,40.6,29.33,34.4,100.0,61.1,15.2,0.0,Não,6545,3313,3232,46.42,78.27,1.53,75.0,494.63,680.96
3146750,Palmópolis,0.0,0.0,0.0,9.17,37.9,17.8,11.81,27.6,100.0,0.0,14.4,0.0,Não,6925,3570,3361,56.7,64.75,2.46,69.0,259.75,306.24
3146909,Papagaios,26.43,24.41,14.41,4.76,11.8,36.9,21.82,41.2,92.7,63.4,49.3,21.1,Não,14171,7237,6938,46.93,84.09,2.22,75.0,455.96,838.45
3147006,Paracatu,28.51,80.28,7.1,9.16,9.9,49.1,34.17,54.8,100.0,160.5,59.0,23.6,Não,84687,42455,42242,46.13,87.08,2.33,76.0,637.8,1125.93
3147105,Pará de Minas,35.59,22.43,7.05,9.42,4.8,45.7,30.33,45.5,81.3,119.9,15.4,7.1,Não,84252,41219,42495,40.98,94.52,1.56,76.0,686.42,1046.87
3147204,Paraguaçu,0.0,0.0,29.8,8.85,9.1,40.9,24.96,42.0,100.0,54.3,54.3,9.8,Não,20241,10178,10067,43.83,82.39,1.82,76.0,587.36,866.83
3147303,Paraisópolis,0.0,0.0,10.42,18.1,10.1,46.8,30.64,56.1,100.0,72.2,15.4,10.3,Não,19392,9647,9503,45.08,82.86,2.15,76.0,592.61,919.14
3147402,Paraopeba,16.32,46.05,8.75,2.93,7.7,41.4,26.08,48.0,93.0,110.8,31.0,22.1,Não,22571,11132,11431,43.32,87.15,2.05,73.0,530.79,797.55
3147501,Passabém,0.0,0.0,0.0,55.56,22.0,25.4,16.38,45.1,100.0,0.0,0.0,0.0,Não,1766,865,901,49.36,57.3,1.49,72.0,405.19,496.36
3147600,Passa Quatro,80.47,0.0,0.0,11.17,6.9,42.5,29.11,50.4,100.0,19.2,6.4,0.0,Não,15584,7706,7838,43.36,76.92,2.07,77.0,561.44,858.09
3147709,Passa Tempo,0.0,0.0,24.61,0.0,9.3,29.5,22.51,52.1,100.0,36.6,12.2,0.0,Não,8199,4133,4064,44.06,77.89,1.44,73.0,535.96,826.12
3147808,Passa Vinte,0.0,0.0,101.01,0.0,16.4,27.0,19.16,26.0,100.0,0.0,0.0,0.0,Não,2084,1089,990,50.01,62.77,1.77,74.0,493.38,644.9
3147907,Passos,3.69,3.64,22.34,9.52,6.8,47.0,30.21,59.6,100.0,81.8,40.4,13.1,Não,106313,52515,53673,41.99,94.89,1.6,78.0,802.97,1248.65
3147956,Patis,0.0,0.0,0.0,15.15,31.2,21.7,10.55,45.5,100.0,0.0,0.0,0.0,Não,5594,2918,2661,55.77,41.24,2.65,72.0,244.72,482.87
3148004,Patos de Minas,36.55,35.56,11.3,11.31,6.6,52.0,36.58,60.0,94.6,203.3,36.7,12.9,Não,138836,67666,70477,39.72,92.08,1.6,76.0,843.57,1288.18
3148103,Patrocínio,13.88,64.64,9.87,10.18,8.1,43.1,29.08,56.6,96.3,223.1,75.1,26.6,Sim,82541,41915,40514,44.1,88.22,2.08,76.0,720.59,1157.47
3148202,Patrocínio do Muriaé,81.77,0.0,0.0,22.73,11.8,34.3,22.29,40.8,100.0,56.7,37.8,18.9,Não,5298,2650,2637,47.25,81.48,1.69,73.0,590.26,733.52
3148301,Paula Cândido,41.1,0.0,21.84,18.18,12.6,26.0,15.23,31.4,100.0,64.7,118.6,32.3,Não,9269,4693,4578,49.54,53.24,2.16,74.0,407.91,593.44
3148400,Paulistas,0.0,0.0,0.0,15.15,25.9,24.2,16.89,38.5,100.0,20.3,20.3,0.0,Não,4918,2385,2533,66.98,46.83,2.16,72.0,321.22,465.61
3148509,Pavão,136.67,44.7,0.0,10.53,29.9,24.9,13.91,33.9,100.0,11.6,104.7,34.9,Não,8589,4346,4243,56.24,60.59,2.76,74.0,333.55,611.84
3148608,Peçanha,105.98,20.37,11.45,17.79,25.3,26.3,17.84,36.3,93.6,52.1,69.5,28.9,Não,17270,8525,8735,58.32,52.71,2.46,72.0,404.21,632.78
3148707,Pedra Azul,32.23,55.16,0.0,18.02,26.3,29.7,18.94,41.3,100.0,62.9,54.5,12.5,Não,23843,11744,12095,57.08,88.12,2.29,73.0,327.18,690.73
3148756,Pedra Bonita,0.0,0.0,0.0,19.8,18.6,17.8,9.7,32.3,100.0,0.0,74.9,29.9,Não,6673,3455,3218,54.42,27.08,2.38,69.0,256.67,356.88
3148806,Pedra do Anta,131.58,0.0,0.0,66.67,23.9,21.3,13.18,43.3,100.0,0.0,29.7,29.7,Não,3365,1681,1684,49.23,65.14,1.75,74.0,418.07,426.57
3148905,Pedra do Indaiá,114.29,0.0,0.0,0.0,13.2,33.5,18.77,49.3,100.0,25.8,0.0,0.0,Não,3878,1986,1889,43.69,52.98,1.88,76.0,578.46,791.8
3149002,Pedra Dourada,0.0,0.0,94.79,40.0,16.6,25.1,13.61,40.9,100.0,0.0,45.6,45.6,Não,2187,1136,1055,50.35,59.38,2.48,75.0,406.3,658.78
3149101,Pedralva,0.0,0.0,0.0,40.32,10.9,30.5,21.89,60.6,95.9,8.7,8.7,8.7,Não,11467,5858,5609,48.13,48.51,1.97,73.0,541.01,921.96
3149150,Pedras de Maria da Cruz,33.69,29.27,0.0,8.13,30.8,23.0,13.65,36.8,100.0,19.3,38.7,29.0,Não,10310,5293,5022,56.19,61.35,2.36,72.0,268.27,444.95
3149200,Pedrinópolis,123.92,0.0,0.0,25.0,12.5,43.0,27.88,37.7,100.0,0.0,28.6,0.0,Não,3490,1798,1692,46.08,83.87,2.06,76.0,702.77,1088.31
3149309,Pedro Leopoldo,12.99,37.2,13.34,18.06,6.5,53.7,38.81,56.1,100.0,166.8,66.3,17.0,Não,58696,28695,29967,40.95,85.11,1.75,76.0,721.11,1145.86
3149408,Pedro Teixeira,0.0,0.0,0.0,0.0,13.8,29.3,16.13,70.0,0.0,0.0,0.0,0.0,Não,1789,948,837,43.68,54.06,1.72,73.0,309.25,553.63
3149507,Pequeri,0.0,0.0,0.0,0.0,10.1,43.6,25.85,21.4,100.0,94.7,0.0,0.0,Não,3165,1563,1602,45.36,92.13,1.46,77.0,593.92,786.65
3149606,Pequi,104.38,0.0,0.0,0.0,10.3,36.0,24.74,29.4,100.0,49.0,0.0,0.0,Não,4075,2042,2034,49.79,72.45,2.19,73.0,522.22,758.09
3149705,Perdigão,116.64,49.5,22.95,35.09,8.7,42.4,26.39,37.0,100.0,201.9,33.6,11.2,Não,8912,4547,4350,44.26,88.22,1.9,76.0,668.59,981.71
3149804,Perdizes,26.52,0.0,0.0,19.11,10.0,36.4,21.87,46.9,100.0,118.0,41.6,13.8,Não,14391,7527,6866,44.9,68.97,2.56,78.0,861.29,1281.65
3149903,Perdões,60.61,0.0,19.58,11.36,9.1,39.8,26.29,56.9,90.3,49.7,19.9,4.9,Não,20140,9875,10212,43.33,88.5,1.64,78.0,663.06,1137.87
3149952,Periquito,171.82,53.73,0.0,20.2,22.5,30.8,18.71,54.4,100.0,71.0,170.5,28.4,Não,7030,3452,3584,60.09,75.17,2.12,75.0,320.07,626.1
3150000,Pescador,91.74,0.0,0.0,0.0,25.7,27.6,18.45,45.4,100.0,0.0,72.6,24.2,Não,4129,2045,2083,61.14,78.95,2.32,75.0,367.74,789.51
3150109,Piau,0.0,0.0,0.0,0.0,16.1,25.1,17.1,42.4,100.0,35.2,35.2,0.0,Não,2844,1490,1351,45.07,58.78,1.85,74.0,449.68,681.68
3150158,Piedade de Caratinga,107.64,0.0,28.89,17.54,22.4,17.3,8.09,40.8,100.0,28.1,56.2,14.0,Não,7101,3649,3461,53.37,64.73,2.55,71.0,381.36,623.99
3150208,Piedade de Ponte Nova,0.0,0.0,0.0,19.23,20.4,22.9,16.09,39.9,100.0,24.6,24.6,24.6,Não,4063,1992,2070,51.62,78.24,2.56,73.0,368.71,649.51
3150307,Piedade do Rio Grande,0.0,0.0,0.0,20.0,16.5,23.7,14.66,52.4,100.0,0.0,0.0,0.0,Não,4709,2385,2314,48.9,73.84,1.85,74.0,428.95,539.31
3150406,Piedade dos Gerais,0.0,0.0,0.0,62.5,17.5,19.7,10.57,44.6,100.0,107.7,21.5,21.5,Não,4645,2417,2223,47.01,45.74,1.67,75.0,443.35,608.04
3150505,Pimenta,0.0,0.0,0.0,21.05,10.5,29.1,17.0,53.3,100.0,36.4,0.0,0.0,Não,8236,4243,3993,40.03,84.32,1.56,75.0,613.61,927.52
3150539,Pingo D' Água,0.0,0.0,0.0,17.24,21.7,23.4,15.76,57.1,100.0,22.6,45.2,0.0,Não,4420,2199,2221,51.24,91.29,2.21,70.0,340.91,614.59
3150570,Pintópolis,0.0,0.0,0.0,0.0,23.9,20.9,11.39,30.0,100.0,0.0,13.8,0.0,Não,7215,3778,3433,62.31,35.11,2.81,73.0,260.14,445.71
3150604,Piracema,70.13,0.0,31.52,0.0,14.2,26.1,16.47,46.3,100.0,0.0,31.2,0.0,Não,6406,3233,3173,46.39,47.36,1.43,74.0,444.75,664.6
3150703,Pirajuba,0.0,0.0,0.0,35.71,10.8,42.6,23.9,24.5,100.0,85.9,42.9,21.4,Não,4664,2545,2111,42.88,88.72,2.56,76.0,838.37,1389.48
3150802,Piranga,21.45,21.27,0.0,15.63,14.9,20.3,11.67,29.1,100.0,23.2,17.4,5.8,Não,17230,8648,8584,53.77,34.58,1.72,73.0,305.73,485.27
3150901,Piranguçu,160.77,0.0,0.0,41.67,13.2,32.7,20.62,40.5,100.0,19.1,0.0,0.0,Não,5219,2676,2483,45.98,33.97,1.55,73.0,504.1,759.24
3151008,Piranguinho,50.66,0.0,0.0,34.09,9.5,42.6,28.63,53.1,100.0,37.4,24.9,0.0,Não,8016,4066,3950,47.91,61.79,1.82,75.0,523.5,833.35
3151107,Pirapetinga,38.26,0.0,57.05,7.04,10.5,46.2,31.58,31.8,100.0,38.6,38.6,9.6,Não,10366,5105,5259,41.72,87.82,2.22,75.0,550.3,896.56
3151206,Pirapora,33.47,12.74,7.35,12.11,8.9,54.5,38.56,53.0,84.5,281.0,18.7,1.8,Sim,53379,25767,26928,45.79,98.16,2.42,75.0,596.44,987.18
3151305,Piraúba,0.0,0.0,18.44,7.52,11.6,31.5,20.98,30.2,100.0,82.8,18.4,9.2,Não,10866,5439,5423,44.73,81.15,1.68,76.0,527.81,744.43
3151404,Pitangui,15.25,14.93,23.5,14.29,7.6,45.5,32.73,52.1,100.0,134.3,15.8,0.0,Não,25339,12521,12739,45.74,89.38,2.05,77.0,669.0,1056.32
3151503,Piumhi,37.73,24.02,6.24,14.45,8.5,39.1,25.48,56.6,89.9,21.9,12.5,9.4,Não,31885,15850,16033,42.11,89.59,1.72,78.0,747.2,1136.57
3151602,Planura,68.21,0.0,20.27,0.0,10.4,40.6,23.87,30.4,100.0,86.6,48.1,9.6,Não,10393,5451,4933,41.96,97.18,2.29,76.0,669.6,1095.99
3151701,Poço Fundo,27.2,0.0,12.91,0.0,8.4,25.8,16.97,42.0,100.0,18.8,18.8,6.2,Não,15961,8213,7746,43.31,58.16,2.02,77.0,644.47,935.47
3151800,Poços de Caldas,23.45,10.39,13.97,9.34,4.4,56.9,40.09,52.3,100.0,53.7,9.1,5.2,Não,152496,73668,78745,40.47,97.56,1.69,77.0,953.96,1364.19
3151909,Pocrane,0.0,90.7,0.0,12.99,22.7,24.7,13.69,51.4,100.0,0.0,55.6,33.3,Não,8998,4515,4471,50.97,60.08,2.21,73.0,365.67,515.74
3152006,Pompéu,38.22,12.15,13.82,12.35,12.3,37.3,22.58,43.8,100.0,41.2,44.6,20.6,Não,29083,14638,14467,48.22,88.44,2.33,75.0,598.83,1063.64
3152105,Ponte Nova,20.79,26.62,20.07,10.45,8.5,45.4,32.68,43.3,100.0,202.1,48.7,8.7,Não,57361,26860,29145,42.57,89.19,1.76,76.0,679.67,1064.35
3152131,Ponto Chique,0.0,0.0,51.36,0.0,21.0,29.5,20.91,21.7,100.0,0.0,0.0,0.0,Não,3966,2019,1947,55.73,65.08,2.31,73.0,269.28,434.04
3152170,Ponto dos Volantes,72.73,0.0,0.0,17.75,35.9,21.2,12.42,38.0,12.3,17.6,44.0,35.2,Não,11345,5797,5548,68.78,35.53,2.68,72.0,267.46,388.89
3152204,Porteirinha,56.45,0.0,10.64,9.65,27.4,27.8,18.4,58.2,83.9,45.1,31.8,7.9,Não,37638,18828,18799,45.98,51.39,1.83,73.0,320.48,493.26
3152303,Porto Firme,37.65,0.0,19.55,0.0,16.6,26.1,14.95,46.8,100.0,76.8,48.0,0.0,Não,10410,5303,5114,45.37,46.38,1.64,73.0,366.49,502.62
3152402,Poté,51.44,72.76,0.0,4.78,32.2,22.9,15.83,29.2,100.0,51.0,63.8,25.5,Não,15668,7719,7948,61.26,59.6,2.63,74.0,303.44,431.79
3152501,Pouso Alegre,11.53,0.0,16.64,11.42,4.9,57.8,41.57,47.9,96.8,93.4,16.8,2.3,Não,130586,64519,66096,39.8,91.56,1.81,77.0,878.26,1320.38
3152600,Pouso Alto,70.57,0.0,0.0,13.33,10.3,30.2,17.92,52.7,100.0,48.2,16.1,0.0,Não,6213,3135,3078,43.83,58.88,2.13,76.0,778.57,1252.19
3152709,Prados,0.0,0.0,0.0,28.57,8.1,31.6,20.51,40.2,100.0,23.8,11.9,0.0,Não,8395,4139,4101,44.46,70.74,1.73,77.0,485.2,750.18
3152808,Prata,45.88,29.08,15.96,11.94,11.8,35.0,17.93,44.1,95.5,127.9,65.8,15.5,Não,25805,13273,12529,43.63,75.11,2.4,76.0,782.28,1243.08
