ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo
3114303,Carmo do Parana?ba,Triangulo Mineiro/Alto Paranaiba,2544,862,1015,"26,53",N?o,Sim,1,"71,8","62,6",2,"1,9","28,1","76,7",13,30823,8,20,9,"4,48",5522,"312,24","6,85","19,47",0,"8,01",,100
3114402,Carmo do Rio Claro,Sul/Sudoeste de Minas,1696,805,784,"22,78",N?o,Sim,2,"73,5","60,9","0,5","0,5","19,7","67,5",8,21400,8,20,9,"4,87",3295,"221,87","7,15",0,0,"7,61",,100
3114501,Carm?polis de Minas,Oeste de Minas,1543,716,677,"15,78",N?o,Sim,1,"71,8","68,6","1,2","1,3","9,2","82,7",4,18812,8,20,9,"4,98",3276,"264,91","6,22","5,32","20,66","13,57",70,
3114550,Carneirinho,Triangulo Mineiro/Alto Paranaiba,863,571,341,"30,38",N?o,Sim,1,68,"43,9","1,3","1,3","22,3","60,1",17,10030,8,21,9,"4,71",1552,"283,49","4,39","9,97",0,"21,96",80,
3114600,Carrancas,Campo das Vertentes,455,192,188,"31,05",N?o,,,"73,7","46,2","0,6","0,6","17,7","63,1",2,4103,8,21,10,"7,17",534,"192,78","7,8",0,0,"7,53",,
3114709,Carvalh?polis,Sul/Sudoeste de Minas,364,164,162,"6,29",N?o,Sim,1,"73,3","48,7","1,6","1,2","35,5",69,8,3563,8,21,10,"6,24",393,"176,83","9,54","28,07",0,"11,28",70,
3114808,Carvalhos,Sul/Sudoeste de Minas,736,630,551,"6,81",N?o,Sim,1,"56,4","57,1","1,5","1,6","1,8","70,2",2,4625,8,21,10,"17,27",439,"151,32","9,73",0,0,"7,35",,
3114907,Casa Grande,Metropolitana de Belo Horizonte,190,124,112,"7,9",N?o,Sim,1,"78,2","53,7",0,0,0,"74,1",1,2309,7,20,10,"6,98",414,"276,6","6,06",0,0,"3,03",,100
3115003,Cascalho Rico,Triangulo Mineiro/Alto Paranaiba,348,230,140,"5,54",N?o,Sim,1,"74,5","73,9","0,3","0,3","25,3","80,8",7,3055,7,19,11,"7,39",425,"185,6","5,56",0,0,"1,31",,
3115102,C?ssia,Sul/Sudoeste de Minas,2217,1157,852,"33,96",Sim,Sim,1,"72,5",56,"1,2","1,2","33,6","69,3",5,18036,8,21,9,"6,41",2641,"235,81","7,87","11,09","21,6","9,81",,
3115201,Concei??o da Barra de Minas,Campo das Vertentes,557,407,346,"10,45",N?o,Sim,1,"65,8",56,0,0,"1,6",65,5,4052,8,21,10,"11,26",295,"107,28","6,17","24,68","99,59","3,6","55,3",
3115300,Cataguases,Zona da Mata,7849,3853,3288,"23,35",Sim,Sim,1,"63,9","45,1","1,2","1,2","32,4",65,4,74609,8,20,8,"5,66",15803,"368,95","7,83","10,72","30,56","20,62",,100
3115359,Catas Altas,Metropolitana de Belo Horizonte,472,201,168,11,N?o,Sim,1,"74,3","48,8","0,3","0,2","31,5","73,4",9,5274,8,21,10,"4,11",751,"246,96","6,45","18,96","76,7","29,14",75,
3115409,Catas Altas da Noruega,Metropolitana de Belo Horizonte,560,422,381,"9,47",N?o,Sim,1,75,"57,7","0,8","0,9","15,3","88,5",2,3652,8,21,10,"14,6",205,"68,86","5,48",0,0,"1,83",,100
3115458,Catuji,Vale do Mucuri,1871,1525,1244,"25,17",N?o,Sim,1,100,"52,2","3,3","3,1","9,5",100,2,6646,9,21,9,"41,65",615,"112,48","9,63","60,19",0,"3,42",,
3115474,Catuti,Norte de Minas,1219,917,885,"5,25",N?o,,,"85,4","82,4","0,5","0,6","31,4","93,2",2,5163,8,21,9,"29,85",257,"61,87","6,2",0,0,"0,35",52,
3115508,Caxambu,Sul/Sudoeste de Minas,2280,1258,1216,"24,59",Sim,Sim,1,71,"56,2",2,"2,1","42,6","77,9",1,22219,8,20,9,"8,48",3402,"226,26",9,"4,5","17,37","27,19","94,5",
3115607,Cedro do Abaet?,Central Mineira,219,159,102,"31,81",N?o,Sim,1,"81,5","55,7",0,0,"58,1","76,3",2,1213,7,20,11,"13,71",109,"141,26","4,95",0,0,"2,31",,
3115706,Central de Minas,Vale do Rio Doce,1520,1299,1053,"41,77",N?o,Sim,1,"71,6","54,9","0,3","0,3",17,"68,4",5,7092,8,21,9,"30,49",542,"97,69","7,61","42,3","111,67","2,66",,
3115805,Centralina,Triangulo Mineiro/Alto Paranaiba,1763,1408,940,"24,25",N?o,,,"57,9","35,2","1,1","1,2","30,3","50,3",3,10613,8,20,9,"11,7",929,"138,87","5,56","9,42",0,"7,23",,
3115904,Ch?cara,Zona da Mata,387,261,243,"11,28",N?o,Sim,1,"78,8","35,2","2,1","1,6","23,1","61,6",5,3072,7,20,11,"11,79",259,"125,32","10,09","32,55","137,14","6,93",,100
3116001,Chal?,Zona da Mata,1025,817,685,"15,39",N?o,Sim,1,"78,9","54,6","4,2","4,3","23,8",68,1,5820,8,21,9,"16,55",336,"78,5","8,25","17,18",0,"2,15",,
3116100,Chapada do Norte,Jequitinhonha,2477,1745,1598,"15,14",N?o,Sim,1,"70,6",54,"0,4","0,4","23,4","77,5",11,15666,8,21,9,"14,95",651,"57,07","4,02",0,0,"0,52",,
3116159,Chapada Ga?cha,Norte de Minas,2559,2057,1669,"6,2",N?o,Sim,1,100,"63,7",1,1,"23,4","90,2",7,12739,9,20,8,"32,62",761,"93,4","2,51","7,85","29,93","0,43",,
3116209,Chiador,Zona da Mata,365,285,198,"5,99",N?o,Sim,1,"83,9","29,9","0,5","0,5","4,2","59,9",2,2798,7,19,11,"14,21",392,"190,14","8,22","35,74",0,"5,36",,100
3116308,Cipot?nea,Zona da Mata,1096,872,820,"10,19",N?o,Sim,1,"63,1","40,3","1,3","1,4","0,3","56,2",2,6850,8,21,9,"16,12",211,"37,95","7,45",0,0,"1,15",,
3116407,Claraval,Sul/Sudoeste de Minas,605,407,246,"23,1",N?o,,,"80,3","58,4","1,9","1,9","20,2","71,6",3,4824,8,21,10,"8,89",654,"207,52","1,45",0,0,"6,2",,
3116506,Claro dos Po??es,Norte de Minas,1876,1363,1052,"14,07",N?o,Sim,1,"79,2","61,2",2,"2,1","25,3","76,9",7,7840,8,21,9,"26,06",557,"97,05","9,69",0,0,"1,63",,
3116605,Cl?udio,Oeste de Minas,1811,572,709,"13,08",Sim,Sim,1,"84,4","64,1","0,9","0,9","33,1","73,9",12,28063,8,20,9,"3,42",7610,"411,44","6,73","7,13","27,5","24,8",,
3116704,Coimbra,Zona da Mata,1289,791,651,"20,6",N?o,Sim,1,"74,2","60,3","1,4","1,2","29,3",83,4,7520,8,21,9,"10,7",931,"184,6","10,51","53,19","102,57","7,98",,100
3116803,Coluna,Vale do Rio Doce,1705,1280,1190,"23,28",N?o,,,"84,4","49,9","0,6","0,7","3,9","69,7",2,9162,8,21,9,"21,05",533,"74,32","6,11","54,57","84,44","1,8",,
3116902,Comendador Gomes,Triangulo Mineiro/Alto Paranaiba,432,391,209,"4,88",N?o,Sim,1,"82,4","45,5",0,0,"31,7","67,6",7,3127,7,19,11,"15,49",1433,"667,59","3,52",0,0,"12,5",100,100
3117009,Comercinho,Jequitinhonha,1747,1483,1352,"25,62",N?o,Sim,1,"80,9","49,4","0,6","0,7","26,2","77,7",4,7714,8,22,9,"34,28",394,"74,5","7,78",0,0,"1,27",,
3117108,Concei??o da Aparecida,Sul/Sudoeste de Minas,1169,701,573,"20,4",N?o,Sim,1,82,"54,3","0,8","0,8","24,5","62,5",4,10339,8,21,9,"6,96",1076,"148,08","4,84","9,67","37,36","2,78",100,
3117207,Concei??o das Pedras,Sul/Sudoeste de Minas,336,205,215,"9,58",N?o,Sim,1,"69,7","49,5","1,5","1,6","16,5","66,8",2,2854,8,19,10,"10,58",232,"132,75","8,06",0,0,"2,1",,
3117306,Concei??o das Alagoas,Triangulo Mineiro/Alto Paranaiba,3160,1602,1113,"18,59",N?o,Sim,1,"83,4","50,7","1,4","1,4","33,4","72,2",13,26428,8,20,8,"5,5",4946,"458,38","6,17","34,05","73,14","23,42",,100
3117405,Concei??o de Ipanema,Vale do Rio Doce,781,723,549,"6,65",N?o,,,"74,9",52,0,0,"18,5","64,5",1,4636,8,21,10,"17,09",261,"81,13","5,18",0,0,"1,04",,
3117504,Concei??o do Mato Dentro,Metropolitana de Belo Horizonte,3407,2420,2231,"38,59",N?o,Sim,1,100,"61,4",4,4,16,"94,7",7,18160,8,21,9,"22,68",3812,"794,93","6,39",0,0,"13,58","77,9",
3117603,Concei??o do Par?,Oeste de Minas,597,276,254,"11,8",N?o,Sim,1,68,"53,3","0,1","0,2","12,5","68,4",7,5488,8,21,9,"7,08",1835,"844,98","5,83","18,22",0,"16,67",,
3117702,Concei??o do Rio Verde,Sul/Sudoeste de Minas,1798,955,824,"27,64",N?o,Sim,2,"78,9","50,2","2,4","2,5","28,5","71,9",7,13672,8,21,9,"9,52",2110,"197,06","7,24",0,0,"17,42",,
3117801,Concei??o dos Ouros,Sul/Sudoeste de Minas,937,455,438,"14,63",N?o,Sim,1,"74,7","53,5","1,6","1,5","28,6",72,5,11367,8,20,9,"5,48",1989,"246,7","6,69",0,0,"17,52",,
3117836,C?nego Marinho,Norte de Minas,1618,1312,1199,"8,87",N?o,Sim,1,"88,5","79,1","0,2","0,2","16,8",100,5,7611,8,21,9,"40,92",276,"48,81","6,18","13,14",0,"0,13",,
3117876,Confins,Metropolitana de Belo Horizonte,413,189,233,"5,13",N?o,Sim,1,"71,8","58,3","3,1","2,9","49,2","82,7",1,6545,8,21,9,"5,75",5663,"3025,98","5,5",0,0,"28,59",,
3117900,Congonhal,Sul/Sudoeste de Minas,1129,645,520,"22,77",N?o,Sim,1,"66,8","38,5","0,8","0,9","22,4","52,2",2,11588,8,20,9,"7,14",1374,"182,99","6,47",0,0,"13,95",,
3118007,Congonhas,Metropolitana de Belo Horizonte,3649,1247,1344,11,Sim,Sim,1,"80,2","59,1","2,2","2,1",20,"87,7",15,53348,8,20,8,"3,3",15030,"697,67","6,41","24,37","42,85","40,22",,
3118106,Congonhas do Norte,Metropolitana de Belo Horizonte,876,635,637,"6,79",N?o,Sim,1,"86,5","54,3","1,5",1,"2,8","83,5",5,5128,7,21,10,"28,26",282,"74,02","5,66",0,0,"3,12",,
3118205,Conquista,Triangulo Mineiro/Alto Paranaiba,509,382,266,"14,67",N?o,Sim,1,"65,9","36,4","1,6","1,5","18,2","55,9",12,6928,8,21,9,"6,24",1329,"436,1","6,78","14,43",0,"28,57","94,6",100
3118304,Conselheiro Lafaiete,Metropolitana de Belo Horizonte,6312,2508,2326,"13,7",Sim,Sim,1,"78,7","52,4","2,8","2,6","15,9","81,3",7,126420,8,19,8,"2,33",20875,"274,82","6,48","15,03",36,"44,36",,
3118403,Conselheiro Pena,Vale do Rio Doce,2648,1983,1744,"41,55",N?o,Sim,1,"72,2",46,"1,9","1,9","11,3","62,8",13,23192,8,20,9,"11,21",1904,"147,37","6,38","8,62",0,"12,5",,
3118502,Consola??o,Sul/Sudoeste de Minas,237,169,156,"6,18",N?o,Sim,1,70,"54,1",0,0,"49,8","66,6",3,1807,7,20,11,"13,37",133,"134,35","6,09",0,0,"3,93",,
3118601,Contagem,Metropolitana de Belo Horizonte,41568,29113,23509,"13,63",Sim,Sim,1,"79,4","57,9",2,"1,9","18,8",82,4,653800,7,18,7,"5,83",184997,"638,57","5,27","43,29","96,48","39,94","71,8",99
3118700,Coqueiral,Sul/Sudoeste de Minas,1469,752,773,"17,15",N?o,Sim,1,"72,3",54,"0,9",1,12,"70,4",12,9446,8,21,9,"12,44",1243,"165,13","7,2",0,0,"5,46",,
3118809,Cora??o de Jesus,Norte de Minas,5901,4914,4204,"34,68",N?o,,,"83,7",70,"1,4","1,4","20,3","80,4",20,27014,8,20,9,"26,33",1422,"70,26","5,18","11,11","14,27","1,34",,
3118908,Cordisburgo,Metropolitana de Belo Horizonte,1154,770,691,"23,84",N?o,Sim,1,"59,7","52,4","0,6","0,7","1,6","62,6",7,9014,8,21,9,"11,31",658,"103,11","7,65",0,0,"4,85",55,
3119005,Cordisl?ndia,Sul/Sudoeste de Minas,608,432,334,"24,44",N?o,Sim,1,"69,1","38,3",0,0,"19,3","55,4",7,3580,8,21,10,"16,83",489,"172,98","10,89","27,93",0,"3,24",,
3119104,Corinto,Central Mineira,3429,2221,2084,"52,65",N?o,Sim,1,"82,2","56,8","1,7","1,8","19,1","72,9",1,24407,8,20,9,"12,61",2834,"172,05","8,19",0,0,"7,88","68,6",
3119203,Coroaci,Vale do Rio Doce,1608,1157,1076,"22,23",N?o,Sim,1,"75,5","46,5","1,1","1,2","24,1","66,6",5,10365,8,21,9,"20,56",537,"70,86","8,49",0,0,"3,46",,
3119302,Coromandel,Triangulo Mineiro/Alto Paranaiba,2888,1853,1342,"30,36",N?o,Sim,1,"79,1","62,9","0,9",1,29,"75,9",12,28483,8,20,9,"5,63",5124,"283,81","5,9","10,53","13,52","9,38",,100
3119401,Coronel Fabriciano,Vale do Rio Doce,9499,4808,4711,"19,73",N?o,Sim,1,"74,1","59,3","1,8","1,8","38,8","80,3",14,109857,8,19,8,"6,02",16451,"243,99","6,42","41,87","89,84","32,25",,
3119500,Coronel Murta,Jequitinhonha,1747,1388,1334,"21,07",N?o,Sim,1,"85,1","68,7",1,"1,1","27,5","79,8",6,9405,8,21,9,"26,97",711,"96,42","5,95","10,63","41,04","0,96","56,7",
3119609,Coronel Pacheco,Zona da Mata,334,222,183,"21,01",N?o,Sim,1,"63,4","39,4","1,8","1,3",0,"78,8",6,3117,7,19,10,"8,91",399,"172,63","9,95",0,0,"11,61",,100
3119708,Coronel Xavier Chaves,Campo das Vertentes,275,121,125,"6,48",N?o,,,"74,3","57,9","1,7","1,8","2,8","76,7",4,3461,7,21,10,"6,24",400,"165,49","5,2",0,0,"7,63",,
3119807,C?rrego Danta,Oeste de Minas,380,196,148,"12,4",N?o,,,"57,8","38,7",0,0,26,"55,7",8,3374,8,21,10,"7,23",510,"234,64","8,3",0,0,"6,73",,
3119906,C?rrego do Bom Jesus,Sul/Sudoeste de Minas,350,240,190,"18,63",N?o,Sim,1,"74,5","74,9",0,0,"13,8","80,8",5,3807,7,21,10,"6,29",252,"91,77","11,56",0,0,"8,12",,100
3119955,C?rrego Fundo,Oeste de Minas,617,101,119,"10,14",N?o,Sim,1,"67,3","44,1","0,5","0,5","28,7","55,6",5,6252,8,20,9,"2,76",1441,"368,98","5,76","31,99",0,"10,43",81,100
3120003,C?rrego Novo,Vale do Rio Doce,538,405,348,"10,17",N?o,,,"94,2",46,"1,6","1,7","47,8","60,4",3,3000,8,21,10,"22,81",353,"147,69",5,"66,67","135,13","7,47",,
3120102,Couto de Magalh?es de Minas,Jequitinhonha,751,436,401,"25,48",N?o,Sim,1,81,"67,1","2,2","2,3","48,3","95,5",2,4428,8,21,10,"16,38",394,"119,69","9,03","22,58",0,"2,28",,
3120151,Cris?lita,Vale do Mucuri,1213,932,877,"11,89",N?o,Sim,1,"77,3","49,6","0,6","0,6","26,1","73,6",5,6579,8,22,9,"25,87",438,"89,03","5,02","15,2",0,"1,17",,
3120201,Cristais,Oeste de Minas,952,633,584,"13,46",N?o,Sim,1,"65,5","40,7","0,9","0,8","24,4","52,6",4,12444,8,21,9,"7,7",2801,"260,03","5,46","16,07",0,"6,11",,
3120300,Crist?lia,Norte de Minas,1631,1485,1210,"5,49",N?o,Sim,1,100,"83,4",1,"1,1","11,7",100,8,6026,9,21,8,"44,61",397,"104,25","4,48",0,0,"0,53",,
3120409,Cristiano Otoni,Metropolitana de Belo Horizonte,580,256,249,"15,58",N?o,Sim,1,78,"44,1","2,6","2,4","2,5","72,7",5,5215,8,22,9,"7,03",691,"183,18","6,71","19,18","76,11","11,68",,100
3120508,Cristina,Sul/Sudoeste de Minas,1013,398,546,"22,58",N?o,Sim,1,"64,9",56,"0,6","0,6","19,9","68,6",4,10483,7,21,9,"7,34",1288,"169,79","8,01",0,0,"23,89",,
3120607,Crucil?ndia,Metropolitana de Belo Horizonte,634,463,404,"14,08",N?o,Sim,1,"76,2","49,6","1,2","1,2","20,3","70,9",5,5036,8,20,10,"9,95",559,"151,92","11,32",0,0,"3,97",,100
3120706,Cruzeiro da Fortaleza,Triangulo Mineiro/Alto Paranaiba,644,387,293,"18,44",N?o,Sim,1,97,"55,4","1,3",1,"44,4","76,6",4,4158,8,21,10,"12,53",618,"259,64","7,7",0,0,"3,08",,
3120805,Cruz?lia,Sul/Sudoeste de Minas,2079,1441,1250,"31,57",Sim,Sim,1,"69,4","59,7","1,7","1,7","29,3","83,1",3,15435,8,21,9,"13,3",2554,"248,27","8,75","6,48","25,22","17,05",,
3120839,Cuparaque,Vale do Rio Doce,783,666,561,"8,1",N?o,Sim,1,"69,4","40,5","1,6","1,6","26,7","65,2",4,4972,8,21,10,"21,95",394,"104,54","8,25","20,11",0,"1,99",,
3120870,Curral de Dentro,Norte de Minas,1910,1648,1309,"11,08",N?o,Sim,1,100,"69,2",2,"2,2","11,2","94,1",3,7559,8,21,9,"32,47",420,"79,64","5,42",0,0,"1,4",,90
3120904,Curvelo,Central Mineira,7335,4767,4179,"31,97",Sim,Sim,2,"83,2","58,5",3,3,"26,9","86,5",6,79401,8,19,8,"7,79",15627,"303,28","6,98","25,19","66,04","15,04","83,2",100
3121001,Datas,Jequitinhonha,1052,678,599,"29,9",N?o,Sim,1,"87,6",81,"0,5","0,5","47,3",100,3,5457,8,21,9,"17,46",502,"115,74","6,96",0,0,"2,33",68,
3121100,Delfim Moreira,Sul/Sudoeste de Minas,872,409,422,"15,3",N?o,Sim,1,"70,2","71,3","1,1","1,2","0,9","98,4",5,8203,8,21,9,"7,18",789,"131,89","5,36",0,0,"7,64",,100
3121209,Delfin?polis,Sul/Sudoeste de Minas,587,342,273,"19,46",N?o,Sim,1,82,55,0,0,"38,9","69,3",11,7165,8,21,9,"5,8",1553,"328,84","7,54",0,0,"5,75",,
3121258,Delta,Triangulo Mineiro/Alto Paranaiba,971,761,533,"9,85",N?o,Sim,1,"82,6","43,5","3,7","3,3","24,2","72,7",7,9707,9,20,7,"10,35",3079,"959,11","4,43","10,3",0,"20,48",,100
3121308,Descoberto,Zona da Mata,630,332,312,"24,31",N?o,Sim,1,58,"50,9",0,0,"40,7","69,7",4,5029,7,21,10,"9,98",946,"217,53","7,36","19,88","80,33","5,95",,100
3121407,Desterro de Entre Rios,Metropolitana de Belo Horizonte,672,360,369,"17,93",N?o,Sim,1,"65,1","50,7",1,1,"1,9","71,5",1,7317,8,21,9,"6,4",492,"102,76","9,43","13,67","52,63","3,69",,
3121506,Desterro do Melo,Campo das Vertentes,416,289,291,"13,49",N?o,Sim,1,"77,2","64,9",0,0,"1,3","86,3",3,3026,8,21,10,"14,33",293,"128,65","16,52","33,05","133,72","3,54",,
3121605,Diamantina,Jequitinhonha,6369,3902,3430,"29,76",N?o,Sim,1,"82,8","61,7","2,3","2,3","37,7","93,1",7,48095,8,20,8,"10,64",8740,"491,2","5,95","10,4","23,78","11,26",,
3121704,Diogo de Vasconcelos,Metropolitana de Belo Horizonte,748,533,500,"2,79",Sim,Sim,1,"77,7",52,"1,5","1,6","13,8","71,4",,3918,7,22,10,"19,68",164,"56,61","5,62",0,0,"1,97",,
3121803,Dion?sio,Metropolitana de Belo Horizonte,1137,710,639,"16,1",N?o,Sim,1,"55,9",51,0,0,"8,4","60,5",5,8373,8,21,9,"10,42",590,"84,41","7,4","35,83","46,01","9,23",,100
3121902,Divin?sia,Zona da Mata,427,206,203,"7,28",N?o,,,"82,6","47,1","1,8","1,6","43,5","70,9",5,3446,8,21,10,"8,21",334,"128,64","7,84","58,04","117,67","19,12",,100
3122009,Divino,Zona da Mata,3900,2931,2664,"33,92",N?o,Sim,1,"78,7","45,6","2,2","1,9","11,6","72,4",5,20074,8,21,9,"21,97",1420,"100,85","8,87","39,85","58,35","3,81",,
3122108,Divino das Laranjeiras,Vale do Rio Doce,823,614,521,"17,95",N?o,,,"73,3","51,9","2,6","2,8","30,8","68,3",5,5084,8,21,10,"16,4",349,"90,84","9,05","78,68","79,47","3,21",,100
3122207,Divinol?ndia de Minas,Vale do Rio Doce,1758,1646,1009,"15,03",N?o,Sim,1,"86,1","53,1","0,7","0,7","17,8","88,3",2,7517,8,21,9,"39,8",349,"61,42","6,25","26,61","51,47","4,7",,
3122306,Divin?polis,Oeste de Minas,9251,4095,3075,"13,95",Sim,Sim,1,"70,7","55,4","1,8","1,8","24,2","75,9",39,232945,8,19,6,"1,64",56763,"454,91","6,31","25,76","60,22","55,33",,
3122355,Divisa Alegre,Norte de Minas,1388,1146,925,"16,37",N?o,,,100,"63,5","3,6","3,6","20,9","87,3",3,6553,8,21,9,"25,16",806,"220,53","7,32",0,0,"1,85",,
3122405,Divisa Nova,Sul/Sudoeste de Minas,719,344,303,"19,38",N?o,Sim,1,"82,9","52,5","2,1","1,7","24,8",69,3,6050,8,21,9,"8,3",670,"143,59","6,28",0,0,"4,94",,
3122454,Divis?polis,Jequitinhonha,1925,1674,1478,"13,53",N?o,Sim,1,"66,6","45,5",5,"4,7","15,5","79,6",3,10382,8,21,9,"32,84",398,"60,57","4,14","48,16","74,2","0,63",,
3122470,Dom Bosco,Noroeste de Minas,595,407,331,"11,49",N?o,Sim,1,"88,7","63,6",1,1,"24,6","79,5",10,3830,7,21,10,"11,61",314,"120,46","7,83","52,22","105,48","5,85",,
3122504,Dom Cavati,Vale do Rio Doce,862,497,422,"31,76",N?o,Sim,1,81,"63,6","1,6","1,7","0,7","80,5",4,5260,8,21,9,"12,88",452,"108,08","9,51",0,0,"6,27",,
3122603,Dom Joaquim,Metropolitana de Belo Horizonte,713,547,523,"18,57",N?o,Sim,1,"99,4","65,2","1,9","2,1","52,5","78,8",5,4609,8,21,10,"19,81",378,"117,24","7,59",0,0,"6,05",,100
3122702,Dom Silv?rio,Zona da Mata,487,317,303,"25,58",N?o,Sim,1,"61,5",51,"1,1","1,1","28,6","60,3",3,5349,8,21,9,"10,45",984,"291,03","2,99","37,39","73,87","8,38",,100
3122801,Dom Vi?oso,Sul/Sudoeste de Minas,366,176,162,"8,14",N?o,Sim,1,"83,2","75,7","3,3","3,5","3,7",80,4,3073,7,19,11,"5,86",298,"142,78","7,16",0,0,"19,72",,
3122900,Dona Euz?bia,Zona da Mata,692,393,330,"22,34",N?o,Sim,1,"69,8","53,5","2,9",3,"17,1",67,2,6483,8,21,9,"7,56",984,"171,32","7,1",0,0,"5,82",,100
3123007,Dores de Campos,Campo das Vertentes,659,224,214,"18,81",N?o,Sim,1,"66,8","46,7","1,5","1,5","18,4","61,5",5,10026,8,21,9,"2,36",2646,"384,82","5,69",0,0,18,,100
3123106,Dores de Guanh?es,Vale do Rio Doce,783,519,451,"10,12",N?o,Sim,1,"87,8","65,1",1,"1,1","31,6","85,9",5,5322,8,21,9,"13,06",576,"186,04","7,52","18,79","74,38","2,93",,100
3123205,Dores do Indai?,Central Mineira,1477,719,544,"29,67",N?o,Sim,1,"66,1","49,6","2,3","2,2","20,4","63,1",5,13952,8,21,9,"4,82",2072,"211,03","7,96",0,0,"14,26",100,
3123304,Dores do Turvo,Zona da Mata,803,697,589,"19,08",N?o,Sim,1,"78,5","66,1","2,4","2,5","3,4","77,5",4,4455,8,22,10,"18,97",265,"66,64","10,77",0,0,"11,74",,100
3123403,Dores?polis,Oeste de Minas,256,191,114,"21,73",N?o,Sim,1,"75,5","45,9",0,0,"32,6","64,8",4,1526,7,20,9,"13,79",236,"559,05","3,28",0,0,"6,55",,
3123502,Douradoquara,Triangulo Mineiro/Alto Paranaiba,255,234,131,"8,61",N?o,Sim,1,78,"62,3",0,0,"8,5","64,4",4,1925,7,19,11,"11,17",270,"212,22","6,75",0,0,"0,73",,
3123528,Durand?,Zona da Mata,1464,1227,908,"10,9",N?o,Sim,1,81,"57,8","1,3","1,3","7,7","75,2",5,7852,8,22,9,"17,95",348,"77,07","4,84","38,21",0,2,,100
3123601,El?i Mendes,Sul/Sudoeste de Minas,2445,1258,1290,"19,9",Sim,Sim,1,"75,5",51,"0,9","0,9","22,6","73,1",7,27505,8,20,9,"7,62",4684,"252,45","6,18","3,64",0,"19,81",,
3123700,Engenheiro Caldas,Vale do Rio Doce,1486,992,871,"17,59",N?o,Sim,1,"76,7","42,7","1,2","1,2","42,4","68,6",5,11032,8,21,9,"11,04",1232,"131,62","6,07","27,19",0,"7,08",,
3123809,Engenheiro Navarro,Norte de Minas,1695,1513,1032,"17,71",N?o,Sim,1,"74,9","59,7","2,8","2,9","10,4","75,3",12,7369,8,21,9,"32,15",620,"107,22","5,7",0,0,"1,71","51,7",
3123858,Entre Folhas,Vale do Rio Doce,1118,890,757,"34,51",N?o,Sim,1,87,70,"1,6","1,4","26,1","91,7",3,5397,8,21,9,"20,71",140,"28,25","7,97","37,06","73,44","2,8",,100
3123908,Entre Rios de Minas,Metropolitana de Belo Horizonte,1534,719,765,"19,08",N?o,Sim,1,"72,1","54,6","1,9",2,"14,1","71,2",2,15210,8,21,9,"6,56",1564,"148,7","7,23",0,0,"14,02",,
3124005,Erv?lia,Zona da Mata,2508,1492,1507,"19,11",N?o,Sim,1,"84,9","62,6","2,5","2,4",15,"80,4",5,18944,8,21,9,"9,8",1999,"131,68","4,54","10,56",0,"3,66",,90
3124104,Esmeraldas,Metropolitana de Belo Horizonte,8706,5610,4782,"12,4",N?o,Sim,1,"98,3","56,1","1,7","1,4","3,3","85,3",2,68133,8,20,8,"12,13",6336,"162,54","5,8","36,69","106,05","14,74",,
3124203,Espera Feliz,Zona da Mata,3625,2980,2491,"23,46",N?o,Sim,1,"79,6","56,1","2,5","2,2","34,8","77,8",6,24641,8,20,9,14,2982,"163,5","6,41","12,17","31,34","3,79",,
3124302,Espinosa,Norte de Minas,6719,5279,4552,"26,06",N?o,Sim,1,81,"56,9","1,6","1,7","29,6","70,9",12,32183,8,21,8,"21,72",2715,"105,47","7,52","9,32","34,48","1,7",,
3124401,Esp?rito Santo do Dourado,Sul/Sudoeste de Minas,617,430,294,"9,18",N?o,Sim,1,75,"52,6",1,"0,9",37,"65,3",3,4692,8,20,10,"9,42",595,"183,13","8,53",0,0,"7,86",,
3124500,Estiva,Sul/Sudoeste de Minas,840,534,490,"18,91",N?o,Sim,1,"64,5","44,3","0,4","0,4","26,3","54,5",2,11411,8,21,9,"5,3",1440,"219,45","7,36",0,0,"17,3",,100
3124609,Estrela D' Alva,Zona da Mata,307,226,193,"18,71",N?o,,,"64,7","37,7","0,4","0,5","36,7","54,2",2,2459,7,19,11,"11,99",353,"184,01","13,01",0,0,"6,47",,100
3124708,Estrela do Indai?,Central Mineira,395,198,169,"14,1",N?o,Sim,1,"53,9","46,7","3,2","3,3","23,4","61,6",4,3593,8,21,10,"6,67",441,"178,88","8,63","27,83",0,"6,04",,
3124807,Estrela do Sul,Triangulo Mineiro/Alto Paranaiba,891,679,473,"29,31",N?o,Sim,1,"54,5","48,3","2,5","2,7","26,6","56,6",11,7940,8,21,9,"9,84",1221,"265,13","5,79",0,0,"7,61",,
3124906,Eugen?polis,Zona da Mata,1496,1070,972,"22,61",N?o,Sim,1,"60,5","35,8","1,8","1,8","17,1","58,2",2,11229,8,20,9,"14,97",1516,"174,05","7,84",0,0,"5,96",,100
