ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo
3106705,Betim,Metropolitana de Belo Horizonte,35341,21948,18219,"14,3",Sim,Sim,4,"83,6","62,6","2,7","2,6","32,5",84,58,422354,8,20,6,"6,59",100771,"714,89","4,96","49,25","111,9","34,67","61,4",
3106804,Bias Fortes,Zona da Mata,596,497,400,"12,5",N?o,Sim,2,"61,3",47,"1,3","1,4","1,8","59,2",2,3648,8,20,10,"17,96",295,"100,7","7,4","27,41","110,76","2,19",,
3106903,Bicas,Zona da Mata,1122,653,604,"35,25",Sim,Sim,1,67,"37,8","2,3","1,8","25,4","72,3",2,14481,8,20,9,"6,96",2733,"223,41","9,81",0,0,"19,63",,100
3107000,Biquinhas,Central Mineira,414,328,196,"23,16",N?o,,,51,"46,4",2,"2,1","31,7","60,6",2,2630,7,20,11,"12,54",331,"174,67","5,32",0,0,"4,6",,
3107109,Boa Esperan?a,Sul/Sudoeste de Minas,4531,1437,1338,"29,13",Sim,Sim,1,"79,2","57,4","2,2","2,1","42,7","77,5",3,40412,8,21,8,"5,02",7068,"258,67","8,12","12,37","9,15","9,6",100,
3107208,Bocaina de Minas,Sul/Sudoeste de Minas,715,588,486,"16,39",N?o,Sim,1,"43,3","30,2","0,4","0,4","1,2","45,8",,5180,8,22,9,"19,26",609,"149,87","6,56",0,0,"1,68",,
3107307,Bocai?va,Norte de Minas,8151,6044,5190,"24,88",N?o,Sim,1,"91,6","70,4",2,"2,1","42,8","84,5",17,49891,8,20,8,"17,63",7075,"214,37","6,31","16,03","15,28","7,99",,
3107406,Bom Despacho,Central Mineira,3747,1723,1590,"20,37",N?o,Sim,1,"78,3","57,1","2,3","2,3","43,6","75,5",17,49650,8,20,8,"4,54",11081,"351,73","6,26","22,16","22,99","21,72",,
3107505,Bom Jardim de Minas,Sul/Sudoeste de Minas,1032,660,592,"36,28",N?o,Sim,1,"69,4","60,4","1,2","1,3","14,2","91,1",4,6648,8,21,9,"13,08",879,"195,77","9,93","15,04",0,"12,39",,100
3107604,Bom Jesus da Penha,Sul/Sudoeste de Minas,472,273,203,"16,84",N?o,,,"74,3","54,5",0,0,"78,6","60,2",7,4177,8,22,10,"7,37",559,"231,39","6,94","23,94",0,"2,66",,
3107703,Bom Jesus do Amparo,Metropolitana de Belo Horizonte,691,446,373,"14,3",N?o,Sim,1,"82,9","53,5","0,3","0,3","35,4","75,8",3,5972,8,21,9,"10,58",1001,"206,21","7,2",0,0,"6,06","95,3",
3107802,Bom Jesus do Galho,Vale do Rio Doce,3109,2471,2147,"26,69",N?o,Sim,1,"72,8","42,2","0,7","0,8","2,4","57,5",5,15500,8,22,9,"21,89",821,"68,47","7,61","12,9","25,13","4,39",,
3107901,Bom Repouso,Sul/Sudoeste de Minas,1727,1200,1001,"8,8",N?o,Sim,1,"80,5","49,8","0,4","0,5","20,7","64,1",4,10771,8,21,9,"12,53",865,"110,85","7,06","9,28","36,09","2,82",100,
3108008,Bom Sucesso,Oeste de Minas,2033,733,715,"25,16",N?o,Sim,1,"68,7","56,7","0,7","0,7","20,3","68,9",1,17883,8,21,9,"4,76",2370,"190,42","8,78","11,18","43,54","9,28",97,
3108107,Bonfim,Metropolitana de Belo Horizonte,1002,729,614,"23,18",N?o,Sim,1,"62,5","38,2","0,3","0,3","5,5","65,6",5,7018,8,21,9,"10,87",571,"107,12","7,27",0,0,"4,77",,100
3108206,Bonfin?polis de Minas,Noroeste de Minas,868,420,425,"65,19",N?o,Sim,1,81,"54,8","8,4","8,8","34,2","72,1",3,5797,8,22,9,"9,61",985,"271,86","8,28",0,0,"1,97",,
3108255,Bonito de Minas,Norte de Minas,1976,1555,1577,"15,76",N?o,,,"97,2","59,9","1,1","1,1","12,7","88,1",3,10797,8,21,9,"39,63",349,"47,64","3,89","37,05",0,"0,3",,
3108305,Borda da Mata,Sul/Sudoeste de Minas,1051,631,594,"24,9",N?o,Sim,1,"60,6","34,9","1,7","1,6","29,8","50,4",6,18873,8,21,9,"4,9",2757,"227,88","6,46",0,0,"11,5",,
3108404,Botelhos,Sul/Sudoeste de Minas,1536,725,796,"25,31",N?o,Sim,2,"68,2","55,6","1,5","1,4",33,"67,3",5,15323,7,21,9,"7,39",2396,"224,34","7,57","6,53","25,34","14,93",,
3108503,Botumirim,Norte de Minas,1291,1070,969,"16,79",N?o,Sim,1,"97,2","75,4","1,2","1,3","17,7","98,1",6,6557,8,21,9,"29,31",369,"75,3","5,03",0,0,"0,56","95,8",
3108552,Brasil?ndia de Minas,Noroeste de Minas,2523,2032,1320,"22,99",N?o,Sim,1,94,"52,4","3,2","3,1","13,7","81,1",10,15921,8,21,8,"17,31",1363,"145,16","3,64","12,56",0,"20,03",,
3108602,Bras?lia de Minas,Norte de Minas,6025,4279,4131,"39,6",Sim,Sim,1,"83,6","64,3","3,4","3,6","19,9","76,2",14,32650,8,21,8,"18,14",2554,"114,22","7,04","18,38","34,02","3,11","83,9",
3108701,Br?s Pires,Zona da Mata,836,633,552,"10,1",N?o,Sim,1,76,"47,2","0,6","0,7","29,6","61,6",5,4577,8,22,10,"17,61",360,"96,17","5,03","21,85","88,24","11,01",,
3108800,Bra?nas,Vale do Rio Doce,818,562,543,"15,13",N?o,Sim,1,"69,9","57,8","1,1","1,1","2,4","84,6",4,5024,8,21,9,"16,67",344,"107,35","6,97",0,0,"8,02",,
3108909,Braz?polis,Sul/Sudoeste de Minas,1911,858,861,"19,93",N?o,,,67,"53,2","1,6","1,5","18,9","91,4",3,14911,8,21,9,"7,86",1414,"138,89","8,45","13,41",0,"18,5",,100
3109006,Brumadinho,Metropolitana de Belo Horizonte,3127,1829,1545,"15,74",N?o,Sim,1,66,47,1,"0,9","35,6","72,1",16,38373,8,21,8,"6,12",7939,"452,67","6,25","23,45","57,69","29,9",,"73,2"
3109105,Bueno Brand?o,Sul/Sudoeste de Minas,1120,335,387,"21,17",N?o,Sim,1,"65,3",46,"1,2","1,3","1,5","60,1",2,11228,7,21,9,"4,8",924,"122,29","6,5",0,0,"3,64",,
3109204,Buen?polis,Central Mineira,1446,968,907,"46,06",N?o,Sim,1,"67,8","48,1","0,9","0,8","14,2","67,3",5,10592,8,20,9,"12,71",843,"104,24","5,85","9,44",0,"2,83",100,
3109253,Bugre,Vale do Rio Doce,831,615,511,"5,15",N?o,Sim,1,"73,1","47,7","1,7","1,8",2,61,2,4140,8,21,10,"16,08",290,"141,61","7,49",0,0,"5,87",,100
3109303,Buritis,Noroeste de Minas,4783,3605,2867,"43,6",N?o,Sim,1,"98,3","61,6","1,3","1,3","22,8","84,7",9,24524,8,21,9,"21,08",3339,"260,56","4,53","24,47","47,29","4,37",,
3109402,Buritizeiro,Norte de Minas,5015,3776,3336,"23,83",N?o,Sim,1,"76,9",44,"3,1","3,1","15,3","64,1",7,28251,8,20,9,"18,22",3257,"176,93","6,19","84,95","232,44","3,99",,
3109451,Cabeceira Grande,Noroeste de Minas,1005,740,666,"16,37",N?o,Sim,1,87,"46,2","2,4","2,3","49,9","73,4",5,6901,8,21,9,"15,39",804,"217,24","5,36","43,47","57,33","0,83",,
3109501,Cabo Verde,Sul/Sudoeste de Minas,1462,845,783,"18,26",N?o,Sim,1,"59,7","37,7","0,2","0,2","22,9",49,5,14314,8,20,9,"8,97",1691,"163,99","7,75","6,99","27,19","6,22","62,1",
3109600,Cachoeira da Prata,Metropolitana de Belo Horizonte,327,217,155,"23,23",N?o,,,"62,3","58,8","1,3","1,4","54,1","72,5",2,3716,7,21,10,"6,22",430,"146,16","8,61","26,91","108,62","21,15",,100
3109709,Cachoeira de Minas,Sul/Sudoeste de Minas,988,368,359,"14,7",N?o,Sim,1,75,56,"0,8","0,8",33,"67,9",2,11607,8,21,9,"4,12",1745,"252,36","6,98",0,0,"19,17",,100
3109808,Cachoeira Dourada,Triangulo Mineiro/Alto Paranaiba,263,169,104,"12,58",N?o,Sim,1,"81,7","35,9","0,4","0,5","56,1","47,3",6,2676,8,19,9,"6,94",580,458,"10,09",0,0,"6,88",100,
3109907,Caetan?polis,Metropolitana de Belo Horizonte,906,494,494,"12,91",N?o,Sim,1,"70,6","52,7","0,3","0,4","13,7","71,7",5,11287,8,20,9,"6,34",1908,"238,55","6,47","17,72",0,"14,91",,
3110004,Caet?,Metropolitana de Belo Horizonte,3133,1944,1832,"16,48",Sim,Sim,1,"70,8","52,3","1,7","1,7","20,1","68,8",7,44066,7,20,8,"5,59",5177,"203,51","6,65","13,62","34,5","23,45",,
3110103,Caiana,Zona da Mata,664,494,445,"7,09",N?o,Sim,1,"63,7","43,5","2,8","2,6","12,5","67,7",2,5398,8,21,10,"11,9",359,"94,97","6,48",0,0,"1,52",,
3110202,Cajuri,Zona da Mata,709,481,402,"8,97",N?o,Sim,1,"68,5","42,5","2,4","2,4","17,5","77,4",3,4114,7,21,10,"16,34",485,"163,14","7,05","48,61","196,29","6,81",,
3110301,Caldas,Sul/Sudoeste de Minas,1090,618,551,"27,7",N?o,Sim,1,"59,7","39,9","2,4","2,4",20,"50,3",2,14464,7,21,9,"4,75",2025,298,"6,78",0,0,"8,19",,
3110400,Camacho,Oeste de Minas,377,173,149,"10,83",N?o,,,"69,1","73,2","2,5","2,7","24,2","82,3",1,3086,8,20,10,"5,76",257,"135,13","7,13",0,0,"2,11",,
3110509,Camanducaia,Sul/Sudoeste de Minas,1898,1292,1031,"20,25",N?o,Sim,2,"80,4","57,6","7,5","7,5",50,"80,8",15,22007,8,20,9,"7,33",4859,"376,65","7,22",0,0,"16,51",,
3110608,Cambu?,Sul/Sudoeste de Minas,1736,902,767,"25,18",Sim,Sim,1,"66,7","58,6","1,9","1,8","39,9","73,2",17,28924,8,20,9,"4,14",6634,366,"6,74","3,46",0,"21,01",,
3110707,Cambuquira,Sul/Sudoeste de Minas,1194,751,662,"23,77",Sim,Sim,1,"65,5","50,2","2,6","2,6","41,6",73,6,13040,8,20,9,"8,75",1743,"164,11","8,13",0,0,"14,54",,
3110806,Campan?rio,Vale do Rio Doce,674,404,391,"26,99",N?o,Sim,1,"70,6","56,7","2,5","2,7","47,1","89,5",3,3745,8,21,10,"16,96",457,"172,84","8,01","53,4","108,04","3,26",,
3110905,Campanha,Sul/Sudoeste de Minas,1382,857,862,"23,43",Sim,Sim,1,"76,6","54,4","2,3","2,3","38,2","76,5",10,16532,8,21,9,"7,97",2936,"238,7","9,68","6,05",0,"9,59",,
3111002,Campestre,Sul/Sudoeste de Minas,1570,712,717,"28,89",N?o,Sim,1,"66,8","36,9","0,6","0,4","18,4","60,3",5,21417,8,21,9,"4,06",2664,"176,38","8,26",0,0,"5,63",,
3111101,Campina Verde,Triangulo Mineiro/Alto Paranaiba,2442,1617,1220,"32,08",N?o,Sim,1,"65,7","45,4","3,5","3,4",21,"63,5",7,20052,8,21,9,"9,79",2445,"201,05","7,48","14,96",0,"10,13",100,
3111150,Campo Azul,Norte de Minas,1029,793,653,"14,92",N?o,Sim,1,96,"73,1","0,2","0,2","33,7","84,3",6,3853,8,21,10,"35,57",295,"95,81","6,49",0,0,"0,08",,
3111200,Campo Belo,Oeste de Minas,5707,2880,2618,"17,08",N?o,Sim,6,"70,5","49,5","2,7","2,6","27,9","69,3",5,54272,8,20,8,"6,62",9434,"242,13","8,24","16,58","35,09","16,59",,
3111309,Campo do Meio,Sul/Sudoeste de Minas,1641,992,837,"34,04",N?o,Sim,1,"75,8","56,7","2,2","2,2","21,3",75,13,11867,8,20,9,"12,3",1519,"167,39","7,67","8,43","32,77","3,63",100,
3111408,Campo Florido,Triangulo Mineiro/Alto Paranaiba,1002,737,390,"21,23",N?o,Sim,1,"79,6","31,8","3,1","2,7","45,4","61,5",1,7783,8,21,9,"11,84",2269,"618,94","6,42","25,7","50,87","33,89",,100
3111507,Campos Altos,Triangulo Mineiro/Alto Paranaiba,1588,1237,657,"22,49",N?o,Sim,1,"79,5","42,8","1,6","1,5",50,"61,3",3,15289,8,21,9,"9,24",2205,"236,49","6,93","13,08","25,5","7,16",,
3111606,Campos Gerais,Sul/Sudoeste de Minas,3153,1779,1600,"26,05",N?o,Sim,1,"73,3","53,4","1,4","1,4","36,7","68,2",12,28970,8,21,9,"7,7",3768,"178,43","7,42","10,36",0,"4,69",,
3111705,Cana?,Zona da Mata,611,367,373,"14,06",N?o,Sim,1,67,"42,1",0,0,"14,9","59,3",3,4706,8,20,10,"10,99",362,"96,16","7,01","21,25",0,"3,61",,100
3111804,Can?polis,Triangulo Mineiro/Alto Paranaiba,868,470,357,"27,55",N?o,Sim,1,62,32,"2,1",2,"25,5","50,3",7,12062,8,20,9,"3,78",1600,"218,84","6,8","16,58","32,28","5,28",,100
3111903,Cana Verde,Oeste de Minas,780,382,376,"5,52",N?o,Sim,1,"63,6",46,"0,7","0,8","2,1","58,4",5,5736,8,21,9,"7,9",564,"135,43","7,67",0,0,"2,41",75,
3112000,Candeias,Oeste de Minas,1487,652,599,"23,24",N?o,Sim,1,57,"47,4","0,6","0,6",15,"62,9",5,15128,8,20,9,"4,61",2078,"193,46","6,74","6,61",0,"8,28",,
3112059,Cantagalo,Vale do Rio Doce,835,516,477,"6,96",N?o,Sim,1,"81,4","40,5","0,3","0,4","2,2","63,3",5,4491,8,21,10,"19,9",438,"122,11","6,68",0,0,"3,01",,
3112109,Capara?,Zona da Mata,921,800,651,"8,5",N?o,Sim,1,"79,8","71,7","2,1",2,"22,1","93,3",5,5472,8,21,8,"19,31",465,"127,25","5,3",0,0,"1,72",,
3112208,Capela Nova,Campo das Vertentes,679,387,356,"2,46",N?o,Sim,1,"73,9","55,9","0,9",1,"1,7","72,5",2,4815,8,20,10,"10,28",399,"106,26","9,55",0,0,"3,2",,
3112307,Capelinha,Jequitinhonha,6087,3304,3495,"37,02",N?o,Sim,1,100,"71,7","3,1","3,2","24,8","91,1",8,37606,8,21,8,"13,92",6066,"225,36","4,68","13,3","29,55","8,72",,
3112406,Capetinga,Sul/Sudoeste de Minas,798,472,414,"21,12",N?o,,,71,"38,2","2,7","2,5","0,5","61,9",5,7168,8,21,9,"8,89",1087,"200,21","6,98",0,0,"10,04",,
3112505,Capim Branco,Metropolitana de Belo Horizonte,694,415,313,"5,5",N?o,Sim,1,"80,5","64,7","1,5","1,6","2,4","80,7",6,9609,8,21,9,"4,67",839,"121,3","6,87","10,41","40,17","23,67",,
