ibge7,mun,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata_doce,batata_inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
4212502,Penha,0,0,0,0,0,0,22,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
4212601,Peritiba,0,0,0,0,0,0,0,68,15,0,0,45,75,0,195,0,4046,423,0,0,192,420
4212650,Pescaria Brava,0,0,0,0,72,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0
4212700,Petrolândia,0,0,0,0,88,0,0,675,51,0,0,500,222,0,250,0,6799,5070,0,246,49,324
4212809,Balneário Piçarras,0,0,0,0,2703,0,13655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4212908,Pinhalzinho,0,0,0,0,9,0,0,0,0,0,0,0,714,0,12,0,5936,5916,0,0,691,150
4213005,Pinheiro Preto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2455,660,0,0,19,7680
4213104,Piratuba,0,0,0,0,0,102,0,60,0,0,0,100,64,0,480,0,2394,1710,0,0,215,429
4213153,Planalto Alegre,0,0,0,0,0,0,0,0,0,0,0,0,68,0,9,0,1531,322,0,0,94,78
4213203,Pomerode,0,0,0,0,0,0,83,17,0,0,0,1359,4,0,57,0,240,0,0,29,0,0
4213302,Ponte Alta,0,0,1560,0,0,0,0,0,0,0,0,0,168,0,0,0,3600,14112,0,0,0,0
4213351,Ponte Alta do Norte,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,396,1296,0,0,0,0
4213401,Ponte Serrada,0,0,0,0,0,180,0,106,1200,0,0,17,60,0,80,0,5069,16480,0,30,132,75
4213500,Porto Belo,0,0,0,0,294,0,14,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0
4213609,Porto União,0,0,120,0,0,144,0,0,428,0,0,0,1073,0,0,0,7591,28201,0,0,53,1013
4213708,Pouso Redondo,0,0,0,0,11053,0,0,80,0,0,0,60,67,0,40,0,2100,825,0,0,0,40
4213807,Praia Grande,0,0,0,0,19430,0,2897,0,0,0,0,0,22,0,0,1804,832,0,0,0,0,0
4213906,Presidente Castello Branco,0,0,0,0,0,0,0,33,0,0,0,20,24,0,42,0,2026,36,0,0,0,90
4214003,Presidente Getúlio,0,0,0,0,448,0,0,150,72,0,0,105,82,0,430,14,4678,1620,0,0,0,210
4214102,Presidente Nereu,0,0,0,0,0,0,0,231,31,0,0,0,74,0,368,0,1363,0,0,0,0,49
4214151,Princesa,0,0,0,0,0,135,0,0,0,0,0,0,324,0,0,0,3452,1798,0,0,0,0
4214201,Quilombo,0,0,360,300,47,360,0,0,74,0,0,456,1393,0,99,0,17840,18825,0,135,238,3705
4214300,Rancho Queimado,0,0,0,0,0,0,0,0,0,0,0,0,26,0,58,0,131,0,0,8448,0,0
4214409,Rio das Antas,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,7239,7560,0,1188,387,1600
4214508,Rio do Campo,0,0,105,0,7560,0,0,0,45,0,0,12,76,0,0,0,1980,2160,0,0,0,60
4214607,Rio do Oeste,0,0,0,0,6020,0,0,1350,23,0,0,27,311,0,300,0,3766,300,0,0,0,180
4214706,Rio dos Cedros,0,0,0,0,6996,0,565,0,0,0,0,72,43,0,16,28,450,25,0,71,22,90
4214805,Rio do Sul,0,0,0,0,2304,0,0,480,142,0,0,80,160,0,300,0,3710,0,0,270,0,570
4214904,Rio Fortuna,0,0,0,0,0,0,0,444,15,0,0,135,25,0,147,0,907,0,0,396,0,0
4215000,Rio Negrinho,0,0,0,0,0,0,1523,0,0,0,0,0,1619,0,0,0,7200,39100,0,0,279,0
4215059,Rio Rufino,0,0,0,0,0,0,0,0,319,0,0,0,315,0,0,0,874,612,0,1792,0,600
4215075,Riqueza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285,338,0,0,0,110
4215109,Rodeio,0,0,0,0,3990,0,589,8,0,0,0,529,11,0,6,0,36,0,0,58,0,1179
4215208,Romelândia,0,0,0,0,0,0,0,0,0,0,0,140,87,0,18,0,3933,812,0,0,41,320
4215307,Salete,0,0,0,0,454,0,0,0,0,0,0,0,36,0,0,0,3960,300,0,0,0,144
4215356,Saltinho,0,0,60,30,3,180,0,0,22,0,0,180,166,0,0,0,2993,3630,0,15,181,616
4215406,Salto Veloso,0,0,0,0,0,0,0,0,80,0,0,0,45,0,0,0,5115,180,0,75,13,819
4215455,Sangão,0,0,0,0,3036,0,0,0,0,0,0,78,4,0,0,0,205,0,0,0,0,0
4215505,Santa Cecília,0,0,0,0,0,0,0,0,126,0,0,0,129,0,0,0,1092,6318,0,0,429,0
4215554,Santa Helena,0,0,0,0,0,480,0,0,0,0,0,735,368,0,36,0,3273,1214,0,0,0,450
4215604,Santa Rosa de Lima,0,0,0,0,2,0,0,61,0,0,0,150,26,0,34,0,132,0,0,0,0,0
4215653,Santa Rosa do Sul,0,0,0,0,4648,0,17074,0,0,0,0,0,54,0,0,4433,878,0,0,0,0,0
4215679,Santa Terezinha,0,0,0,0,180,72,52,48,0,0,0,8,630,0,36,0,10800,32160,0,0,121,130
4215687,Santa Terezinha do Progresso,0,0,156,56,19,10,0,0,28,0,0,735,99,0,0,0,1433,1080,0,375,0,700
4215695,Santiago do Sul,0,0,0,0,2,0,0,0,29,0,0,371,100,0,0,0,2573,2424,0,0,91,70
4215703,Santo Amaro da Imperatriz,0,0,0,0,44,0,73,0,0,0,0,450,30,0,72,300,17,0,0,4445,0,0
4215752,São Bernardino,0,0,0,24,4,180,0,0,34,0,0,270,250,0,0,0,1656,4320,0,0,21,224
4215802,São Bento do Sul,0,0,0,0,0,0,8866,0,1058,0,0,0,293,0,0,0,3600,3300,0,620,28,0
4215901,São Bonifácio,0,0,0,0,4,0,0,0,154,0,0,312,508,0,75,0,68,0,0,921,0,54
4216008,São Carlos,0,0,0,0,0,0,0,0,8,0,0,0,135,0,448,0,5600,1300,0,0,19,0
4216057,São Cristovão do Sul,0,0,0,0,0,0,0,0,13,0,0,0,41,0,0,0,210,972,0,0,0,0
4216107,São Domingos,0,0,360,75,21,350,0,0,17,0,0,630,12383,0,0,0,11495,83911,0,0,891,360
4216206,São Francisco do Sul,0,0,0,0,137,0,720,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0
4216255,São João do Oeste,0,0,0,0,0,0,0,0,0,0,0,840,141,0,24,0,8854,156,0,0,0,0
4216305,São João Batista,0,0,0,0,77,0,0,0,0,0,0,0,15,0,0,0,163,0,0,0,0,0
4216354,São João do Itaperiú,0,0,0,0,7528,0,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4216404,São João do Sul,0,0,0,0,25290,0,163,0,0,0,0,0,84,0,0,17129,2240,0,0,0,0,0
4216503,São Joaquim,0,0,0,0,0,0,0,0,2016,0,0,0,324,0,0,0,2208,0,0,0,0,4300
4216602,São José,0,0,0,0,0,0,392,0,0,0,0,784,27,0,182,0,83,0,0,374,0,0
4216701,São José do Cedro,0,0,0,0,0,360,0,0,0,0,0,840,2310,0,50,0,16632,16847,0,0,150,374
4216800,São José do Cerrito,0,0,900,0,0,0,0,0,0,0,0,0,16560,0,0,0,13860,19500,0,714,248,120
4216909,São Lourenço do Oeste,0,0,0,27,0,150,0,240,0,0,0,11025,258,0,85,0,7800,24180,0,40,688,1225
4217006,São Ludgero,0,0,0,0,0,0,20,0,30,0,0,33,22,0,58,0,84,0,0,1856,0,0
4217105,São Martinho,0,0,0,0,0,0,311,0,0,0,0,1147,429,0,206,0,336,0,0,0,0,0
4217154,São Miguel da Boa Vista,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,2186,1029,0,0,30,88
4217204,São Miguel do Oeste,0,0,0,0,0,300,0,0,0,0,0,0,126,0,12,0,7811,5946,0,0,203,240
4217253,São Pedro de Alcântara,0,0,0,0,0,0,315,343,0,0,0,1595,45,0,16,0,0,0,0,282,0,68
4217303,Saudades,0,0,0,0,2,0,0,0,0,0,0,0,130,0,0,0,10717,6885,0,0,395,150
4217402,Schroeder,0,0,0,0,1008,0,37395,0,0,0,0,19,0,0,36,54,90,0,0,0,0,0
4217501,Seara,0,0,0,23,3,0,16,147,45,0,0,102,150,0,240,0,10330,588,0,163,122,750
4217550,Serra Alta,0,0,0,0,0,0,0,0,0,0,0,0,75,0,20,0,3804,1784,0,0,425,366
4217600,Siderópolis,0,0,0,0,364,0,5110,0,0,0,0,293,31,0,0,0,512,0,0,0,0,27
4217709,Sombrio,0,44,0,0,8732,0,5120,0,0,0,0,0,134,0,0,8987,4368,0,0,0,0,0
4217758,Sul Brasil,0,0,0,0,4,0,0,0,0,0,0,0,112,0,30,0,2473,345,0,0,18,150
4217808,Taió,0,0,0,0,13041,0,0,560,240,0,0,0,390,0,360,0,7425,1890,0,0,0,60
4217907,Tangará,0,0,0,0,0,0,0,0,0,0,0,0,283,0,600,0,15015,10800,0,1005,616,14144
4217956,Tigrinhos,0,0,0,0,0,45,0,0,0,0,0,0,270,0,0,0,2185,1129,0,0,375,60
4218004,Tijucas,0,0,0,0,8736,0,651,45,0,0,0,0,9,0,20,87,433,0,0,0,0,0
4218103,Timbé do Sul,0,0,0,0,12642,0,2106,0,0,0,0,0,62,0,0,0,2042,0,0,0,0,0
4218202,Timbó,0,0,0,0,4368,0,243,0,0,0,0,378,0,0,14,0,348,0,0,0,0,87
4218251,Timbó Grande,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,2880,1268,0,35,0,0
4218301,Três Barras,0,0,0,0,0,72,0,0,3675,0,0,0,2714,0,0,0,5742,27111,0,225,660,0
4218350,Treviso,0,0,0,0,76,0,245,0,0,0,0,94,8,0,0,0,145,0,0,0,0,0
4218400,Treze de Maio,0,0,0,0,6623,0,261,0,1521,0,0,45,592,0,0,224,3416,52,0,0,0,336
4218509,Treze Tílias,0,0,0,0,0,0,0,0,0,0,0,0,48,0,41,0,4140,1476,0,0,34,0
4218608,Trombudo Central,0,0,0,0,512,0,0,100,0,0,0,162,168,0,225,40,1984,574,0,0,0,90
4218707,Tubarão,0,0,0,0,41417,0,132,314,43,0,0,720,261,0,112,102,686,0,0,3150,0,224
4218756,Tunápolis,0,0,0,0,0,0,0,0,0,0,0,280,36,0,12,0,4285,203,0,0,25,375
4218806,Turvo,0,0,0,0,64802,0,1757,0,0,0,0,0,166,0,0,200,5940,114,0,0,0,0
4218855,União do Oeste,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,3270,2550,0,0,372,192
4218905,Urubici,0,0,0,0,0,0,0,0,240,0,0,0,45,0,0,0,1728,0,0,5292,0,863
4218954,Urupema,0,0,0,0,0,0,0,0,1008,0,0,0,315,0,0,0,262,0,0,24,0,357
4219002,Urussanga,0,0,0,0,220,0,660,0,338,0,0,1144,255,0,17,56,1277,0,0,0,0,2430
4219101,Vargeão,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,3341,18389,0,0,542,0
4219150,Vargem,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,0,0,6318,10087,0,0,307,108
4219176,Vargem Bonita,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,2015,1574,0,0,68,108
4219200,Vidal Ramos,0,0,0,0,0,0,0,864,194,0,0,28,906,0,300,0,4180,3501,0,0,156,150
4219309,Videira,0,0,0,0,0,0,0,0,130,0,0,0,130,0,96,0,12474,11970,0,561,164,12160
4219358,Vitor Meireles,0,0,0,0,358,0,0,780,84,0,0,50,343,0,225,28,4034,1404,0,0,0,140
4219408,Witmarsum,0,0,0,0,62,0,0,324,72,0,0,672,28,0,435,24,2027,0,0,0,0,588
4219507,Xanxerê,0,0,0,0,0,0,0,0,480,0,0,0,756,0,0,0,11406,42120,0,0,2786,0
4219606,Xavantina,0,0,0,0,0,0,0,40,0,0,0,64,60,0,150,0,4157,314,0,0,33,375
4219705,Xaxim,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,4026,16874,0,0,764,0
4219853,Zortéa,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,4455,26364,0,0,1092,120
4220000,Balneário Rincão,0,0,0,0,0,0,0,0,0,0,0,0,18,0,675,0,18,0,0,0,0,0
4300034,Aceguá,0,0,0,0,69605,0,0,0,0,0,0,0,0,0,103,0,572,48851,0,0,321,260
4300059,Água Santa,0,0,0,15,0,998,0,50,40,0,0,32,108,0,36,0,3060,51990,0,210,1236,608
4300109,Agudo,0,0,84,324,58988,0,70,2288,2625,0,0,158,1113,0,1300,0,5630,2728,0,900,2,1000
4300208,Ajuricaba,0,0,0,72,0,873,0,165,38,0,0,263,33,0,292,0,1917,64304,0,71,4830,160
4300307,Alecrim,70,158,77,237,2,0,679,761,138,0,0,27,322,0,1520,0,2868,6080,0,108,365,601
4300406,Alegrete,0,0,0,0,388058,0,0,1131,0,0,0,0,0,0,4463,0,6130,74642,0,0,505,108
4300455,Alegria,98,0,77,77,0,0,158,230,143,0,0,180,468,0,91,0,4936,18480,0,80,1750,385
4300471,Almirante Tamandaré do Sul,9,0,12,21,0,480,0,173,72,0,0,12,256,0,108,0,3383,67051,0,18,4469,300
4300505,Alpestre,56,48,84,50,7,0,274,260,24,0,0,480,1176,0,3024,0,10272,1696,0,348,7,8965
4300554,Alto Alegre,0,0,0,0,0,0,0,98,0,0,0,20,376,0,113,0,864,22150,0,0,726,162
4300570,Alto Feliz,70,0,0,58,0,0,0,135,166,0,0,48,156,0,643,0,570,0,0,780,0,4143
4300604,Alvorada,0,0,0,0,287,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4300638,Amaral Ferrador,0,0,0,4,2467,0,5,136,25,0,0,0,395,0,103,0,2557,3551,0,0,0,31
4300646,Ametista do Sul,23,0,56,43,12,0,108,161,3,0,0,416,499,0,833,0,2272,1294,0,43,2,6406
4300661,André da Rocha,0,0,0,0,0,59,0,20,1080,0,0,0,157,0,28,0,15584,65848,0,0,495,536
4300703,Anta Gorda,24,0,20,88,11,0,0,1063,123,0,0,112,243,0,1748,0,15653,1009,0,210,29,819
4300802,Antônio Prado,0,0,3000,25,0,0,0,180,100,0,0,39,123,0,1577,0,5070,342,0,1950,150,42319
4300851,Arambaré,0,0,0,0,85915,0,4,0,0,0,0,0,35,0,15,0,113,26155,0,0,0,0
4300877,Araricá,0,0,15,10,4,0,0,91,42,0,0,75,51,0,138,0,61,0,0,55,0,730
4300901,Aratiba,0,24,40,180,0,0,390,544,140,0,0,700,88,0,3886,0,8722,3024,0,0,302,1500
4301008,Arroio do Meio,71,0,96,0,0,10,126,768,0,0,0,1944,389,0,341,0,3323,3461,0,84,84,165
4301057,Arroio do Sal,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,62,44,0,0,653,0,0
4301073,Arroio do Padre,0,0,0,0,0,0,0,190,260,0,0,0,92,0,60,0,672,638,0,0,0,0
4301107,Arroio dos Ratos,0,0,0,3,0,25,0,267,0,0,0,0,84,0,180,0,195,7197,0,0,525,45
4301206,Arroio do Tigre,84,0,63,38,0,0,33,1078,1000,0,0,60,1796,0,312,0,11100,33634,0,480,420,479
4301305,Arroio Grande,0,0,0,0,295226,0,0,180,0,0,0,0,378,0,0,0,1854,126937,0,0,677,0
4301404,Arvorezinha,29,0,33,33,4,48,0,357,29,0,0,128,621,0,2470,0,6396,3184,0,30,23,1014
4301503,Augusto Pestana,0,0,96,678,0,1397,0,60,61,0,0,196,132,0,690,0,1245,69124,0,0,2200,1375
4301552,Áurea,0,0,56,60,28,0,0,891,100,0,0,176,87,0,66,0,4900,24786,0,240,567,675
4301602,Bagé,0,0,0,0,69125,0,0,0,0,0,0,0,0,0,62,0,532,72398,422,0,0,2670
4301636,Balneário Pinhal,0,0,0,0,2658,0,0,0,0,0,0,0,0,0,0,0,4,166,0,0,0,0
4301651,Barão,188,0,27,25,2,0,70,750,430,0,0,29,73,0,187,0,2665,0,0,143,0,954
4301701,Barão de Cotegipe,0,0,18,135,0,0,0,432,163,0,0,350,216,0,1038,0,11877,33600,0,250,360,4968
