ibge7,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
1711902,Lagoa da Confusão,Ocidental do Tocantins,0,0,45,0,0,0,4344,0,0,0,22111,121432,702,0,0,0,3656,40,0
1711951,Lagoa do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,378,19,0
1712009,Lajeado,Oriental do Tocantins,0,0,360,0,0,0,0,0,0,0,360,0,0,0,0,0,430,13,0
1712157,Lavandeira,Oriental do Tocantins,0,0,45,0,0,800,0,0,0,0,130,0,0,0,0,0,1115,15,0
1712405,Lizarda,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,144,4500,0,0,0,0,1468,13,0
1712454,Luzinópolis,Ocidental do Tocantins,0,0,256,0,0,0,37,0,0,0,391,0,0,0,0,0,1160,27,120
1712504,Marianópolis do Tocantins,Ocidental do Tocantins,0,0,41,0,0,496,32,0,0,0,21458,60729,360,0,0,0,3792,51,480
1712702,Mateiros,Oriental do Tocantins,0,9000,0,0,0,0,0,0,0,0,23160,120400,0,0,0,0,161,14,100
1712801,Maurilândia do Tocantins,Ocidental do Tocantins,0,0,39,0,0,0,9,0,0,0,207,0,0,0,0,0,2610,10,0
1713205,Miracema do Tocantins,Ocidental do Tocantins,0,0,578,0,0,0,0,0,0,0,3840,21000,0,0,0,0,9353,114,6000
1713304,Miranorte,Ocidental do Tocantins,0,0,4,0,0,0,0,0,0,0,480,22275,0,0,0,0,5847,26,0
1713601,Monte do Carmo,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,12324,85050,0,0,0,0,2247,133,520
1713700,Monte Santo do Tocantins,Ocidental do Tocantins,0,0,358,0,0,1625,0,0,0,0,120,1313,0,0,0,0,2399,33,0
1713809,Palmeiras do Tocantins,Ocidental do Tocantins,0,0,112,0,0,0,20,0,0,0,68,0,0,0,0,0,974,20,0
1713957,Muricilândia,Ocidental do Tocantins,0,0,14,0,0,0,0,0,0,0,27,3024,0,0,0,0,2182,14,0
1714203,Natividade,Oriental do Tocantins,0,0,370,0,0,2400,0,0,0,0,575,4350,0,0,0,0,2837,39,0
1714302,Nazaré,Ocidental do Tocantins,0,0,32,0,0,0,9,20,0,0,130,0,0,0,0,0,338,10,3360
1714880,Nova Olinda,Ocidental do Tocantins,0,0,0,0,0,0,42,0,0,0,530,564,0,0,0,0,7614,66,2800
1715002,Nova Rosalândia,Ocidental do Tocantins,0,0,97,0,0,125,253,0,0,0,10127,9588,144,0,0,0,828,41,0
1715101,Novo Acordo,Oriental do Tocantins,0,0,260,0,0,0,0,0,0,0,180,8820,0,0,0,0,446,23,0
1715150,Novo Alegre,Oriental do Tocantins,0,0,48,0,0,1600,0,0,0,0,156,0,0,0,0,0,830,10,0
