codmun,reeleito,sexo,idade,escolaridade,partido
250900,Sim,Masculino,54,Ensino superior completo,PSDB
250905,Sim,Masculino,38,Ensino superior completo,PSB
250910,Não,Masculino,48,Ensino médio completo,PSB
250915,Sim,Masculino,53,Ensino médio completo,PTB
250920,Não,Feminino,55,Ensino superior completo,PSC
250930,Não,Masculino,22,Ensino superior incompleto,PSDB
250933,Não,Feminino,54,Ensino superior incompleto,PMDB
250937,Não,Masculino,27,Ensino superior incompleto,DEM
250939,Sim,Masculino,37,Ensino médio completo,PMDB
250940,Sim,Masculino,41,Ensino superior incompleto,PR
250950,Não,Masculino,50,Ensino médio completo,PSB
250960,Não,Feminino,32,Ensino médio incompleto,DEM
250970,Sim,Feminino,54,Ensino superior completo,PSDB
250980,Não,Feminino,38,Ensino superior completo,PSB
250990,Sim,Masculino,32,Ensino superior completo,PR
251000,Não,Masculino,50,Ensino superior completo,PSB
251010,Sim,Masculino,52,Ensino médio completo,DEM
251020,Sim,Feminino,75,Ensino superior completo,PSB
251030,Não,Masculino,40,Ensino médio completo,PR
251040,Sim,Masculino,65,Ensino superior completo,PMDB
251050,Não,Masculino,51,Ensino superior completo,PMDB
251060,Não,Feminino,28,Ensino médio completo,PSD
251065,Sim,Masculino,47,Ensino fundamental completo,PSB
251070,Não,Masculino,32,Ensino médio incompleto,PMDB
251080,Não,Feminino,71,Ensino superior completo,PMDB
251090,Sim,Masculino,56,Ensino médio completo,PTB
251100,Não,Masculino,22,Ensino superior incompleto,PR
251110,Não,Masculino,45,Ensino superior completo,PSB
251120,Não,Masculino,49,Ensino superior completo,PSB
251130,Não,Masculino,46,Ensino médio completo,DEM
251140,Não,Masculino,49,Ensino superior completo,DEM
251150,Sim,Feminino,65,Ensino superior completo,PP
251160,Não,Feminino,38,Ensino superior completo,PT do B
251170,Não,Masculino,45,Ensino fundamental completo,PMDB
251180,Sim,Masculino,50,Ensino superior incompleto,PSB
251190,Não,Masculino,49,Ensino superior incompleto,PSD
251200,Não,Masculino,48,Ensino superior completo,PMN
251203,Não,Masculino,47,Ensino médio completo,PSB
251207,Não,Feminino,48,Ensino médio completo,DEM
251210,Sim,Feminino,35,Ensino superior completo,PT
251220,Não,Masculino,38,Ensino superior completo,PMDB
251230,Sim,Masculino,55,Ensino médio completo,PSDB
251240,Não,Feminino,59,Pós-graduação,PSB
251250,Não,Masculino,36,Ensino médio incompleto,PSD
251260,Sim,Masculino,48,Ensino superior incompleto,PMDB
251270,Não,Masculino,36,Pós-graduação,PSB
251272,Não,Masculino,35,Ensino superior completo,PSDB
251274,Não,Masculino,48,Ensino superior completo,PTB
251275,Sim,Masculino,72,Ensino médio completo,PSDB
251276,Não,Masculino,Ignorada,Ensino médio completo,PSDB
251278,Não,Masculino,43,Ensino médio completo,PTB
251280,Não,Masculino,46,Ensino médio completo,PP
251290,Não,Feminino,50,Ensino médio completo,PMDB
251300,Sim,Feminino,37,Ensino superior incompleto,PSDB
251310,Sim,Masculino,65,Ensino superior completo,DEM
251315,Não,Masculino,42,Ensino médio completo,PSB
251320,Sim,Masculino,48,Ensino superior completo,PT
251330,Não,Masculino,33,Ensino superior incompleto,PSD
251335,Não,Masculino,61,Pós-graduação,PDT
251340,Sim,Masculino,60,Ensino superior completo,DEM
251350,Sim,Feminino,38,Ensino superior completo,PTB
251360,Não,Masculino,40,Pós-graduação,PT
251365,Sim,Feminino,34,Pós-graduação,PMDB
251370,Não,Masculino,73,Pós-graduação,PRP
251380,Não,Masculino,59,Ensino médio completo,PRB
251385,Não,Feminino,44,Ensino superior completo,PT do B
251390,Não,Masculino,39,Ensino médio completo,PR
251392,Não,Feminino,30,Ensino superior completo,PSDB
251394,Sim,Masculino,70,Ensino fundamental completo,PSDB
251396,Não,Feminino,42,Ensino médio completo,PMDB
251398,Não,Masculino,35,Pós-graduação,PSDB
251400,Não,Masculino,61,Ensino fundamental incompleto,PR
251410,Não,Masculino,32,Ensino médio completo,PMN
251420,Sim,Masculino,25,Ensino fundamental completo,DEM
251430,Sim,Masculino,36,Ensino superior incompleto,PMDB
251440,Não,Masculino,52,Pós-graduação,PSDB
251445,Não,Masculino,34,Ensino médio completo,PMDB
251450,Sim,Masculino,32,Ensino superior incompleto,PMDB
251455,Sim,Masculino,66,Ensino fundamental completo,PMDB
251460,Não,Feminino,58,Ensino superior completo,PMDB
251465,Sim,Masculino,37,Ensino médio incompleto,PMDB
251470,Não,Feminino,45,Pós-graduação,PSDB
251480,Sim,Masculino,56,Ensino superior completo,PSB
251490,Sim,Masculino,55,Pós-graduação,DEM
251500,Não,Masculino,36,Ensino superior completo,PMDB
251510,Não,Feminino,67,Ensino fundamental completo,PMDB
251520,Sim,Masculino,45,Ensino superior completo,DEM
251530,Não,Masculino,60,Ensino superior completo,PSD
251540,Não,Feminino,41,Ensino superior completo,DEM
251550,Sim,Masculino,54,Ensino superior completo,PMDB
251560,Não,Feminino,48,Ensino superior completo,DEM
251570,Não,Masculino,27,Ensino superior incompleto,PSB
251580,Sim,Masculino,44,Ensino médio completo,PSD
251590,Sim,Masculino,49,Ensino superior completo,PSDB
251593,Não,Feminino,42,Pós-graduação,PMDB
251597,Não,Masculino,45,Ensino médio completo,PSDB
251600,Não,Masculino,42,Ensino superior completo,PPS
251610,Sim,Masculino,59,Pós-graduação,PT
251615,Sim,Masculino,38,Ensino médio completo,PSD
251620,Não,Masculino,38,Ensino superior completo,PMDB
251630,Sim,Masculino,61,Pós-graduação,PMDB
251640,Não,Masculino,39,Ensino superior completo,PMDB
251650,Não,Masculino,41,Ensino médio incompleto,PMDB
251660,Não,Masculino,36,Ensino superior completo,PMDB
251670,Não,Masculino,44,Ensino fundamental completo,PMDB
251675,Não,Masculino,42,Ensino fundamental completo,PSDB
251680,Não,Masculino,44,Ensino superior completo,PMDB
251690,Não,Masculino,52,Ensino superior completo,PSB
251700,Não,Masculino,33,Ensino superior incompleto,DEM
251710,Sim,Masculino,49,Pós-graduação,DEM
251720,Não,Masculino,55,Ensino fundamental completo,PTB
251740,Sim,Feminino,44,Ensino superior completo,DEM
260005,Não,Masculino,52,Ensino médio completo,PT
260010,Não,Masculino,52,Ensino médio completo,PSB
260020,Não,Feminino,51,Ensino superior completo,PSB
260030,Não,Masculino,32,Ensino superior completo,PDT
260040,Sim,Masculino,50,Ensino superior completo,PSB
260050,Sim,Masculino,42,Ensino superior incompleto,PT
260060,Sim,Masculino,43,Ensino médio completo,PTB
260070,Não,Masculino,42,Ensino médio completo,PSB
260080,Não,Masculino,41,Ensino médio completo,PSOL
260090,Sim,Masculino,52,Ensino médio completo,PR
260100,Não,Feminino,54,Ensino superior completo,PSD
260105,Não,Masculino,60,Ensino superior completo,PDT
260110,Sim,Masculino,52,Ensino superior completo,PSB
260120,Não,Feminino,61,Pós-graduação,PTB
260130,Não,Masculino,29,Ensino fundamental incompleto,PP
260140,Não,Masculino,40,Ensino superior incompleto,PSB
260150,Não,Masculino,44,Ensino superior completo,PSB
260160,Sim,Masculino,35,Ensino superior completo,PSB
260170,Não,Masculino,45,Ensino superior completo,PSD
260180,Sim,Feminino,39,Ensino superior completo,PSD
260190,Não,Masculino,68,Ensino superior completo,PSB
260200,Não,Masculino,31,Ensino superior completo,PSB
260210,Não,Masculino,28,Ensino superior completo,PSDB
260220,Não,Masculino,28,Ensino superior incompleto,PP
260230,Sim,Masculino,66,Ensino superior completo,PSB
260240,Não,Masculino,65,Ensino fundamental completo,PTB
260250,Sim,Masculino,52,Ensino médio completo,PSB
260260,Não,Masculino,44,Ensino médio incompleto,Outra situação
260270,Sim,Masculino,73,Ensino superior completo,PSDB
260280,Sim,Masculino,30,Ensino superior incompleto,PSD
260290,Não,Masculino,44,Ensino médio incompleto,PSB
260300,Não,Masculino,54,Ensino superior completo,PSB
260310,Sim,Masculino,47,Ensino fundamental incompleto,PSD
260320,Não,Masculino,58,Ensino médio completo,PTB
260330,Sim,Masculino,46,Ensino fundamental incompleto,PP
260340,Sim,Masculino,42,Ensino médio completo,PSB
260345,Não,Masculino,44,Ensino superior incompleto,PSDB
260350,Sim,Masculino,43,Ensino superior incompleto,PTB
260360,Não,Masculino,42,Ensino médio incompleto,PDT
260370,Não,Masculino,25,Ensino superior completo,DEM
260380,Não,Feminino,44,Ensino superior completo,PSB
260390,Não,Masculino,54,Ensino superior completo,PSB
260392,Não,Masculino,50,Ensino superior completo,PSB
260400,Não,Masculino,54,Ensino superior incompleto,PSB
260410,Sim,Masculino,72,Ensino superior completo,PDT
260415,Não,Feminino,51,Ensino superior completo,PSDB
260420,Sim,Masculino,73,Ensino fundamental incompleto,PSB
260430,Sim,Masculino,48,Ensino médio completo,PSB
260440,Não,Masculino,40,Ensino médio completo,PC do B
260450,Não,Masculino,57,Pós-graduação,PP
260460,Não,Feminino,40,Pós-graduação,PSDB
260470,Não,Masculino,41,Ensino superior completo,PSB
260480,Sim,Masculino,52,Ensino superior completo,PSB
260490,Sim,Masculino,48,Ensino superior completo,PSD
260500,Sim,Masculino,50,Ensino médio completo,PDT
260510,Não,Masculino,58,Ensino superior completo,PT
260515,Não,Masculino,32,Ensino superior completo,PSB
260520,Não,Masculino,54,Ensino superior completo,PSB
260530,Sim,Masculino,40,Ensino médio completo,PTB
260540,Sim,Masculino,69,Pós-graduação,PSB
260545,Sim,Masculino,65,Ensino superior completo,PSB
260550,Não,Masculino,47,Ensino médio completo,PSB
260560,Não,Feminino,46,Ensino médio completo,PR
260570,Sim,Feminino,54,Ensino superior completo,PSB
260580,Não,Masculino,58,Ensino fundamental incompleto,PSD
260590,Não,Feminino,28,Ensino superior completo,PDT
260600,Não,Masculino,58,Ensino médio completo,PTB
260610,Não,Masculino,45,Pós-graduação,PTB
260620,Não,Masculino,45,Pós-graduação,PTB
260630,Não,Masculino,38,Ensino médio completo,PDT
260640,Não,Masculino,40,Ensino superior completo,PTB
260650,Não,Masculino,47,Ensino superior completo,PTB
260660,Não,Masculino,50,Ensino fundamental incompleto,PP
260670,Não,Masculino,42,Ensino médio completo,PT
260680,Não,Masculino,51,Ensino superior incompleto,PRB
260690,Não,Masculino,65,Ensino superior completo,PTC
260700,Não,Masculino,28,Ensino médio completo,PSDB
260710,Sim,Masculino,52,Ensino médio completo,PSB
260720,Não,Masculino,57,Ensino superior completo,PSDB
260730,Sim,Masculino,24,Ensino superior incompleto,PSD
260740,Não,Masculino,37,Ensino médio completo,PSB
260750,Não,Masculino,26,Ensino médio completo,PSDB
260760,Não,Masculino,40,Ensino médio incompleto,PTB
260765,Não,Masculino,39,Ensino superior completo,PSB
260770,Não,Masculino,36,Ensino médio completo,PSB
260775,Sim,Masculino,39,Ensino superior completo,PSDB
260780,Não,Masculino,30,Ensino superior incompleto,PDT
260790,Sim,Masculino,61,Ensino médio completo,PSDB
260795,Não,Masculino,46,Ensino médio completo,PT
260800,Não,Masculino,54,Ensino médio completo,PMDB
260805,Não,Masculino,39,Ensino superior completo,PT
260810,Não,Feminino,59,Ensino superior completo,PTB
260820,Sim,Masculino,60,Ensino médio completo,PSB
260825,Sim,Masculino,66,Ensino fundamental completo,PTB
260830,Sim,Feminino,59,Pós-graduação,PDT
260840,Não,Masculino,45,Ensino médio completo,PR
260845,Não,Masculino,45,Ensino médio completo,PSB
260850,Não,Masculino,42,Ensino médio completo,PSB
260860,Não,Masculino,51,Ensino médio completo,PSB
260870,Não,Feminino,48,Ensino médio completo,PTB
260875,Não,Masculino,28,Ensino médio completo,PSB
260880,Não,Masculino,44,Ensino superior completo,PSD
260890,Sim,Masculino,46,Ensino médio completo,PSDB
260900,Não,Masculino,42,Ensino médio completo,PMDB
260910,Não,Masculino,60,Ensino médio completo,PT
260915,Não,Masculino,26,Ensino médio completo,PSDB
260920,Não,Feminino,49,Ensino médio incompleto,PSD
260930,Sim,Masculino,50,Pós-graduação,PR
260940,Não,Masculino,37,Ensino superior completo,PSB
260950,Sim,Masculino,48,Ensino superior incompleto,PTB
260960,Sim,Masculino,54,Pós-graduação,PC do B
260970,Não,Masculino,28,Ensino superior completo,PSD
260980,Sim,Masculino,52,Ensino médio incompleto,PT
260990,Não,Masculino,37,Ensino superior completo,PMDB
261000,Não,Masculino,45,Pós-graduação,PSB
261010,Não,Masculino,41,Ensino fundamental incompleto,PMDB
261020,Sim,Masculino,52,Ensino superior completo,PTB
261030,Sim,Masculino,60,Ensino superior incompleto,PSB
261040,Sim,Masculino,47,Ensino superior completo,PSD
261050,Não,Masculino,57,Ensino superior completo,PSDB
261060,Não,Masculino,55,Ensino superior incompleto,PSB
261070,Não,Masculino,34,Ensino médio completo,PSB
261080,Não,Masculino,57,Ensino superior completo,PTB
261090,Não,Masculino,64,Ensino superior completo,PSB
261100,Sim,Masculino,34,Ensino superior completo,PR
261110,Sim,Masculino,41,Pós-graduação,PMDB
261120,Não,Masculino,38,Pós-graduação,PSB
261130,Não,Masculino,53,Ensino superior completo,PSDB
261140,Não,Masculino,58,Ensino médio completo,PSC
261150,Não,Masculino,32,Ensino superior incompleto,PSDB
261153,Sim,Masculino,54,Ensino médio completo,PR
261160,Não,Masculino,42,Pós-graduação,PSB
261170,Não,Masculino,48,Pós-graduação,PSB
261180,Não,Masculino,56,Ensino superior completo,PR
261190,Sim,Masculino,56,Ensino superior completo,PTB
261200,Não,Masculino,44,Ensino médio completo,PSB
261210,Não,Masculino,45,Ensino superior completo,PR
261220,Sim,Masculino,54,Ensino superior completo,PSB
261230,Não,Masculino,45,Ensino superior incompleto,PMDB
261240,Não,Masculino,40,Ensino superior completo,PC do B
261245,Não,Masculino,42,Ensino médio completo,PR
261247,Não,Masculino,24,Ensino superior completo,PTB
261250,Não,Masculino,39,Ensino superior completo,PSDB
261255,Não,Masculino,44,Ensino superior completo,PSD
261260,Não,Feminino,46,Ensino médio completo,PSL
261270,Não,Masculino,33,Ensino superior completo,PSB
261280,Sim,Masculino,45,Ensino fundamental completo,PTB
261290,Sim,Masculino,43,Ensino médio incompleto,PR
261300,Não,Feminino,34,Pós-graduação,PSB
261310,Não,Masculino,58,Pós-graduação,PTB
261320,Não,Masculino,39,Ensino médio completo,PSD
261330,Não,Masculino,31,Ensino superior completo,PSDB
261340,Não,Feminino,55,Ensino superior completo,PDT
261350,Não,Masculino,48,Ensino superior completo,PR
261360,Não,Masculino,53,Pós-graduação,PT
261370,Sim,Masculino,69,Pós-graduação,PSB
261380,Não,Masculino,44,Ensino médio completo,PSDB
261390,Não,Masculino,53,Ensino superior incompleto,PT
261400,Sim,Masculino,50,Ensino médio completo,PSD
261410,Não,Masculino,39,Pós-graduação,PSDB
261420,Não,Masculino,41,Ensino médio completo,PSD
261430,Não,Masculino,46,Ensino médio completo,PRB
261440,Sim,Feminino,44,Ensino médio completo,PSB
261450,Não,Masculino,42,Ensino médio completo,PT
261460,Não,Masculino,53,Ensino superior completo,PTB
261470,Não,Feminino,54,Ensino superior completo,PSD
261480,Não,Masculino,47,Ensino médio completo,PSB
261485,Sim,Masculino,47,Ensino superior completo,PSD
261500,Sim,Masculino,52,Ensino médio completo,PSB
261510,Sim,Masculino,40,Ensino médio completo,PR
261520,Não,Masculino,49,Ensino fundamental incompleto,PR
261530,Sim,Masculino,47,Ensino médio completo,PSB
261540,Não,Masculino,66,Ensino fundamental incompleto,PSB
261550,Não,Masculino,44,Ensino médio completo,PR
261560,Não,Masculino,50,Pós-graduação,PR
261570,Sim,Masculino,48,Pós-graduação,PR
261580,Sim,Masculino,47,Ensino médio completo,PT
261590,Não,Masculino,43,Ensino superior completo,PSD
261600,Não,Masculino,54,Ensino médio completo,PR
261610,Não,Masculino,52,Ensino superior completo,PMDB
261618,Não,Masculino,56,Ensino fundamental incompleto,PT
261620,Não,Masculino,49,Ensino médio completo,PSDB
261630,Sim,Masculino,66,Ensino superior completo,PSB
261640,Sim,Masculino,74,Ensino fundamental incompleto,PSD
261650,Não,Masculino,65,Ensino superior completo,PSB
270010,Não,Feminino,52,Ensino superior completo,PMDB
270020,Sim,Masculino,45,Ensino médio completo,PPS
270030,Não,Feminino,60,Ensino superior completo,PTB
270040,Não,Masculino,49,Pós-graduação,PTB
270050,Não,Masculino,58,Ensino médio completo,PSD
270060,Não,Masculino,24,Ensino superior incompleto,PP
270070,Sim,Masculino,69,Ensino superior completo,PMDB
270080,Não,Masculino,35,Ensino médio completo,PMN
270090,Sim,Masculino,50,Ensino superior completo,PP
270100,Não,Masculino,42,Ensino superior completo,PDT
270110,Sim,Feminino,45,Ensino superior completo,PMDB
270120,Sim,Masculino,61,Ensino médio completo,PMDB
270130,Não,Feminino,55,Ensino superior completo,PSDB
270135,Sim,Masculino,58,Ensino médio incompleto,PT do B
270140,Não,Feminino,37,Ensino superior incompleto,PSDB
270150,Não,Masculino,25,Ensino superior incompleto,PP
270160,Não,Masculino,59,Ensino médio completo,PMDB
270170,Não,Masculino,39,Ensino superior completo,PSDB
270180,Não,Masculino,57,Ensino médio completo,PP
270190,Não,Masculino,79,Ensino médio completo,PSDB
270200,Não,Masculino,29,Ensino superior incompleto,PMDB
270210,Não,Feminino,41,Ensino médio incompleto,PTB
270220,Sim,Masculino,46,Ensino superior completo,PTB
270230,Não,Masculino,55,Ensino superior completo,PMDB
270235,Não,Masculino,28,Ensino superior completo,PTB
270240,Não,Masculino,50,Ensino fundamental completo,Outra situação
270250,Sim,Feminino,43,Ensino superior incompleto,PSDB
270255,Não,Masculino,37,Ensino superior completo,PP
270260,Não,Masculino,28,Ensino superior completo,PMDB
270270,Sim,Masculino,35,Ensino superior incompleto,PMDB
270280,Sim,Feminino,50,Ensino superior completo,PP
270290,Não,Masculino,31,Ensino superior completo,PSD
270300,Não,Masculino,46,Ensino superior incompleto,PT do B
270310,Não,Masculino,41,Pós-graduação,PMDB
270320,Não,Masculino,45,Ensino médio completo,PDT
270330,Não,Masculino,39,Ensino médio incompleto,PT
270340,Sim,Masculino,43,Ensino médio incompleto,PP
270350,Não,Masculino,48,Ensino fundamental completo,PSD
270360,Não,Masculino,31,Ensino médio completo,PRP
270370,Não,Masculino,33,Ensino superior completo,PPS
270375,Sim,Masculino,40,Ensino superior completo,PTB
270380,Sim,Masculino,63,Ensino médio completo,PSDC
270390,Não,Masculino,40,Ensino médio completo,PMDB
270400,Sim,Masculino,31,Ensino médio completo,DEM
270410,Não,Masculino,60,Ensino médio completo,PMDB
270420,Sim,Masculino,46,Ensino superior completo,PP
270430,Não,Masculino,36,Pós-graduação,PSDB
270440,Não,Feminino,46,Ensino médio completo,PTB
270450,Não,Masculino,38,Ensino superior completo,PSD
270460,Não,Masculino,54,Ensino superior incompleto,PTB
270470,Sim,Masculino,39,Ensino superior completo,PMDB
270480,Não,Masculino,51,Ensino médio completo,PSD
270490,Não,Feminino,38,Ensino superior completo,PMDB
270500,Sim,Masculino,25,Ensino superior incompleto,PP
270510,Não,Masculino,44,Ensino médio completo,PSD
270520,Não,Masculino,48,Ensino superior completo,PSDB
270530,Sim,Feminino,50,Ensino superior incompleto,PSDB
270540,Não,Masculino,47,Ensino superior completo,PMDB
270550,Sim,Masculino,51,Ensino superior completo,PMDB
270560,Não,Masculino,38,Ensino fundamental completo,PMDB
270570,Não,Feminino,65,Ensino médio completo,PMDB
270580,Não,Masculino,52,Ensino fundamental completo,Outra situação
270590,Não,Feminino,34,Ensino superior completo,PP
270600,Sim,Masculino,43,Ensino fundamental incompleto,PP
270610,Sim,Masculino,42,Ensino médio completo,PMDB
270620,Não,Masculino,37,Ensino médio completo,PT do B
270630,Sim,Masculino,43,Pós-graduação,PSDB
270640,Não,Masculino,56,Pós-graduação,PSDB
270642,Não,Masculino,40,Ensino superior completo,PP
270644,Sim,Masculino,50,Ensino superior completo,PP
270650,Não,Feminino,42,Pós-graduação,PMDB
270660,Não,Masculino,58,Ensino fundamental completo,PSB
270670,Não,Masculino,43,Pós-graduação,PDT
270680,Sim,Feminino,55,Ensino superior completo,PSDB
270690,Não,Masculino,60,Ensino superior completo,PMDB
270700,Não,Masculino,41,Ensino superior incompleto,PSB
270710,Não,Masculino,39,Pós-graduação,PDT
270720,Sim,Masculino,68,Ensino superior completo,PSC
270730,Não,Masculino,81,Ensino superior completo,PSDB
270740,Não,Masculino,30,Ensino superior completo,PSC
270750,Não,Masculino,41,Ensino superior completo,PP
270760,Não,Masculino,61,Ensino superior completo,PSDB
270770,Não,Feminino,61,Ensino superior completo,PRP
270780,Não,Masculino,44,Pós-graduação,PDT
270790,Não,Masculino,63,Ensino médio completo,PT
270800,Não,Masculino,47,Ensino superior completo,PV
270810,Sim,Masculino,44,Ensino médio incompleto,PSC
270820,Sim,Masculino,45,Ensino médio completo,PSDB
270830,Não,Masculino,28,Ensino superior completo,PMDB
270840,Sim,Masculino,43,Pós-graduação,PSDB
270850,Não,Masculino,70,Ensino fundamental incompleto,PMDB
270860,Sim,Masculino,53,Ensino superior incompleto,PSB
270870,Sim,Masculino,60,Ensino médio incompleto,PSDB
270880,Não,Masculino,41,Ensino superior completo,PP
270890,Não,Masculino,50,Ensino médio completo,PSD
270895,Não,Masculino,49,Ensino fundamental completo,PSDB
270900,Não,Masculino,37,Ensino fundamental incompleto,PMN
270910,Não,Masculino,44,Ensino médio completo,PRB
270915,Sim,Masculino,38,Ensino médio completo,PSDB
270920,Sim,Feminino,46,Ensino superior completo,DEM
270930,Não,Masculino,52,Pós-graduação,PSD
270940,Sim,Masculino,46,Ensino superior incompleto,PPL
280010,Sim,Masculino,64,Ensino superior completo,PSB
280020,Não,Masculino,61,Ensino médio completo,PMDB
280030,Não,Masculino,72,Pós-graduação,DEM
280040,Sim,Feminino,71,Ensino médio completo,PMDB
280050,Sim,Masculino,52,Ensino médio completo,PSC
280060,Não,Masculino,51,Ensino médio completo,PMDB
280067,Não,Masculino,40,Ensino superior completo,PSD
280070,Não,Feminino,30,Ensino superior completo,PTC
280100,Não,Masculino,38,Ensino médio completo,PSB
280110,Não,Feminino,50,Ensino médio completo,PR
280120,Não,Masculino,56,Ensino médio incompleto,PRB
280130,Não,Masculino,51,Ensino médio completo,PR
280140,Não,Masculino,30,Ensino superior completo,PSD
280150,Sim,Feminino,51,Pós-graduação,PT
280160,Não,Masculino,55,Ensino superior completo,DEM
280170,Sim,Masculino,48,Ensino médio completo,PC do B
280190,Não,Masculino,34,Ensino superior completo,PSD
280200,Não,Masculino,52,Pós-graduação,PR
280210,Não,Masculino,60,Ensino superior completo,DEM
280220,Não,Masculino,51,Ensino médio completo,PMDB
280230,Sim,Masculino,53,Ensino superior incompleto,DEM
280240,Não,Masculino,49,Ensino superior completo,PT do B
280250,Não,Masculino,59,Ensino superior completo,PSD
280260,Não,Masculino,34,Ensino médio completo,PSB
280270,Não,Masculino,32,Ensino superior completo,PSC
280280,Sim,Masculino,57,Ensino superior completo,PT
280290,Não,Masculino,45,Ensino superior completo,PR
280300,Não,Masculino,55,Ensino médio completo,PSDB
280310,Sim,Masculino,56,Pós-graduação,PSD
280320,Não,Feminino,55,Ensino superior completo,PSDB
280330,Não,Masculino,55,Ensino superior completo,PMDB
280340,Não,Masculino,60,Ensino superior completo,PSD
280350,Não,Masculino,60,Ensino médio completo,PSDB
280360,Não,Masculino,41,Pós-graduação,PMDB
280370,Sim,Masculino,40,Ensino superior completo,PSD
280380,Não,Masculino,51,Ensino superior completo,PT
280390,Não,Feminino,34,Pós-graduação,PSB
280400,Não,Masculino,52,Ensino superior incompleto,PMDB
280410,Não,Masculino,49,Ensino médio completo,PMDB
280420,Não,Masculino,41,Ensino médio completo,PSC
280430,Não,Masculino,27,Ensino superior incompleto,PDT
280440,Não,Masculino,68,Ensino superior completo,PSC
280445,Não,Feminino,42,Pós-graduação,PMDB
280450,Não,Masculino,50,Ensino superior completo,PT
280460,Não,Masculino,59,Ensino superior completo,PDT
280470,Não,Masculino,38,Ensino superior completo,PSD
280480,Sim,Masculino,39,Ensino superior completo,PDT
280490,Não,Masculino,47,Ensino superior incompleto,PSC
280500,Não,Masculino,33,Pós-graduação,DEM
280510,Sim,Masculino,53,Ensino médio completo,PSD
280520,Não,Masculino,59,Ensino superior completo,PSB
280530,Não,Masculino,41,Ensino superior incompleto,PSC
280540,Sim,Masculino,40,Ensino médio completo,PT
280550,Não,Masculino,31,Ensino superior completo,PSB
280560,Não,Masculino,36,Ensino superior completo,PSD
280570,Sim,Masculino,46,Ensino superior incompleto,PSC
280580,Sim,Masculino,34,Ensino médio incompleto,PSD
280590,Não,Feminino,51,Pós-graduação,PMDB
280600,Não,Masculino,54,Ensino médio completo,PSB
280610,Não,Masculino,47,Ensino médio completo,PSD
280620,Não,Masculino,32,Ensino superior incompleto,PSB
280630,Não,Masculino,60,Ensino superior completo,PSDB
280640,Não,Feminino,65,Ensino superior completo,PSC
280650,Não,Masculino,51,Ensino superior incompleto,PPS
280660,Não,Masculino,53,Ensino médio completo,PSL
280670,Não,Feminino,42,Ensino superior completo,PSB
280680,Não,Masculino,44,Pós-graduação,PT
280690,Não,Masculino,48,Ensino médio completo,PR
280700,Não,Feminino,56,Ensino superior completo,PDT
280710,Não,Masculino,42,Ensino médio completo,PSC
280720,Sim,Masculino,61,Ensino superior completo,DEM
280730,Não,Masculino,49,Ensino médio completo,PSC
280740,Sim,Masculino,53,Ensino médio completo,PT
280750,Não,Masculino,43,Ensino médio completo,PPL
280760,Não,Masculino,64,Ensino médio completo,PDT
290010,Sim,Masculino,44,Pós-graduação,PSB
290020,Não,Masculino,60,Ensino fundamental incompleto,PMDB
290030,Não,Masculino,56,Ensino superior completo,PTC
290035,Não,Masculino,51,Ensino superior incompleto,PMDB
290040,Não,Masculino,37,Pós-graduação,PT
290050,Sim,Masculino,50,Pós-graduação,PT
290060,Não,Masculino,43,Ensino médio incompleto,PC do B
290070,Sim,Masculino,56,Ensino superior incompleto,PDT
290080,Não,Masculino,36,Ensino superior completo,PV
290090,Sim,Feminino,42,Ensino médio completo,PSD
290100,Não,Feminino,42,Ensino superior completo,PSB
290110,Sim,Masculino,59,Ensino superior completo,PT
290115,Não,Masculino,41,Ensino médio incompleto,PT
290120,Não,Feminino,34,Ensino superior completo,PT
290130,Sim,Masculino,61,Ensino médio incompleto,PSB
290135,Não,Masculino,65,Ensino fundamental completo,PP
290140,Não,Masculino,43,Ensino médio completo,PP
290150,Sim,Masculino,40,Ensino superior incompleto,PSD
290160,Não,Masculino,39,Ensino médio completo,PP
290170,Não,Masculino,59,Ensino médio completo,PDT
290180,Não,Feminino,58,Ensino superior completo,PR
290190,Não,Masculino,55,Pós-graduação,PR
290195,Não,Feminino,50,Ensino médio completo,PR
290200,Não,Masculino,42,Ensino médio completo,PV
290205,Não,Feminino,55,Ensino superior completo,PT
290210,Não,Masculino,31,Ensino superior completo,PDT
290220,Sim,Masculino,49,Ensino médio completo,PDT
290225,Não,Masculino,52,Ensino médio completo,PMDB
290230,Não,Feminino,45,Ensino superior completo,PSD
290240,Não,Feminino,40,Ensino médio completo,PP
290250,Não,Masculino,33,Ensino superior completo,PDT
290260,Não,Masculino,52,Ensino fundamental completo,PT
290265,Não,Feminino,33,Ensino superior incompleto,PT
290270,Sim,Masculino,59,Ensino superior completo,PP
290280,Não,Masculino,39,Ensino superior completo,PV
290290,Não,Masculino,57,Pós-graduação,PP
290300,Não,Masculino,50,Ensino superior completo,PMDB
290310,Não,Feminino,61,Ensino médio completo,PSC
290320,Não,Masculino,68,Ensino médio completo,PP
290323,Não,Masculino,42,Ensino médio completo,PSD
290327,Sim,Masculino,39,Ensino médio completo,PR
290330,Não,Feminino,42,Ensino médio completo,PT
290340,Não,Feminino,53,Ensino superior completo,PP
290350,Sim,Masculino,62,Ensino médio completo,PSD
290360,Sim,Masculino,41,Ensino médio completo,PDT
290370,Não,Masculino,46,Ensino médio completo,PMDB
290380,Não,Masculino,46,Ensino médio completo,PT
