imovel,estado,cidade,bairro,preco,preco_aprox,preco_dol,area_total,area,preco_dol_m2,preco_m2
apartamento,São Paulo,Ribeirão Preto,Residencial e Comercial Palmares,1300.0,1297.5,405.7,0.0,100.0,4.1,13.0
apartamento,São Paulo,São Paulo,Itaim Bibi,15000.0,14971.9,4680.8,185.0,185.0,25.3,81.1
apartamento,São Paulo,São Paulo,Cerqueira César,12000.0,11977.5,3744.6,392.0,408.0,9.2,29.4
apartamento,São Paulo,São Paulo,Santa Cecília,1200.0,1197.7,374.5,18.0,18.0,20.8,66.7
loja,Minas Gerais,Belo Horizonte,São Pedro,4500.0,4491.6,1404.2,0.0,147.0,9.6,30.6
apartamento,São Paulo,São Paulo,Jardim Paulista,5000.0,4990.6,1560.2,0.0,243.0,6.4,20.6
apartamento,São Paulo,São Paulo,Higienópolis,3500.0,3533.6,1104.7,0.0,142.0,7.8,24.6
loja,São Paulo,Piracicaba,Centro,2200.0,2195.9,686.5,151.0,136.0,5.0,16.2
apartamento,Rio de Janeiro,Rio de Janeiro,Ipanema,8000.0,8076.8,2525.1,140.0,140.0,18.0,57.1
apartamento,São Paulo,São Paulo,Campo Belo,3280.0,3273.8,1023.5,0.0,49.0,20.9,66.9
apartamento,São Paulo,São Paulo,Paraíso,3500.0,3493.4,1092.2,57.0,57.0,19.2,61.4
apartamento,São Paulo,São Paulo,Brooklin,8000.0,7985.0,2496.4,149.0,149.0,16.8,53.7
