uf,nome_uf,nome_meso,micro,nome_micro,mun,cod_mun_c,nome_mun,dist,distrito,nome_distrito
41,Paraná,Noroeste Paranaense,001,Paranavaí,27304,4127304,terra rica,10,412730410,adhemar de barros
35,São Paulo,São José do Rio Preto,004,São José do Rio Preto,00204,3500204,adolfo,05,350020405,adolfo
23,Ceará,Noroeste Cearense,001,Litoral de Camocim e Acaraú,04707,2304707,granja,10,230470710,adrianópolis
41,Paraná,Metropolitana de Curitiba,035,Cerro Azul,00202,4100202,adrianópolis,05,410020205,adrianópolis
29,Bahia,Nordeste Baiano,015,Ribeira do Pombal,00355,2900355,adustina,05,290035505,adustina
29,Bahia,Centro Norte Baiano,012,Feira de Santana,29305,2929305,são gonçalo dos campos,10,292930510,afligidos
26,Pernambuco,Sertão Pernambucano,003,Pajeú,00104,2600104,afogados da ingazeira,05,260010405,afogados da ingazeira
33,Rio de Janeiro,Centro Fluminense,005,Três Rios,00951,3300951,comendador levy gasparian,10,330095110,afonso arinos
24,Rio Grande do Norte,Central Potiguar,009,Angicos,00307,2400307,afonso bezerra,05,240030705,afonso bezerra
32,Espírito Santo,Central Espírito-santense,007,Afonso Cláudio,00102,3200102,afonso cláudio,05,320010205,afonso cláudio
21,Maranhão,Leste Maranhense,016,Coelho Neto,00105,2100105,afonso cunha,05,210010505,afonso cunha
43,Rio Grande do Sul,Noroeste Rio-grandense,007,Santo Ângelo,18903,4318903,são luiz gonzaga,10,431890310,afonso rodrigues
26,Pernambuco,São Francisco Pernambucano,005,Petrolina,00203,2600203,afrânio,05,260020305,afrânio
29,Bahia,Centro Sul Baiano,023,Seabra,19306,2919306,lençóis,10,291930610,afrânio peixoto
15,Pará,Marajó,005,Furos de Breves,00305,1500305,afuá,05,150030505,afuá
32,Espírito Santo,Central Espírito-santense,010,Guarapari,04203,3204203,piúma,10,320420310,aghá
35,São Paulo,Presidente Prudente,036,Presidente Prudente,42206,3542206,rancharia,10,354220610,agissê
26,Pernambuco,Agreste Pernambucano,012,Brejo Pernambucano,00302,2600302,agrestina,05,260030205,agrestina
22,Piauí,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00103,2200103,agricolândia,05,220010305,agricolândia
41,Paraná,Oeste Paranaense,024,Foz do Iguaçu,15606,4115606,matelândia,07,411560607,agro cafeeira
42,Santa Catarina,Vale do Itajaí,014,Ituporanga,00200,4200200,agrolândia,05,420020005,agrolândia
42,Santa Catarina,Vale do Itajaí,011,Rio do Sul,00309,4200309,agronômica,05,420030905,agronômica
41,Paraná,Metropolitana de Curitiba,036,Lapa,13205,4113205,lapa,10,411320510,água azul
15,Pará,Sudeste Paraense,019,Parauapebas,00347,1500347,água azul do norte,05,150034705,água azul do norte
29,Bahia,Centro Sul Baiano,028,Vitória da Conquista,03953,2903953,bom jesus da serra,10,290395310,água bela
31,Minas Gerais,Vale do Rio Doce,036,Peçanha,00609,3100609,água boa,05,310060905,água boa
41,Paraná,Norte Central Paranaense,009,Maringá,17503,4117503,paiçandu,10,411750310,água boa
50,Mato Grosso do Sul,Centro Norte de Mato Grosso do Sul,004,Campo Grande,07505,5007505,rochedo,10,500750510,água boa
51,Mato Grosso,Nordeste Mato-grossense,010,Canarana,00201,5100201,água boa,05,510020105,água boa
31,Minas Gerais,Norte de Minas,005,Salinas,57377,3157377,santa cruz de salinas,10,315737710,água boa de santa cruz
22,Piauí,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00202,2200202,água branca,05,220020205,água branca
23,Ceará,Sertões Cearenses,018,Sertão de Cratéus,05654,2305654,ipaporanga,40,230565440,água branca
25,Paraíba,Sertão Paraibano,007,Serra do Teixeira,00106,2500106,água branca,05,250010605,água branca
27,Alagoas,Sertão Alagoano,001,Serrana do Sertão Alagoano,00102,2700102,água branca,05,270010205,água branca
31,Minas Gerais,Jequitinhonha,013,Pedra Azul,17009,3117009,comercinho,10,311700910,água branca de minas
50,Mato Grosso do Sul,Leste de Mato Grosso do Sul,007,Três Lagoas,00203,5000203,água clara,05,500020305,água clara
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,022,Uberaba,00708,3100708,água comprida,05,310070805,água comprida
51,Mato Grosso,Norte Mato-grossense,001,Aripuanã,01902,5101902,brasnorte,10,510190210,água da prata
29,Bahia,Centro Sul Baiano,028,Vitória da Conquista,12301,2912301,ibicuí,10,291230110,água doce
42,Santa Catarina,Oeste Catarinense,004,Joaçaba,00408,4200408,água doce,05,420040805,água doce
21,Maranhão,Leste Maranhense,013,Baixo Parnaíba Maranhense,00154,2100154,água doce do maranhão,05,210015405,água doce do maranhão
32,Espírito Santo,Noroeste Espírito-santense,001,Barra de São Francisco,00169,3200169,água doce do norte,05,320016905,água doce do norte
23,Ceará,Jaguaribe,023,Baixo Jaguaribe,11504,2311504,quixeré,07,231150407,agua fria
26,Pernambuco,Agreste Pernambucano,008,Vale do Ipojuca,01706,2601706,belo jardim,10,260170610,água fria
29,Bahia,Centro Norte Baiano,012,Feira de Santana,00405,2900405,água fria,05,290040505,água fria
51,Mato Grosso,Centro-Sul Mato-grossense,017,Cuiabá,03007,5103007,chapada dos guimarães,10,510300710,água fria
52,Goiás,Leste Goiano,012,Entorno de Brasília,00175,5200175,água fria de goiás,05,520017505,água fria de goiás
52,Goiás,Sul Goiano,015,Meia Ponte,00209,5200209,água limpa,05,520020905,água limpa
31,Minas Gerais,Zona da Mata,061,Manhuaçu,16001,3116001,chalé,20,311600120,água limpa de chalé
24,Rio Grande do Norte,Oeste Potiguar,005,Serra de São Miguel,00406,2400406,água nova,05,240040605,água nova
