ibge7,meso,nome_meso,micro,nome_micro,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,existe_conselho_saude,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,existe_conselho_educ,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,perc_energia,perc_banagua,perc_esgoto,perc_lixo,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup,perc_rdpc_140,fam_pbf,tx_emp_form,rend_pc_form,pib_pc,perc_agro,perc_serv,tx_ativ_18m
3149002,3112,Zona da Mata,31063,Muriaé,Pedra Dourada,0.0,0.0,94.79,40.0,Sim,16.6,25.1,13.61,40.9,100.0,Sim,0.0,45.6,45.6,Não,99.66,99.49,60.06,99.71,2187,1136,1055,50.35,59.38,2.48,75.0,406.3,658.78,24.78,178,14.0,89.9,7629.36,53.44,30.09,64.15
3149101,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,Pedralva,0.0,0.0,0.0,40.32,Sim,10.9,30.5,21.89,60.6,95.9,Sim,8.7,8.7,8.7,Não,99.86,98.46,47.18,100.0,11467,5858,5609,48.13,48.51,1.97,73.0,541.01,921.96,17.94,699,15.1,78.71,8387.87,43.86,29.05,63.16
3149150,3102,Norte de Minas,31003,Januária,Pedras de Maria da Cruz,33.69,29.27,0.0,8.13,Não,30.8,23.0,13.65,36.8,100.0,Sim,19.3,38.7,29.0,Não,98.84,73.55,0.38,81.58,10310,5293,5022,56.19,61.35,2.36,72.0,268.27,444.95,33.61,1449,10.5,55.77,4741.94,49.88,26.25,56.04
3149200,3105,Triângulo Mineiro/Alto Paranaíba,31023,Araxá,Pedrinópolis,123.92,0.0,0.0,25.0,Sim,12.5,43.0,27.88,37.7,100.0,Sim,0.0,28.6,0.0,Não,99.63,78.3,82.75,99.2,3490,1798,1692,46.08,83.87,2.06,76.0,702.77,1088.31,4.43,236,25.1,156.59,21131.69,39.85,35.42,65.74
3149309,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,Pedro Leopoldo,12.99,37.2,13.34,18.06,Sim,6.5,53.7,38.81,56.1,100.0,Sim,166.8,66.3,17.0,Não,99.9,99.28,61.58,99.0,58696,28695,29967,40.95,85.11,1.75,76.0,721.11,1145.86,5.53,1989,38.1,330.58,17923.29,3.71,44.73,68.72
3149408,3112,Zona da Mata,31065,Juiz de Fora,Pedro Teixeira,0.0,0.0,0.0,0.0,Sim,13.8,29.3,16.13,70.0,0.0,Sim,0.0,0.0,0.0,Não,98.69,93.96,32.26,100.0,1789,948,837,43.68,54.06,1.72,73.0,309.25,553.63,24.67,207,13.8,80.98,7335.01,46.06,32.16,53.41
3149507,3112,Zona da Mata,31065,Juiz de Fora,Pequeri,0.0,0.0,0.0,0.0,Sim,10.1,43.6,25.85,21.4,100.0,Sim,94.7,0.0,0.0,Não,98.46,100.0,74.75,99.63,3165,1563,1602,45.36,92.13,1.46,77.0,593.92,786.65,5.08,71,23.0,149.1,7918.53,11.27,39.5,63.72
3149606,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,Pequi,104.38,0.0,0.0,0.0,Sim,10.3,36.0,24.74,29.4,100.0,Sim,49.0,0.0,0.0,Não,99.86,97.17,24.5,96.01,4075,2042,2034,49.79,72.45,2.19,73.0,522.22,758.09,9.54,290,15.2,88.21,10895.33,37.27,37.83,69.0
3149705,3109,Oeste de Minas,31043,Divinópolis,Perdigão,116.64,49.5,22.95,35.09,Sim,8.7,42.4,26.39,37.0,100.0,Sim,201.9,33.6,11.2,Não,100.0,99.5,82.7,97.87,8912,4547,4350,44.26,88.22,1.9,76.0,668.59,981.71,1.18,380,31.7,194.69,8236.19,8.27,22.3,77.78
3149804,3105,Triângulo Mineiro/Alto Paranaíba,31023,Araxá,Perdizes,26.52,0.0,0.0,19.11,Sim,10.0,36.4,21.87,46.9,100.0,Sim,118.0,41.6,13.8,Não,99.74,96.14,68.12,99.94,14391,7527,6866,44.9,68.97,2.56,78.0,861.29,1281.65,4.85,933,34.9,253.42,30844.7,49.16,28.1,72.14
