mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
1100320,São Miguel do Guaporé,Alvorada D'Oeste,Leste Rondoniense,RO,0,12776,120,0,0,19,0,82,780,360,32010,0
1100338,Nova Mamoré,Porto Velho,Madeira-Guaporé,RO,0,1221,2768,0,0,24,0,60,27945,1660,0,48
1100346,Alvorada D'Oeste,Alvorada D'Oeste,Leste Rondoniense,RO,0,315,406,0,600,70,0,0,5080,297,1221,175
1100379,Alto Alegre dos Parecis,Cacoal,Leste Rondoniense,RO,0,480,244,0,960,10733,0,255,5720,20520,10135,400
1100403,Alto Paraíso,Ariquemes,Leste Rondoniense,RO,0,5006,3804,0,0,6,0,250,2390,419,29966,45
1100452,Buritis,Porto Velho,Madeira-Guaporé,RO,0,14,22770,0,0,251,0,144,16000,433,0,180
1100502,Novo Horizonte do Oeste,Cacoal,Leste Rondoniense,RO,0,99,575,0,120,144,0,0,2540,559,4500,13
1100601,Cacaulândia,Ariquemes,Leste Rondoniense,RO,0,0,353,0,0,0,0,0,13125,0,0,0
1100700,Campo Novo de Rondônia,Porto Velho,Madeira-Guaporé,RO,0,338,2860,0,0,13,0,14,19200,690,24,0
1100809,Candeias do Jamari,Porto Velho,Madeira-Guaporé,RO,0,396,1272,0,4000,12,0,64,25000,1200,13500,0
1100908,Castanheiras,Cacoal,Leste Rondoniense,RO,0,15,306,0,0,7,0,24,6130,3045,6300,0
1100924,Chupinguaia,Vilhena,Leste Rondoniense,RO,0,6000,656,0,500,54,0,20,7500,79470,101400,0
1100940,Cujubim,Porto Velho,Madeira-Guaporé,RO,0,4900,792,0,0,1,0,9,3900,2106,24324,0
1101005,Governador Jorge Teixeira,Ji-Paraná,Leste Rondoniense,RO,0,13,9000,0,1800,48,0,70,11050,804,0,60
1101104,Itapuã do Oeste,Porto Velho,Madeira-Guaporé,RO,0,2729,48,0,175,6,0,18,4520,2198,4446,18
1101203,Ministro Andreazza,Cacoal,Leste Rondoniense,RO,0,5,1209,0,0,118,0,224,1890,1050,0,0
1101302,Mirante da Serra,Ji-Paraná,Leste Rondoniense,RO,0,24,158,0,1020,420,0,32,7350,3510,0,29
1101401,Monte Negro,Ariquemes,Leste Rondoniense,RO,0,2,5270,0,0,3,0,10,18500,68,0,0
1101435,Nova União,Ji-Paraná,Leste Rondoniense,RO,0,7,401,0,450,26,0,0,1008,664,0,10
