mun;municipio;ano;algodao;arroz;banana;cafe;cana;feijao;fumo;laranja;mandioca;milho;soja;tomate
5000856;Angélica (MS);2008;0;0;0;72;871670;2;0;0;20900;4980;10615;0
5000906;Antônio João (MS);2008;0;63;0;0;200;432;0;0;700;20550;33750;864
5001003;Aparecida do Taboado (MS);2008;0;0;0;0;1634710;167;0;0;750;1185;480;0
5001102;Aquidauana (MS);2008;0;0;125;0;2500;48;0;160;2400;180;0;0
5001243;Aral Moreira (MS);2008;910;0;0;0;0;1440;0;0;2080;201000;226800;0
5001508;Bandeirantes (MS);2008;0;96;0;0;0;90;0;0;1440;8160;49500;360
5001904;Bataguassu (MS);2008;0;0;0;0;0;0;0;0;1500;0;0;0
5002001;Batayporã (MS);2008;0;520;0;12;46585;247;0;0;10000;15550;18300;0
5002100;Bela Vista (MS);2008;0;5916;0;0;1080;27;0;0;2860;48000;28500;0
5002159;Bodoquena (MS);2008;0;8970;105;0;450;330;0;47;1950;480;0;0
5002209;Bonito (MS);2008;0;0;50;0;3150;276;0;75;2250;22920;38700;0
5002308;Brasilândia (MS);2008;0;0;11;64;397995;13;0;0;750;150;0;0
5002407;Caarapó (MS);2008;0;202;0;0;0;1269;0;0;3000;177300;196080;0
5002605;Camapuã (MS);2008;0;940;350;0;0;0;0;0;840;5040;13500;0
5002704;Campo Grande (MS);2008;0;195;360;9;3000;120;0;91;2700;25649;22446;600
5002803;Caracol (MS);2008;0;0;0;0;0;22;0;0;1800;360;0;0
5002902;Cassilândia (MS);2008;2550;0;225;0;0;0;0;0;750;9120;14400;0
5002951;Chapadão do Sul (MS);2008;58793;0;50;0;0;698;0;0;750;204000;225000;0
5003108;Corguinho (MS);2008;0;41;40;0;700;0;0;0;960;132;0;0
5003157;Coronel Sapucaia (MS);2008;18;30;0;0;60;45;0;0;11880;24900;45900;0
5003207;Corumbá (MS);2008;0;0;0;0;0;360;0;165;6000;693;0;0
5003256;Costa Rica (MS);2008;89100;1200;350;0;0;0;0;0;1500;195600;216000;0
5003306;Coxim (MS);2008;0;180;665;0;0;6;0;0;1200;22695;32054;0
5003454;Deodápolis (MS);2008;0;7500;0;10;68900;200;0;0;7500;24300;13500;0
5003488;Dois Irmãos do Buriti (MS);2008;0;0;15;0;67795;54;0;3000;3000;747;120;626
5003504;Douradina (MS);2008;0;7200;0;0;0;180;0;0;0;27400;29580;0
5003702;Dourados (MS);2008;0;13440;0;0;410400;420;0;0;6300;319500;418500;336
5003751;Eldorado (MS);2008;51;15;0;187;103816;127;0;0;18400;22810;21198;0
5003801;Fátima do Sul (MS);2008;0;3080;0;0;0;113;0;0;5040;16800;22320;180
5003900;Figueirão (MS);2008;0;0;70;0;0;0;0;0;150;0;4500;0
5004007;Glória de Dourados (MS);2008;0;0;31;96;0;114;0;0;6250;2100;2500;0
5004106;Guia Lopes da Laguna (MS);2008;0;1980;0;0;800;120;0;0;1980;900;945;0
5004304;Iguatemi (MS);2008;13;0;0;12;572700;0;0;0;3600;24000;27200;0
5004403;Inocência (MS);2008;0;0;0;0;0;0;0;0;750;400;0;0
5004502;Itaporã (MS);2008;0;19200;144;2;38060;90;0;0;240;153684;144000;0
5004601;Itaquiraí (MS);2008;672;0;0;31;1233715;950;0;0;26000;51300;34560;0
5004700;Ivinhema (MS);2008;0;0;0;1995;67335;76;0;0;163262;3402;3105;0
5004809;Japorã (MS);2008;495;30;0;0;0;0;0;0;7300;7725;6913;0
5004908;Jaraguari (MS);2008;0;0;60;0;100;0;0;0;5600;2880;16800;600
5005004;Jardim (MS);2008;0;1566;0;0;800;0;0;0;1500;9720;5400;0
5005103;Jateí (MS);2008;0;0;0;0;6360;290;0;0;7200;28000;24300;0
5005152;Juti (MS);2008;0;0;0;0;52022;216;0;0;1800;15692;25000;0
5005202;Ladário (MS);2008;0;0;0;0;0;36;0;0;720;63;0;0
5005251;Laguna Carapã (MS);2008;0;422;0;0;360;325;0;0;1350;118800;198900;0
5005400;Maracaju (MS);2008;2423;4860;0;0;2422700;420;0;0;1260;441600;507600;0
5005608;Miranda (MS);2008;0;33930;210;0;450;300;0;15;3000;420;0;0
5005681;Mundo Novo (MS);2008;113;0;0;34;0;93;0;0;15000;14834;10200;750
5005707;Naviraí (MS);2008;483;0;0;20;1304326;694;0;0;31022;143576;112488;0
5005806;Nioaque (MS);2008;60;81;400;0;1440;360;0;0;3900;7440;900;62
5006002;Nova Alvorada do Sul (MS);2008;0;5200;0;0;1197472;360;0;0;945;55000;87500;0
5006200;Nova Andradina (MS);2008;0;100;0;0;937254;108;0;0;27500;8820;11800;0
5006259;Novo Horizonte do Sul (MS);2008;0;290;0;15;0;10;0;0;19800;1948;3013;0
5006275;Paraíso das Águas (MS);2008;0;0;0;0;0;0;0;0;0;0;0;0
5006309;Paranaíba (MS);2008;0;0;1230;0;493000;16;0;0;750;2880;0;0
5006358;Paranhos (MS);2008;27;144;0;6;8500;9;0;0;14400;8670;10215;0
5006408;Pedro Gomes (MS);2008;0;0;360;0;0;72;0;16;3000;21210;22464;0
5006606;Ponta Porã (MS);2008;90;7632;0;0;4200;2718;0;0;12000;213000;403200;240
5006903;Porto Murtinho (MS);2008;0;1475;0;0;2800;5;0;0;300;72;0;0
5007109;Ribas do Rio Pardo (MS);2008;0;0;60;0;0;380;0;12;1600;994;9234;0
5007208;Rio Brilhante (MS);2008;0;57600;0;0;6267884;840;0;0;20000;177600;283500;0
5007307;Rio Negro (MS);2008;0;0;97;0;800;179;0;0;720;4496;3990;0
5007406;Rio Verde de Mato Grosso (MS);2008;0;12;600;0;880;105;0;0;1500;4350;21600;0
5007505;Rochedo (MS);2008;0;0;0;0;200;0;0;0;1500;0;0;0
5007554;Santa Rita do Pardo (MS);2008;239;0;0;0;622440;92;0;0;5886;0;0;0
5007695;São Gabriel do Oeste (MS);2008;16294;0;330;0;0;237;0;0;1600;262500;253460;0
5007703;Sete Quedas (MS);2008;24;66;0;105;150;131;0;0;8160;32100;26010;0
5007802;Selvíria (MS);2008;0;0;0;0;67690;0;0;0;750;1500;852;0
5007901;Sidrolândia (MS);2008;3180;4200;0;0;1025295;1428;0;0;3750;244800;256500;495
5007935;Sonora (MS);2008;0;0;0;0;1090550;0;0;0;600;42000;158400;0
5007950;Tacuru (MS);2008;56;30;0;6;360;171;0;0;12800;25800;26640;0
5007976;Taquarussu (MS);2008;0;0;0;0;50050;396;0;0;4250;11675;10500;0
5008008;Terenos (MS);2008;0;0;198;0;180700;0;0;516;4950;5926;10020;231
5008305;Três Lagoas (MS);2008;0;0;788;0;0;0;0;0;750;150;143;0
5008404;Vicentina (MS);2008;0;0;0;0;94380;0;0;0;7500;9930;9180;0
5100102;Acorizal (MT);2008;0;10;200;0;2136;24;0;0;2750;96;0;0
5100201;Água Boa (MT);2008;0;22869;275;0;1020;0;0;0;4050;21506;119100;0
5100250;Alta Floresta (MT);2008;0;8910;0;1500;0;30;0;432;8400;2700;1971;0
5100300;Alto Araguaia (MT);2008;10143;428;530;0;4500;0;0;0;2300;12120;46711;0
5100359;Alto Boa Vista (MT);2008;0;8100;45;0;0;0;0;0;7800;3300;7500;0
5100409;Alto Garças (MT);2008;81900;216;0;0;300;0;0;0;100;45400;231000;0
5100508;Alto Paraguai (MT);2008;0;480;228;0;0;0;0;0;9000;12960;19500;0
5100607;Alto Taquari (MT);2008;71249;240;0;0;0;30;0;0;150;149040;159800;0
5100805;Apiacás (MT);2008;0;800;891;57;180;9;0;0;3200;5700;0;0
5101001;Araguaiana (MT);2008;0;0;0;0;0;0;0;0;750;72;0;0
5101209;Araguainha (MT);2008;0;144;0;0;1500;0;0;0;150;29;0;0
5101258;Araputanga (MT);2008;0;162;0;0;1260;50;0;0;780;2700;0;0
5101308;Arenápolis (MT);2008;0;120;0;0;31286;0;0;0;750;450;0;0
5101407;Aripuanã (MT);2008;0;1200;525;120;0;300;0;0;3750;1800;0;288
5101605;Barão de Melgaço (MT);2008;0;6;229;0;962;6;0;0;1072;149;0;0
5101704;Barra do Bugres (MT);2008;0;375;3570;0;3638070;12;0;0;2250;1089;7917;0
5101803;Barra do Garças (MT);2008;0;720;0;0;1750;153;0;0;2100;570;63361;0
5101852;Bom Jesus do Araguaia (MT);2008;8640;18000;50;0;0;0;0;0;9900;13560;105000;0
5101902;Brasnorte (MT);2008;26055;10770;132;0;0;0;0;0;2250;121824;465495;0
5102504;Cáceres (MT);2008;0;5250;1125;0;1400;300;0;0;18200;9900;8400;36
5102603;Campinápolis (MT);2008;0;0;360;0;7000;0;0;0;5440;302;0;0
5102637;Campo Novo do Parecis (MT);2008;97673;1320;0;0;1720007;1785;0;0;1500;506588;990570;0
5102678;Campo Verde (MT);2008;260112;525;429;15;406;5880;0;0;2320;314440;401940;200
5102686;Campos de Júlio (MT);2008;90873;5970;0;0;550007;20836;0;0;0;362616;522375;0
5102694;Canabrava do Norte (MT);2008;0;3600;0;0;0;0;0;0;4500;8400;13440;20
5102702;Canarana (MT);2008;0;10240;250;0;2190;0;0;0;2160;66150;251255;0
5102793;Carlinda (MT);2008;0;708;180;302;450;15;0;0;4800;1145;0;0
5102850;Castanheira (MT);2008;0;1094;1120;70;0;30;0;24;1800;965;0;60
