mun,municipio,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
1100015,Alta Floresta D'Oeste,0,705,1859,15356,0,2044,0,0,11320,16267,1350,500
1100023,Ariquemes,0,2680,2916,208,1380,4,0,12,5850,3600,16800,45
1100031,Cabixi,0,8820,175,113,17000,0,0,20,1680,94647,86234,0
1100049,Cacoal,0,90,5220,20384,1320,788,0,0,13400,3616,1710,31
1100056,Cerejeiras,0,3600,79,49,3325,22,0,0,2925,100965,112620,1080
1100064,Colorado do Oeste,0,0,630,26,3850,4,0,120,3000,6825,9750,70
1100072,Corumbiara,0,9600,160,34,500,42,0,80,3060,68300,121680,35
1100080,Costa Marques,0,70,366,39,0,17,0,100,3353,402,0,0
1100098,Espigão D'Oeste,0,84,538,2406,0,126,0,2250,5304,5482,2700,700
1100106,Guajará-Mirim,0,18,320,18,56,7,0,17,10300,103,0,0
1100114,Jaru,0,12,7525,327,586,337,0,22,42500,591,0,39
1100122,Ji-Paraná,0,0,297,132,330,1,0,62,2430,288,0,230
1100130,Machadinho D'Oeste,0,2412,3502,3569,1600,30,0,156,58000,1881,28320,20
1100148,Nova Brasilândia D'Oeste,0,8,465,7849,0,56,0,247,5400,552,0,0
1100155,Ouro Preto do Oeste,0,15,387,207,294,2,0,30,1880,200,0,60
1100189,Pimenta Bueno,0,90,723,76,650,50,0,249,7040,920,1840,280
1100205,Porto Velho,0,23985,15080,3216,185,288,0,128,155088,57965,30880,103
1100254,Presidente Médici,0,60,557,167,750,13,0,200,3400,630,0,0
1100262,Rio Crespo,0,3938,500,66,0,2,0,0,5750,7150,50076,0
1100288,Rolim de Moura,0,450,743,2610,600,90,0,1500,9000,1869,7447,8
1100296,Santa Luzia D'Oeste,0,60,93,264,25000,62,0,40,1496,960,960,110
1100304,Vilhena,0,1200,233,14,40,66,0,170,5090,162060,168540,1200
1100320,São Miguel do Guaporé,0,12776,120,38398,0,19,0,82,780,360,32010,0
1100338,Nova Mamoré,0,1221,2768,426,0,24,0,60,27945,1660,0,48
1100346,Alvorada D'Oeste,0,315,406,1266,600,70,0,0,5080,297,1221,175
1100379,Alto Alegre dos Parecis,0,480,244,9096,960,10733,0,255,5720,20520,10135,400
1100403,Alto Paraíso,0,5006,3804,1212,0,6,0,250,2390,419,29966,45
1100452,Buritis,0,14,22770,7980,0,251,0,144,16000,433,0,180
1100502,Novo Horizonte do Oeste,0,99,575,3517,120,144,0,0,2540,559,4500,13
1100601,Cacaulândia,0,0,353,59,0,0,0,0,13125,0,0,0
1100700,Campo Novo de Rondônia,0,338,2860,1117,0,13,0,14,19200,690,24,0
1100809,Candeias do Jamari,0,396,1272,382,4000,12,0,64,25000,1200,13500,0
1100908,Castanheiras,0,15,306,103,0,7,0,24,6130,3045,6300,0
1100924,Chupinguaia,0,6000,656,41,500,54,0,20,7500,79470,101400,0
1100940,Cujubim,0,4900,792,657,0,1,0,9,3900,2106,24324,0
1101005,Governador Jorge Teixeira,0,13,9000,97,1800,48,0,70,11050,804,0,60
1101104,Itapuã do Oeste,0,2729,48,17,175,6,0,18,4520,2198,4446,18
1101203,Ministro Andreazza,0,5,1209,9075,0,118,0,224,1890,1050,0,0
1101302,Mirante da Serra,0,24,158,651,1020,420,0,32,7350,3510,0,29
1101401,Monte Negro,0,2,5270,107,0,3,0,10,18500,68,0,0
1101435,Nova União,0,7,401,240,450,26,0,0,1008,664,0,10
1101450,Parecis,0,15,186,52,0,30,0,60,1980,1350,3540,0
1101468,Pimenteiras do Oeste,0,9000,152,0,120,0,0,45,592,66007,113100,0
1101476,Primavera de Rondônia,0,264,384,586,1600,31,0,17,1440,264,0,8
1101484,São Felipe D'Oeste,0,18,1058,207,0,27,0,32,980,2580,547,140
1101492,São Francisco do Guaporé,0,4640,56,642,0,7,0,0,1575,2000,2100,0
1101500,Seringueiras,0,1742,85,2054,0,2,0,0,1020,2760,10263,22
1101559,Teixeirópolis,0,0,185,20,0,0,0,0,2286,96,0,576
1101609,Theobroma,0,14,1200,318,1625,48,0,0,24420,4537,1788,0
1101708,Urupá,0,2,185,204,276,3,0,0,1782,370,0,24
1101757,Vale do Anari,0,1719,850,354,50,3,0,8,9750,770,240,0
1101807,Vale do Paraíso,0,0,157,243,1200,1,0,9,600,90,0,30
1200013,Acrelândia,0,96,20720,1080,560,150,0,810,13600,2600,0,0
1200054,Assis Brasil,0,240,2860,52,520,150,0,60,8520,1105,0,0
1200104,Brasiléia,0,396,2185,315,300,330,0,140,12500,4267,0,0
1200138,Bujari,0,70,2875,0,1300,149,0,448,25400,3300,0,0
1200179,Capixaba,0,182,3600,4,500,80,0,225,24000,6700,960,0
1200203,Cruzeiro do Sul,0,313,3600,0,1120,261,0,300,66500,1350,0,0
1200252,Epitaciolândia,0,1595,2875,51,300,121,0,150,14250,4588,0,0
1200302,Feijó,0,400,6500,48,470,134,13,210,65200,6300,0,0
1200328,Jordão,0,57,1400,0,78,15,0,44,11600,760,0,0
1200336,Mâncio Lima,0,165,500,0,560,253,0,56,51200,720,0,0
1200344,Manoel Urbano,0,96,3850,152,375,103,0,104,7000,1027,0,0
1200351,Marechal Thaumaturgo,0,200,1430,0,650,258,90,52,48000,1225,0,0
1200385,Plácido de Castro,0,30,5850,49,351,30,0,1760,13900,3900,0,0
1200393,Porto Walter,0,78,1500,0,375,116,0,42,17300,340,0,0
1200401,Rio Branco,0,306,4800,6,980,168,0,504,28500,7100,450,0
1200427,Rodrigues Alves,0,364,660,0,390,165,0,52,51600,700,0,0
1200435,Santa Rosa do Purus,0,30,1540,0,230,24,0,65,6480,384,0,0
1200450,Senador Guiomard,0,63,2860,48,390,60,0,390,22000,13000,0,0
1200500,Sena Madureira,0,360,2200,30,390,474,33,725,56000,3900,0,0
1200609,Tarauacá,0,504,9375,0,980,100,2,195,80000,5565,0,0
1200708,Xapuri,0,500,2000,117,750,200,0,120,18750,3000,0,0
1200807,Porto Acre,0,156,7500,17,420,60,0,545,25400,8800,0,0
1300029,Alvarães,0,0,320,0,0,2,0,0,51260,5,0,0
1300060,Amaturá,0,0,544,0,0,28,0,26,1500,0,0,0
1300086,Anamã,0,0,200,0,0,0,0,0,1800,90,0,0
1300102,Anori,0,0,350,0,0,20,0,0,1000,100,0,0
1300144,Apuí,0,140,588,266,0,4,0,150,4950,1200,0,0
1300201,Atalaia do Norte,0,3,2254,0,30,15,0,0,2500,30,0,0
1300300,Autazes,0,0,2650,5,0,0,0,200,60000,145,0,0
1300409,Barcelos,0,0,30,0,0,0,0,22,800,0,0,0
1300508,Barreirinha,0,4,420,0,0,0,0,24,0,0,0,0
1300607,Benjamin Constant,0,22,2250,0,120,12,0,60,2520,21,0,0
1300631,Beruri,0,0,0,0,0,0,0,0,0,0,0,0
1300680,Boa Vista do Ramos,0,4,450,0,0,3,0,20,0,20,0,0
1300706,Boca do Acre,0,250,2200,7,0,0,0,14,1950,1160,0,0
1300805,Borba,0,0,1000,0,0,0,0,140,8880,36,0,0
1300839,Caapiranga,0,0,960,0,0,0,0,0,2800,0,0,0
1300904,Canutama,0,0,130,0,0,9,0,0,1300,45,0,0
1301001,Carauari,0,0,256,0,300,3,0,24,7200,90,0,0
1301100,Careiro,0,0,2912,0,0,0,0,110,6600,42,0,96
1301159,Careiro da Várzea,0,0,540,0,0,0,0,682,1400,0,0,0
1301209,Coari,0,0,975,0,210,18,0,40,9420,156,0,48
1301308,Codajás,0,0,500,0,500,0,0,0,5200,0,0,0
1301407,Eirunepé,0,24,8650,0,14378,476,0,60,15760,1447,0,32
1301506,Envira,0,400,800,0,750,60,0,60,13800,500,0,0
1301605,Fonte Boa,0,0,360,0,0,0,0,0,1620,0,0,0
1301654,Guajará,0,20,15,0,0,13,0,0,6000,48,0,0
1301704,Humaitá,0,32,2500,21,750,45,0,90,40000,550,0,0
1301803,Ipixuna,0,72,115,0,270,14,0,0,592,153,0,0
1301852,Iranduba,0,0,3750,0,0,0,0,4120,7380,364,0,0
1301902,Itacoatiara,0,0,1600,3,0,280,0,2000,18000,405,0,0
1301951,Itamarati,0,0,276,0,90,0,0,33,0,0,0,0
1302009,Itapiranga,0,0,450,0,0,0,0,60,3840,0,0,0
1302108,Japurá,0,0,750,0,0,0,0,30,3630,0,0,0
1302207,Juruá,0,0,122,0,0,0,0,0,1020,22,0,0
1302306,Jutaí,0,122,1250,0,0,12,0,0,10650,0,0,0
1302405,Lábrea,0,0,1750,0,0,17,0,0,2000,42,0,0
1302504,Manacapuru,0,0,1488,0,0,0,0,7090,176520,0,0,0
1302553,Manaquiri,0,0,1344,0,0,0,0,1530,9114,192,0,0
1302603,Manaus,0,0,450,0,0,0,0,3680,0,0,0,0
1302702,Manicoré,0,0,24000,30,0,0,0,351,86000,0,0,0
1302801,Maraã,0,0,650,0,0,0,0,22,540,0,0,0
1302900,Maués,0,0,945,0,972,0,0,90,19200,0,0,0
1303007,Nhamundá,0,0,0,0,320,2,0,45,8400,36,0,0
1303106,Nova Olinda do Norte,0,0,850,10,0,16,0,59,18500,0,0,0
1303205,Novo Airão,0,0,100,0,0,0,0,0,300,0,0,0
1303304,Novo Aripuanã,0,0,8900,0,0,5,0,108,11500,78,0,0
1303403,Parintins,0,24,1350,0,250,1,0,32,10104,79,0,0
1303502,Pauini,0,51,1680,0,0,100,0,15,6570,287,0,0
1303536,Presidente Figueiredo,0,0,17500,0,233574,0,0,1815,12000,360,0,0
1303569,Rio Preto da Eva,0,0,6000,0,0,0,0,21666,2800,0,0,0
1303601,Santa Isabel do Rio Negro,0,0,120,0,0,0,0,44,320,8,0,0
1303700,Santo Antônio do Içá,0,8,420,0,0,8,0,36,1440,0,0,0
1303809,São Gabriel da Cachoeira,0,36,220,0,0,0,0,16,600,14,0,0
1303908,São Paulo de Olivença,0,0,750,0,0,0,0,0,1630,0,0,0
1303957,São Sebastião do Uatumã,0,0,260,0,0,24,0,0,10800,120,0,0
1304005,Silves,0,0,525,5,0,0,0,198,9000,0,0,0
1304062,Tabatinga,0,12,270,0,0,0,0,22,960,24,0,16
1304104,Tapauá,0,0,1500,0,0,25,0,0,26160,42,0,0
1304203,Tefé,0,0,595,0,0,77,0,520,99420,0,0,0
1304237,Tonantins,0,0,462,0,220,6,0,19,2662,17,0,8
1304260,Uarini,0,0,126,0,0,0,0,24,72250,22,0,0
1304302,Urucará,0,0,450,0,0,0,0,396,5760,114,0,0
1304401,Urucurituba,0,0,400,0,0,29,0,32,1080,50,0,0
1400027,Amajari,0,3330,896,0,60,0,0,120,2760,2300,0,33
1400050,Alto Alegre,0,1950,1764,0,40,0,0,450,7200,5100,40600,150
1400100,Boa Vista,0,2170,4900,0,220,0,0,1000,3500,5200,24360,220
1400159,Bonfim,0,39000,1800,0,0,0,0,91,5500,19850,27000,715
1400175,Cantá,0,3600,450,0,270,0,0,0,12000,2160,2010,350
1400209,Caracaraí,0,0,1705,0,2,0,0,1350,2860,744,0,0
1400233,Caroebe,0,36,28320,0,40,0,0,900,4500,0,0,0
1400282,Iracema,0,13,2600,0,9,0,0,230,3500,2600,6300,0
1400308,Mucajaí,0,55,4200,0,20,0,0,500,3850,4500,5510,360
1400407,Normandia,0,22400,180,0,0,0,0,60,3360,204,0,0
1400456,Pacaraima,0,0,3000,0,0,0,0,35,7700,0,0,0
1400472,Rorainópolis,0,80,6400,0,390,0,0,11700,7200,1500,0,9
1400506,São João da Baliza,0,30,11050,0,90,0,0,300,1080,400,0,0
1400605,São Luiz,0,0,5670,0,0,0,0,1100,1000,90,0,0
1400704,Uiramutã,0,0,420,0,80,0,0,200,9100,0,0,0
1500107,Abaetetuba,0,30,600,20,3000,48,0,210,30600,54,0,0
1500131,Abel Figueiredo,0,375,20,0,0,6,0,0,9000,1733,180,0
1500206,Acará,0,42,1437,0,0,30,0,400,373809,200,0,0
1500305,Afuá,0,0,427,0,0,0,0,0,1100,0,0,0
1500347,Água Azul do Norte,0,50,1200,0,0,19,0,0,3350,23520,1800,0
1500404,Alenquer,0,825,4775,0,525,276,0,3999,115500,7500,0,63
1500503,Almeirim,0,0,600,25,376,36,0,135,2160,143,0,0
1500602,Altamira,0,4500,39630,9,1800,400,0,1855,56000,7500,6000,200
1500701,Anajás,0,0,990,0,0,0,0,0,3100,0,0,0
1500800,Ananindeua,0,0,120,0,0,0,0,0,0,0,0,0
1500859,Anapu,0,300,9800,0,0,120,0,440,4800,1400,0,125
1500909,Augusto Corrêa,0,10,40,0,60,720,0,24,25050,300,0,0
1500958,Aurora do Pará,0,55,0,0,0,120,0,420,75000,1287,0,0
1501006,Aveiro,0,96,2500,15,240,94,0,144,15000,520,0,0
1501105,Bagre,0,0,32,0,0,0,0,0,8200,0,0,0
1501204,Baião,0,23,0,5,0,0,0,0,4290,120,0,0
1501253,Bannach,0,5,150,0,0,11,0,0,340,120,0,0
1501303,Barcarena,0,6,750,0,200,30,0,360,24800,300,0,0
1501402,Belém,0,0,0,0,0,0,0,0,0,0,0,0
1501451,Belterra,0,1125,720,0,0,58,0,80,15400,23700,41553,24
1501501,Benevides,0,0,0,0,0,0,0,0,0,0,0,0
1501576,Bom Jesus do Tocantins,0,600,576,0,0,100,0,0,4500,4600,0,0
1501600,Bonito,0,0,825,0,0,0,0,67,9750,45,0,0
1501709,Bragança,0,30,300,0,60,450,0,160,75150,810,0,0
1501725,Brasil Novo,0,15,8960,9,60,16,0,300,2800,1950,0,75
1501758,Brejo Grande do Araguaia,0,0,8400,0,0,11,0,0,724,910,0,0
1501782,Breu Branco,0,0,4950,0,0,0,0,0,5880,269,0,0
1501808,Breves,0,0,630,0,0,0,0,0,3680,0,0,0
1501907,Bujaru,0,25,70,0,0,110,0,72,17500,144,0,0
1501956,Cachoeira do Piriá,0,480,1500,0,0,90,0,0,18195,1260,0,0
1502004,Cachoeira do Arari,0,19300,0,0,0,0,0,0,900,0,0,0
1502103,Cametá,0,180,178,10,0,108,0,300,56000,120,0,0
1502152,Canaã dos Carajás,0,90,6250,0,0,30,0,0,4680,18200,0,0
1502202,Capanema,0,6,84,0,0,1700,4,180,22500,300,0,0
1502301,Capitão Poço,0,80,2025,0,0,1400,0,126000,46500,1800,0,0
1502400,Castanhal,0,0,960,0,0,360,0,2100,81500,210,0,0
1502509,Chaves,0,0,0,0,0,0,0,0,819,0,0,0
1502608,Colares,0,0,30,0,0,3,0,12,3040,7,0,0
1502707,Conceição do Araguaia,0,252,500,0,0,18,0,0,4480,1440,4676,0
1502756,Concórdia do Pará,0,168,488,0,0,20,0,240,34800,47,0,0
1502764,Cumaru do Norte,0,715,3200,0,0,76,0,0,5400,30331,20504,0
1502772,Curionópolis,0,0,2500,0,0,0,0,0,6120,7800,0,0
1502806,Curralinho,0,0,0,0,60,0,0,50,3700,36,0,0
1502855,Curuá,0,4,60,0,0,11,0,0,720,110,0,0
1502905,Curuçá,0,0,300,0,0,16,0,90,16000,48,0,0
1502939,Dom Eliseu,0,18000,75,0,0,95,0,78,9000,72000,264000,0
1502954,Eldorado do Carajás,0,104,6250,0,0,20,0,24,12000,3200,0,0
1503002,Faro,0,0,108,0,100,0,0,10,2000,2,0,0
1503044,Floresta do Araguaia,0,96,1045,0,0,11,0,0,15552,1500,8320,0
1503077,Garrafão do Norte,0,250,2250,0,0,480,0,8639,31500,800,0,0
1503093,Goianésia do Pará,0,0,150,0,0,0,0,220,1800,0,0,0
1503101,Gurupá,0,150,152,0,188,12,0,150,4800,46,0,0
1503200,Igarapé-Açu,0,0,550,0,500,135,0,420,45000,220,0,0
1503309,Igarapé-Miri,0,14,600,0,400,11,0,70,16360,24,0,0
1503408,Inhangapi,0,2,1500,0,0,6,0,36,22500,7,0,0
1503457,Ipixuna do Pará,0,130,0,0,0,825,0,0,67500,3500,2700,0
1503507,Irituia,0,13,180,0,0,242,0,3744,7200,315,0,0
1503606,Itaituba,0,80,17640,0,440,668,0,2200,20000,1470,0,90
1503705,Itupiranga,0,80,8000,0,0,40,0,0,48200,6000,0,0
1503754,Jacareacanga,0,900,2580,0,200,75,0,0,21600,56,0,0
1503804,Jacundá,0,0,82,0,0,0,0,0,2040,200,0,0
1503903,Juruti,0,3,225,0,210,7,0,32,120000,12,0,0
1504000,Limoeiro do Ajuru,0,15,100,0,0,2,0,0,720,12,0,0
1504059,Mãe do Rio,0,0,0,0,0,420,0,550,9870,2720,0,0
1504109,Magalhães Barata,0,11,55,0,0,13,0,0,12000,45,0,0
1504208,Marabá,0,200,8750,0,0,60,0,12,82200,22400,1550,0
1504307,Maracanã,0,16,210,0,0,112,0,133,12500,120,0,0
1504406,Marapanim,0,12,50,0,0,70,0,40,24000,60,0,0
1504422,Marituba,0,0,0,0,0,0,0,0,0,0,0,0
1504455,Medicilândia,0,38,42300,50,0,66,0,330,6000,3060,0,250
1504505,Melgaço,0,0,20,0,0,0,0,0,2500,0,0,0
1504604,Mocajuba,0,30,132,0,0,0,0,50,8400,30,0,0
1504703,Moju,0,160,25000,5,0,49,0,952,128000,3600,0,0
1504752,Mojuí dos Campos,0,750,360,0,0,75,0,160,14000,16350,61038,0
1504802,Monte Alegre,0,180,1680,0,360,1020,0,1040,90000,18000,0,1500
1504901,Muaná,0,0,0,0,0,9,0,0,920,90,0,0
1504950,Nova Esperança do Piriá,0,190,2250,0,0,293,0,650,52500,600,0,0
1504976,Nova Ipixuna,0,54,625,0,0,24,0,0,3550,1254,0,0
1505007,Nova Timboteua,0,0,0,0,0,320,0,0,22500,240,0,0
1505031,Novo Progresso,0,7135,420,0,200,4,0,220,13000,3240,24000,0
1505064,Novo Repartimento,0,360,28500,0,0,59,0,0,7500,450,0,0
1505106,Óbidos,0,40,1080,0,700,28,0,378,240000,1000,0,0
1505205,Oeiras do Pará,0,250,1250,0,0,0,0,270,43920,96,0,0
1505304,Oriximiná,0,11,270,0,140,72,0,72,180000,117,0,0
1505403,Ourém,0,0,0,0,0,80,0,240,13500,120,0,0
1505437,Ourilândia do Norte,0,8,1400,0,0,27,0,0,2750,1440,0,0
1505486,Pacajá,0,450,11200,20,300,480,0,133,44000,6000,0,0
1505494,Palestina do Pará,0,0,3750,0,0,35,0,0,1560,581,0,0
1505502,Paragominas,0,9900,1600,15,0,150,0,0,67500,49500,465000,0
1505536,Parauapebas,0,0,16250,24,0,540,0,0,45800,9150,0,1750
1505551,Pau D'Arco,0,0,42,0,0,4,0,0,4799,288,0,0
1505601,Peixe-Boi,0,0,150,0,0,200,0,0,6500,400,0,0
1505635,Piçarra,0,23,560,0,0,14,0,0,17250,18600,0,0
1505650,Placas,0,220,13230,0,330,138,0,72,9000,2200,1755,0
1505700,Ponta de Pedras,0,0,0,0,0,18,0,0,300,20,0,0
1505809,Portel,0,0,40,0,0,0,0,60,129000,73,0,0
1505908,Porto de Moz,0,163,720,0,698,24,0,90,7500,224,0,0
1506005,Prainha,0,498,720,40,300,0,0,1575,27000,2850,0,200
1506104,Primavera,0,5,0,0,0,120,0,0,9600,250,0,0
1506112,Quatipuru,0,0,0,0,0,38,0,0,4800,32,0,0
1506138,Redenção,0,11,243,0,0,25,0,0,8500,13908,10496,0
1506161,Rio Maria,0,128,253,0,0,13,0,0,720,3000,1104,0
1506187,Rondon do Pará,0,351,600,0,0,16,0,0,10800,5000,150000,400
1506195,Rurópolis,0,2320,14000,0,1400,360,0,150,12750,4107,918,0
1506203,Salinópolis,0,15,0,0,0,160,0,0,4200,140,0,0
1506302,Salvaterra,0,3308,0,0,0,0,0,0,500,0,0,0
1506351,Santa Bárbara do Pará,0,25,0,0,0,0,0,0,2400,35,0,0
1506500,Santa Izabel do Pará,0,0,1000,0,0,0,0,240,560,0,0,0
1506559,Santa Luzia do Pará,0,14,2970,0,0,200,0,240,10625,400,0,0
1506583,Santa Maria das Barreiras,0,1500,200,0,0,80,0,0,10930,65100,96000,0
1506609,Santa Maria do Pará,0,0,0,0,0,13,0,0,140000,455,0,0
1506708,Santana do Araguaia,0,6000,152,0,0,850,0,0,16000,109500,201600,0
1506807,Santarém,0,2400,600,8,300,270,0,1248,44000,19740,62700,240
1506906,Santarém Novo,0,16,0,0,0,135,0,0,7200,80,0,0
1507003,Santo Antônio do Tauá,0,0,3600,0,0,40,0,360,4500,42,0,0
1507102,São Caetano de Odivelas,0,30,300,0,0,9,0,0,8400,18,0,0
1507151,São Domingos do Araguaia,0,0,4125,0,0,176,0,0,32200,2880,0,0
1507201,São Domingos do Capim,0,9,770,0,0,180,0,200,46287,256,0,0
1507300,São Félix do Xingu,0,170,11520,0,0,110,0,0,38200,20491,1200,0
1507409,São Francisco do Pará,0,0,600,0,1000,210,0,2700,60000,180,0,0
1507458,São Geraldo do Araguaia,0,0,20400,0,0,42,0,0,10300,8540,0,0
1507466,São João da Ponta,0,3,100,0,0,12,0,0,1300,9,0,0
1507474,São João de Pirabas,0,4,0,0,0,80,0,0,4200,32,0,0
1507508,São João do Araguaia,0,0,3125,0,0,40,0,0,6900,560,1120,0
1507607,São Miguel do Guamá,0,0,600,0,0,700,0,480,75000,0,0,0
1507706,São Sebastião da Boa Vista,0,0,0,0,0,0,0,0,870,0,0,0
1507755,Sapucaia,0,0,180,0,0,0,0,0,320,3069,0,0
1507805,Senador José Porfírio,0,75,7000,12,240,216,0,375,7000,3000,0,0
1507904,Soure,0,0,0,0,0,0,0,0,0,0,0,0
1507953,Tailândia,0,729,6000,0,0,108,0,0,16000,54756,28440,0
1507961,Terra Alta,0,0,100,0,0,3,0,150,1120,4,0,0
1507979,Terra Santa,0,0,80,0,80,0,0,48,624,7,0,0
1508001,Tomé-Açu,0,200,660,0,0,130,0,479,42666,1800,0,0
1508035,Tracuateua,0,100,100,0,0,1080,16,100,37620,90,480,0
1508050,Trairão,0,3600,10500,5,400,910,0,150,65000,5500,0,30
1508084,Tucumã,0,8,1800,0,0,15,0,0,1770,4800,135,0
1508100,Tucuruí,0,35,417,0,0,0,0,0,20000,4000,0,0
1508126,Ulianópolis,0,21252,160,0,910000,16,0,0,6000,50100,180000,0
1508159,Uruará,0,644,12100,10,0,154,0,240,16500,5400,1200,1250
1508209,Vigia,0,0,840,0,0,0,0,350,6000,0,0,0
1508308,Viseu,0,1100,1200,0,0,500,0,135,60405,2070,0,0
1508357,Vitória do Xingu,0,60,5880,0,360,49,0,360,8400,900,0,0
1508407,Xinguara,0,0,530,0,300,4,0,0,4620,7598,0,0
1600055,Serra do Navio,0,32,1049,0,0,45,0,194,4352,84,0,0
1600105,Amapá,0,8,290,0,0,16,0,127,2140,32,0,0
1600154,Pedra Branca do Amapari,0,54,1369,0,812,64,0,302,9470,74,0,0
1600204,Calçoene,0,39,520,0,0,48,0,289,5542,68,0,0
1600212,Cutias,0,9,387,0,0,30,0,0,1825,30,0,0
1600238,Ferreira Gomes,0,14,577,0,0,38,0,168,3207,42,0,0
1600253,Itaubal,0,326,396,0,0,30,0,0,1987,58,12660,0
1600279,Laranjal do Jari,0,42,1167,0,252,58,0,467,7986,110,0,0
1600303,Macapá,0,46,1387,0,1550,75,0,610,8860,115,38130,0
1600402,Mazagão,0,32,1243,0,582,76,0,448,8124,66,0,0
1600501,Oiapoque,0,10,1950,0,538,9,0,290,19137,15,0,0
1600535,Porto Grande,0,50,1734,0,1385,92,0,1050,8657,75,0,0
1600550,Pracuúba,0,26,729,0,0,22,0,157,3550,40,0,0
1600600,Santana,0,18,692,0,274,24,0,190,5220,48,0,0
1600709,Tartarugalzinho,0,102,729,0,287,95,0,556,9446,260,2980,0
1600808,Vitória do Jari,0,27,641,0,308,60,0,308,6145,38,0,0
1700251,Abreulândia,0,89,600,0,652,7,0,0,660,12561,17391,0
1700301,Aguiarnópolis,0,60,5111,0,0,8,0,0,672,83,0,0
1700350,Aliança do Tocantins,0,330,111,0,0,0,0,0,1100,2700,19000,0
1700400,Almas,0,166,75,0,0,0,0,0,1340,1300,27603,0
1700707,Alvorada,0,450,72,0,0,0,0,0,1200,11550,81200,0
1701002,Ananás,0,25,118,0,0,50,0,0,1551,156,0,0
1701051,Angico,0,51,132,0,0,33,0,120,3240,294,0,0
1701101,Aparecida do Rio Negro,0,1080,2275,0,0,0,0,0,15250,1650,66006,0
1701309,Aragominas,0,38,108,0,200,40,0,0,2250,2040,1200,0
1701903,Araguacema,0,742,0,0,0,8,0,0,1800,17607,37139,0
1702000,Araguaçu,0,385,70,0,605,0,0,0,2250,2500,28000,0
1702109,Araguaína,0,882,90,0,800,315,0,0,1870,5328,15400,0
1702158,Araguanã,0,0,0,0,0,0,0,0,126,29,0,0
1702208,Araguatins,0,425,458,0,22,100,0,0,3400,750,0,0
1702307,Arapoema,0,0,0,0,0,18,0,0,900,1350,2080,0
1702406,Arraias,0,480,226,0,1945,0,0,0,3456,2150,0,0
1702554,Augustinópolis,0,26,24,0,7,30,0,0,600,140,0,0
1702703,Aurora do Tocantins,0,20,68,0,902,0,0,0,1100,328,0,0
1702901,Axixá do Tocantins,0,58,40,0,0,13,0,0,830,225,0,0
1703008,Babaçulândia,0,118,450,0,1000,72,0,0,6480,1000,5940,0
1703057,Bandeirantes do Tocantins,0,15,0,0,0,9,0,0,1000,308,1400,0
1703073,Barra do Ouro,0,493,21,0,0,30,0,0,1890,1225,15665,0
1703107,Barrolândia,0,17,331,0,0,0,0,0,522,62,0,0
1703206,Bernardo Sayão,0,18,0,0,0,6,0,0,460,234,0,0
1703305,Bom Jesus do Tocantins,0,196,60,0,125000,0,0,0,160,15000,26127,0
1703602,Brasilândia do Tocantins,0,15,0,0,0,6,0,0,767,570,0,0
1703701,Brejinho de Nazaré,0,341,60,0,0,0,0,0,1095,12610,69090,0
1703800,Buriti do Tocantins,0,46,30,0,0,13,0,0,34,72,0,0
1703826,Cachoeirinha,0,38,51,0,0,10,0,0,1824,70,0,0
1703842,Campos Lindos,0,1249,14,0,400,905,0,0,3420,135036,213060,0
1703867,Cariri do Tocantins,0,58,105,0,0,530,0,0,1170,4760,53396,0
1703883,Carmolândia,0,0,0,0,0,0,0,0,45,16,0,0
1703891,Carrasco Bonito,0,51,160,0,0,24,0,0,180,14,0,0
1703909,Caseara,0,289,0,0,0,198,0,40,5000,80974,98901,0
1704105,Centenário,0,195,60,0,0,0,0,0,675,600,8325,0
1704600,Chapada de Areia,0,30,43,0,0,2,0,0,424,96,0,0
1705102,Chapada da Natividade,0,104,0,0,560,0,0,0,1130,2400,37240,0
1705508,Colinas do Tocantins,0,0,180,0,0,12,0,0,494,54,0,0
1705557,Combinado,0,220,58,0,930,0,0,0,296,136,0,0
1705607,Conceição do Tocantins,0,146,36,0,680,0,0,0,360,445,0,0
1706001,Couto Magalhães,0,32,0,0,0,6,0,0,1900,1260,8910,0
1706100,Cristalândia,0,19918,53,0,0,14,0,0,1941,880,7697,0
1706258,Crixás do Tocantins,0,9600,66,0,0,0,0,0,465,1000,16170,0
1706506,Darcinópolis,0,502,175,0,0,16,0,0,1880,23200,31320,0
1707009,Dianópolis,0,140,3460,0,3200,0,0,23,3650,786,1720,0
1707108,Divinópolis do Tocantins,0,600,240,0,1945,45,0,0,3600,1840,24298,0
1707207,Dois Irmãos do Tocantins,0,251,2450,0,0,30,0,0,3018,4500,10937,0
1707306,Dueré,0,50117,180,0,1650,5700,0,0,2900,2355,11410,0
1707405,Esperantina,0,102,73,0,0,38,0,0,450,64,0,0
1707553,Fátima,0,11,0,0,0,0,0,0,214,450,5324,0
1707652,Figueirópolis,0,33,39,0,0,0,0,0,2000,4295,76074,0
1707702,Filadélfia,0,9,21,0,0,3,0,0,800,105,0,0
1708205,Formoso do Araguaia,0,151358,172,0,1102,0,0,0,5437,2500,62600,0
1708254,Fortaleza do Tabocão,0,36,0,0,0,0,0,0,900,6510,13866,0
1708304,Goianorte,0,23,0,0,0,21,0,0,1000,665,8100,0
1709005,Goiatins,0,3600,468,0,1200,238,0,0,9450,25920,53929,0
