mun,municipio,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
4302006,Barros Cassal,0,0,0,0,0,225,6930,240,1050,10080,27030,0
4302055,Benjamin Constant do Sul,0,2,0,0,600,106,8,500,125,4680,4620,20
4302105,Bento Gonçalves,0,1,60,0,1575,121,0,1800,1400,1200,0,2100
4302154,Boa Vista das Missões,0,15,0,0,90,4225,4,60,225,32250,49110,0
4302204,Boa Vista do Buricá,0,0,144,0,2400,17,5,240,1600,4800,9600,30
4302220,Boa Vista do Cadeado,0,0,0,0,840,430,0,288,3150,15589,148770,50
4302238,Boa Vista do Incra,0,0,0,0,120,82,0,225,2000,12240,103350,0
4302253,Boa Vista do Sul,0,0,20,0,240,11,0,120,150,2400,0,300
4302303,Bom Jesus,0,0,0,0,0,1661,0,0,0,48450,27900,0
4302352,Bom Princípio,0,10,78,0,3300,45,0,3300,5000,1051,0,748
4302378,Bom Progresso,0,0,10,0,500,13,11,180,720,6300,15840,30
4302402,Bom Retiro do Sul,0,238,0,0,231,6,120,40,360,813,688,0
4302451,Boqueirão do Leão,0,9,14,0,30,418,6380,360,900,6400,1740,24
4302501,Bossoroca,0,0,0,0,1960,0,0,253,1980,9600,137340,0
4302584,Bozano,0,0,0,0,350,25,0,800,1050,3739,46800,60
4302600,Braga,0,0,0,0,500,17,23,120,450,8400,25806,0
4302659,Brochier,0,3,19,0,2250,106,0,4392,2100,297,0,0
4302709,Butiá,0,7567,0,0,0,4,13,1360,725,455,16200,0
4302808,Caçapava do Sul,0,23400,0,0,120,27,28,1425,30000,3000,33000,0
4302907,Cacequi,0,97652,0,0,3800,0,0,600,825,1200,59472,126
4303004,Cachoeira do Sul,0,221144,20,0,600,27,655,1008,16000,18900,329232,75
4303103,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0
4303202,Cacique Doble,0,0,0,0,210,89,0,75,90,7055,34224,100
4303301,Caibaté,0,240,30,0,700,35,0,160,800,15920,47808,36
4303400,Caiçara,0,12,225,0,2100,474,2725,300,5060,17100,8100,45
4303509,Camaquã,0,235116,36,0,0,450,18400,672,4650,6720,54600,38
4303558,Camargo,0,0,0,0,114,90,0,0,560,1867,22140,45
4303608,Cambará do Sul,0,0,0,0,0,48,0,0,0,2400,1215,0
4303673,Campestre da Serra,0,0,0,0,0,127,0,120,150,10850,23850,1000
4303707,Campina das Missões,0,2,180,0,3600,65,0,220,3000,7038,16484,40
4303806,Campinas do Sul,0,0,0,0,160,386,0,40,150,11250,57050,60
4303905,Campo Bom,0,0,14,0,1500,7,0,170,900,120,0,39
4304002,Campo Novo,0,0,0,0,400,63,0,75,450,23750,43200,30
4304101,Campos Borges,0,0,0,0,390,30,6,960,1220,1260,29080,20
4304200,Candelária,0,67860,120,0,800,360,16200,648,7650,30402,62700,114
4304309,Cândido Godói,0,0,12,0,1250,69,3,270,2000,17550,30750,0
4304358,Candiota,0,3080,0,0,0,40,10,63,0,1540,27028,0
4304408,Canela,0,0,0,0,100,42,0,210,840,900,0,0
4304507,Canguçu,0,5535,0,0,0,1745,21197,700,80,40000,72000,4000
4304606,Canoas,0,4200,0,0,0,0,0,0,0,0,216,126
4304614,Canudos do Vale,0,0,12,0,1200,15,540,516,600,1260,0,0
4304622,Capão Bonito do Sul,0,0,0,0,0,122,0,0,200,22680,97200,10
4304630,Capão da Canoa,0,900,0,0,0,0,0,0,45,14,0,0
4304655,Capão do Cipó,0,0,0,0,1750,90,0,360,1950,7215,183184,0
4304663,Capão do Leão,0,58449,0,0,0,18,0,730,0,756,21285,0
4304671,Capivari do Sul,0,89217,0,0,0,2,0,0,143,35,9660,0
4304689,Capela de Santana,0,11700,6,0,660,0,0,242,260,42,180,0
4304697,Capitão,0,0,0,0,300,25,0,160,825,255,0,0
4304705,Carazinho,0,0,0,0,0,327,0,40,120,23430,152712,0
4304713,Caraá,0,2196,105,0,3465,468,43,126,6000,1980,39,212
4304804,Carlos Barbosa,0,0,32,0,600,86,0,200,1530,4320,0,360
4304853,Carlos Gomes,0,4,0,0,400,324,11,330,160,7200,11232,0
4304903,Casca,0,0,0,0,0,2,45,50,66,18000,31980,35
4304952,Caseiros,0,0,0,0,0,90,0,13,105,7200,28800,88
4305009,Catuípe,0,0,0,0,2400,246,0,1500,3150,18720,117210,40
4305108,Caxias do Sul,0,0,0,0,300,330,0,1450,630,48750,1050,15000
4305116,Centenário,0,10,0,0,2000,435,18,2400,900,5400,20790,60
4305124,Cerrito,0,1785,0,0,0,17,13,75,0,3500,11500,0
4305132,Cerro Branco,0,8625,35,0,10000,320,2380,435,3000,4590,3630,56
4305157,Cerro Grande,0,0,0,0,100,270,82,540,1050,14400,10560,0
4305173,Cerro Grande do Sul,0,4906,13,0,620,416,5760,120,5100,3096,360,96
4305207,Cerro Largo,0,0,40,0,2500,83,0,276,4000,13200,16500,40
4305306,Chapada,0,4,0,0,2100,92,0,600,5000,23760,136080,39
4305355,Charqueadas,0,37200,0,0,0,3,0,40,450,147,5750,0
4305371,Charrua,0,0,0,0,135,29,0,625,120,2844,36036,50
4305405,Chiapetta,0,0,0,0,100,522,0,100,375,24600,95670,0
4305439,Chuí,0,24897,0,0,0,3,0,0,0,63,2763,20
4305447,Chuvisca,0,33,10,0,400,322,8868,240,2500,6000,0,5
4305454,Cidreira,0,9247,0,0,0,1,0,0,70,228,780,0
4305504,Ciríaco,0,0,0,0,0,101,660,48,160,9990,40625,49
4305587,Colinas,0,0,24,0,825,8,0,100,180,1650,1950,8
4305603,Colorado,0,0,0,0,480,298,0,345,625,12600,80545,25
4305702,Condor,0,0,0,0,600,46,0,40,270,17880,117990,60
4305801,Constantina,0,0,0,0,1200,53,20,3750,900,7500,32736,18
4305835,Coqueiro Baixo,0,0,0,0,150,9,48,120,150,960,84,0
4305850,Coqueiros do Sul,0,0,0,0,80,70,0,180,180,5630,53280,0
4305871,Coronel Barros,0,0,0,0,600,6,0,75,625,3830,33000,0
4305900,Coronel Bicaco,0,0,0,0,400,320,0,80,1500,32800,105035,0
4305934,Coronel Pilar,0,0,21,0,150,25,0,450,300,2100,0,480
4305959,Cotiporã,0,0,68,0,2720,6,0,540,48,7916,706,50
4305975,Coxilha,0,0,0,0,0,222,7,23,154,26500,118400,12
4306007,Crissiumal,0,0,150,0,4800,78,1440,500,3000,20232,25800,28
4306056,Cristal,0,33117,6,0,100,3,1732,165,200,912,14025,40
4306072,Cristal do Sul,0,0,0,0,700,288,2,336,2400,16034,14742,16
4306106,Cruz Alta,0,0,0,0,175,393,0,72,1250,40800,326160,24
4306130,Cruzaltense,0,0,0,0,960,560,0,140,496,11520,26424,40
4306205,Cruzeiro do Sul,0,5366,110,0,1500,136,231,600,4550,7000,12090,40
4306304,David Canabarro,0,0,0,0,125,300,2340,180,825,8000,28000,79
4306320,Derrubadas,0,0,10,0,1100,42,44,100,2400,18630,28500,17
4306353,Dezesseis de Novembro,0,0,10,0,1200,22,0,72,1560,3572,3558,16
4306379,Dilermando de Aguiar,0,21600,0,0,400,9,42,210,1600,1330,66000,0
4306403,Dois Irmãos,0,1,15,0,2160,57,0,120,4125,600,0,35
4306429,Dois Irmãos das Missões,0,0,0,0,60,633,6,15,72,16500,52950,0
4306452,Dois Lajeados,0,0,30,0,375,23,60,1200,150,5760,3420,69
4306502,Dom Feliciano,0,187,12,0,100,102,9450,450,990,4200,1316,48
4306551,Dom Pedro de Alcântara,0,517,9800,0,844,11,0,30,150,0,0,904
